id,place_name,state,matched_wiki_title,image_url,image_source,summary_preview,verified,needs_manual_photo,verification_reason
4884,Upper Penganga Dam,Maharashtra,Upper Wardha Dam,https://upload.wikimedia.org/wikipedia/commons/c/c0/Upper_Wardha_Dam.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"The Upper Wardha Dam is an earthfill straight gravity dam across the Wardha River, a tributary of the Godavari River, ne...",True,False,Token overlap: upper
1951,Law Garden,Gujarat,Law Garden,https://upload.wikimedia.org/wikipedia/commons/4/44/Law_Garden%2C_Ahmedabad_-_India_%284050720558%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Law Garden, officially Sheth Motilal Hirabhai Park,  is an urban park in Ahmedabad, Gujarat, India. It was redeveloped i...",True,False,Direct name match
4674,Gangapur Dam Nashik,Maharashtra,Gangapur Dam,https://upload.wikimedia.org/wikipedia/commons/0/0b/Canal_tower_of_Gangapur_Dam_India.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Gangapur Dam, is an earthfill dam on Godavari River near Nashik in the state of Maharashtra in India.",True,False,Direct name match
9700,Somasila,Telangana,Somasila,https://upload.wikimedia.org/wikipedia/commons/b/b5/Venkateshwara_Swamy_temple%2C_Somasila%2C_Telangana_10.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,wikimedia_commons,"Somasila is a small village  in Nellore district, Andhra pradesh, India. 100 Kms from Nellore.",True,False,Direct name match
4807,Sagareshwar Beach & Vengurla Port,Maharashtra,Vengurla,https://upload.wikimedia.org/wikipedia/en/e/e5/Vengurla_Beach_2.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Vengurla is a town in Sindhudurg district of Maharashtra, India just north of Goa. It is surrounded by a semicircular ra...",True,False,Direct name match
11042,Burirdabri Watch Tower & Mudwalk Sundarbans,West Bengal,,,placeholder,,False,True,No title matched
5379,Mehkar Temple Belt,Maharashtra,Varhadi dialect,,placeholder,Varhadi or Varhadi-Nagpuri is a dialect of Marathi spoken in the Vidarbha region of Maharashtra as well as by Marathis i...,False,True,Title mismatch: 'Varhadi dialect' vs 'Mehkar Temple Belt'
8862,Arcot Nawab Heritage,Tamil Nadu,Muhammed Abdul Ali,,placeholder,Al-Hajj Nawab Ghulam Muhammad 'Abdu'l 'Ali Khan Bahadur; (born 9 August 1951) is the current and eighth titular Prince o...,False,True,Title mismatch: 'Muhammed Abdul Ali' vs 'Arcot Nawab Heritage'
9484,Kondagattu Anjaneya Swamy Temple,Telangana,Kondagattu Anjaneya Swamy Temple,https://upload.wikimedia.org/wikipedia/commons/b/b4/Kondagattu_temple_near_Karimnagar%2C_India.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,Kondagattu Anjaneya Swamy Temple (Telugu: కొండగట్టు ఆంజనేయస్వామి ఆలయం) is a prominent Hindu temple dedicated to Lord Han...,True,False,Direct name match
9555,Kondagattu Anjaneya Swamy Temple,Telangana,Kondagattu Anjaneya Swamy Temple,https://upload.wikimedia.org/wikipedia/commons/b/b4/Kondagattu_temple_near_Karimnagar%2C_India.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,Kondagattu Anjaneya Swamy Temple (Telugu: కొండగట్టు ఆంజనేయస్వామి ఆలయం) is a prominent Hindu temple dedicated to Lord Han...,True,False,Direct name match
3941,Dhoopgarh,Madhya Pradesh,Dhupgarh,,placeholder,"Mount Dhupgarh or Mount Dhoopgarh is the highest point in the Mahadeo Hills (Satpura Range), Madhya Pradesh, India. It i...",False,True,Title mismatch: 'Dhupgarh' vs 'Dhoopgarh'
9425,Bhadrachalam,Telangana,Bhadrachalam,https://upload.wikimedia.org/wikipedia/commons/9/93/Sri_sita_rama_temple_bhadrachalam_temple_view.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,Bhadrachalam is a census town in Bhadradri Kothagudem district in the Indian state of Telangana. It is an important Hind...,True,False,Direct name match
2498,Andretta,Himachal Pradesh,"Andretta, Himachal Pradesh",https://upload.wikimedia.org/wikipedia/commons/5/51/Wildflower_in_Andretta_%28Himachal_Pradesh%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,wikimedia_commons,"Andretta is a village and an artists' colony in Himachal Pradesh. The artists' colony was established in the 1920s, when...",True,False,Direct name match
12275,Promenade Beach (Rock Beach) Puducherry,Puducherry,Puducherry (union territory),https://upload.wikimedia.org/wikipedia/commons/8/8c/Pondicherry-Rock_beach_aerial_view.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Puducherry (also known as Poudouchéry in French or historically as Pondicherry) is a union territory of India, consistin...",True,False,Token overlap: puducherry
278,Jawaharlal Nehru Museum,Arunachal Pradesh,"Jawaharlal Nehru Museum, Itanagar",https://upload.wikimedia.org/wikipedia/commons/5/56/Jawaharlal_Nehru_Museum.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"The Jawaharlal Nehru State Museum (or simply Jawaharlal Nehru Museum) is the state museum of Arunachal Pradesh, in Itana...",True,False,Direct name match
11054,Patharpratima & Bhagabatpur Crocodile Sanctuary,West Bengal,,,placeholder,,False,True,No title matched
9119,Kodanad Viewpoint,Tamil Nadu,List of hill stations in India,,placeholder,Indian Hill stations are high-altitude towns located across located India’s mountain ranges. They were built under Briti...,False,True,Title mismatch: 'List of hill stations in India' vs 'Kodanad Viewpoint'
4439,Tikona Fort (Vitandgad),Maharashtra,Tikona,https://upload.wikimedia.org/wikipedia/commons/c/cc/Tikona_Panorama.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Tikona also known as Vitandgad,  is the dominant hill fort in Maval in western India. It is located near Kamshet around ...",True,False,Direct name match
2264,Birbal Ka Chhatta Narnaul,Haryana,,,placeholder,,False,True,No title matched
1689,Rajim,Chhattisgarh,Rajim,https://upload.wikimedia.org/wikipedia/commons/b/bb/6th_to_7th_century_Rajivalochan_Vishnu_Temple%2C_Rajim%2C_Chhattisgarh_-_58.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Rajim is a town which is proposed to be in Raipur district but officially in Gariaband district, Chhattisgarh, India. Ra...",True,False,Direct name match
8646,Poomparai Terraces,Tamil Nadu,,,placeholder,,False,True,No title matched
4735,Saras Baug and Talyatla Ganpati,Maharashtra,,,placeholder,,False,True,No title matched
5685,Ramrei Eco Park & Chadong Reservoir Backwater Gazebos,Manipur,,,placeholder,,False,True,No title matched
1815,Immaculate Conception Church,Goa,"Our Lady of the Immaculate Conception Church, Goa",https://upload.wikimedia.org/wikipedia/commons/c/c9/Panaji%2C_nostra_signora_dell%27immacolata_concezione%2C_esterno_04.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,The Our Lady of the Immaculate Conception Church (Portuguese: Igreja de Nossa Senhora da Imaculada Conceição) is located...,True,False,Direct name match
7926,Liril Falls,Tamil Nadu,Palani Hills,,placeholder,The Palani Hills are a mountain range in the southern Indian states of Tamil Nadu and Kerala. The Palani Hills are an ea...,False,True,Title mismatch: 'Palani Hills' vs 'Liril Falls'
8841,Mandapam,Tamil Nadu,Mandapam,https://upload.wikimedia.org/wikipedia/commons/0/09/Ekambareswarar_Temple_Kanchipuram_Tamil_Nadu_-_Mandapam_with_pillars.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,wikimedia_commons,Mandapam is a panchayat town in Ramanathapuram district in the Indian state of Tamil Nadu. The famed Pamban Railway brid...,True,False,Direct name match
9276,Banasura Border Forest,Tamil Nadu,Banasura Hills,https://upload.wikimedia.org/wikipedia/commons/6/67/DR0069DSC_9221.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,Banasura Hills is situated in Vellamunda and Padinjarathara and it is one of the tallest mountains in the Western Ghats ...,True,False,Token overlap: banasura
10950,Krishnanagar Rajbari & Ghurni Clay Dolls,West Bengal,,,placeholder,,False,True,No title matched
8141,Ucchi Pillayar Temple,Tamil Nadu,"Ucchi Pillayar Temple, Rockfort",https://upload.wikimedia.org/wikipedia/commons/2/21/%E0%B4%A4%E0%B4%BF%E0%B4%B0%E0%B5%81%E0%B4%9A%E0%B5%8D%E0%B4%9A%E0%B4%BF%E0%B4%AE%E0%B4%B2%E0%B4%95%E0%B5%8D%E0%B4%95%E0%B5%8B%E0%B4%9F%E0%B5%8D%E0%B4%9F.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"The Ucchi Pillayar Temple is a 7th-century-CE Hindu temple, one dedicated to Ganesha located a top of Rock Fort, Trichy,...",True,False,Direct name match
7962,Vaikunta Perumal Temple,Tamil Nadu,Jagannatha Perumal temple,https://upload.wikimedia.org/wikipedia/commons/4/4d/Jagannatha_Perumal_temple1.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Jagannatha Perumal Temple (also called Tirumazhisai) Temple is dedicated to Hindu god Vishnu in Tirumazhisai, Chennai Ci...",True,False,Token overlap: perumal
12193,Kadmat Southern Sandbanks & Lagoon Spit,Lakshadweep,,,placeholder,,False,True,No title matched
8408,Hillgrove Scenic Train Pass,Tamil Nadu,,,placeholder,,False,True,No title matched
7017,Virasat-e-Khalsa,Punjab,Virasat-e-Khalsa,https://upload.wikimedia.org/wikipedia/commons/d/d0/Khalsa_Heritage_Memorial_176_Edit.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Virasat-e-Khalsa, also known as the Khalsa Heritage Complex, is a mega-museum complex of Sikhism, located in the town of...",True,False,Direct name match
2400,Dharamshala Tea Garden,Himachal Pradesh,Dharamshala,https://upload.wikimedia.org/wikipedia/commons/a/a6/Dharamshala_03_%28Cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Dharamshala (, Hindi: [d̪ʱərmʃaːlaː]; also spelled Dharamsala) is a town in the Indian state of Himachal Pradesh. It ser...",True,False,Direct name match
10810,Diana River Bridge & Nagrakata Foothills,West Bengal,,,placeholder,,False,True,No title matched
11321,Kalagram Cultural Village & Arts Centre (Manimajra),Chandigarh,,,placeholder,,False,True,No title matched
2493,Sissu,Himachal Pradesh,Sissu,https://upload.wikimedia.org/wikipedia/commons/e/e7/Sissu._Public_Health_Clinic.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,Sissu (also known as Khwaling) is a small town in the Lahaul valley of Himachal Pradesh in India. It is around 40 km fro...,True,False,Direct name match
8617,Theerthamalai Hills,Tamil Nadu,Theerthamalai,https://upload.wikimedia.org/wikipedia/commons/e/ec/View_of_Theerthamalai_from_Harur.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Theerthamalai is an important sacred place in Harur taluk of Dharmapuri district, located in Tamil Nadu, India. The name...",True,False,Direct name match
11063,Terracotta Temples Bishnupur,West Bengal,Bishnupur (West Bengal),https://upload.wikimedia.org/wikipedia/commons/d/d6/RadhaShyam.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Bishnupur (; Bengali: [biʃnupur]; alternatively spelled as Vishnupur) is a city and a municipality in Bankura district, ...",True,False,Token overlap: bishnupur
9031,Yelagiri,Tamil Nadu,Yelagiri,https://upload.wikimedia.org/wikipedia/commons/4/4e/01Yelagiri_Hills.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Yelagiri (Tamil: [jeːlaɡiɾi]), also spelled Elagiri, is a hill station located in Tirupathur district of Tamil Nadu, Ind...",True,False,Direct name match
5043,Jaigad Lighthouse,Maharashtra,Jaigad,https://upload.wikimedia.org/wikipedia/commons/0/0a/Jaigad_Fort_-_panoramio_%282%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,Jaigad (Marathi: जयगड) is a coastal village situated at the mouth of the Shástri river in Ratnagiri district of Maharash...,True,False,Direct name match
4400,Karnala Fort,Maharashtra,Karnala Fort,https://upload.wikimedia.org/wikipedia/commons/5/5a/Yash.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Karnala Fort (also called Funnel Hill) is a hill fort in Raigad district, Maharashtra, India, about 10 km from Panvel ci...",True,False,Direct name match
10802,Garchumuk & 58-Vent Sluice Gate Howrah,West Bengal,,,placeholder,,False,True,No title matched
5086,Tsunami Island,Maharashtra,2004 Indian Ocean earthquake and tsunami,https://upload.wikimedia.org/wikipedia/commons/8/80/US_Navy_050102-N-9593M-040_A_village_near_the_coast_of_Sumatra_lays_in_ruin_after_the_Tsunami_that_struck_South_East_Asia.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"On 26 December 2004, at 07:58:53 local time (UTC+7), a Mw 9.2–9.3 earthquake struck with its epicenter off the west coas...",True,False,Token overlap: tsunami
8553,Valluvar Kottam,Tamil Nadu,Valluvar Kottam,https://upload.wikimedia.org/wikipedia/commons/8/85/Valluvar_Kottam_Edit1.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Valluvar Kottam (Tamil: வள்ளுவர் கோட்டம்) is a monument in Chennai, dedicated to the classical Tamil poet philosopher Va...",True,False,Direct name match
9368,Lumbini Park,Telangana,Lumbini Park,https://upload.wikimedia.org/wikipedia/commons/c/c2/Lumbini_Park%2C_Hyderabad.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Lumbini Park, officially T. Anjaiah Lumbini Park, is a small public, urban park of 3 hectares (7.5 acres) adjacent to Hu...",True,False,Direct name match
2850,M. Chinnaswamy Stadium,Karnataka,M. Chinnaswamy Stadium,https://upload.wikimedia.org/wikipedia/commons/5/52/Chinnaswamy_Stadium.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"The M. Chinnaswamy Stadium, also known as the Karnataka State Cricket Association Stadium, is a cricket stadium in Benga...",True,False,Direct name match
3653,Kumarakom Bird Sanctuary,Kerala,Kumarakom Bird Sanctuary,https://upload.wikimedia.org/wikipedia/commons/4/4d/Kerala_Kumarakom_Bird_Sanctuary.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,Kumarakom Bird Sanctuary (also known as Vembanad Bird Sanctuary) is situated at Kumarakom in Kottayam taluk of Kottayam ...,True,False,Direct name match
10279,Agra,Uttar Pradesh,Agra,https://upload.wikimedia.org/wikipedia/commons/6/68/Taj_Mahal%2C_Agra%2C_India.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Agra (; Hindi: Āgarā, pronounced [ˈaːɡɾaː] ) is a city on the banks of the Yamuna river in the Indian state of Uttar Pra...",True,False,Direct name match
8815,Gangaikonda Cholapuram Route,Tamil Nadu,"Brihadisvara Temple, Gangaikonda Cholapuram",https://upload.wikimedia.org/wikipedia/commons/9/9e/Gangaikondacholapuram_Temple_4.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"The Brihadisvara Temple is a Hindu temple dedicated to Shiva in Gangaikonda Cholapuram, Jayankondam, in the South Indian...",True,False,"Token overlap: gangaikonda, cholapuram"
3393,Kaup Beach and Lighthouse,Karnataka,"Kapu, Udupi",,placeholder,"Kapu or Kaup is a town in the Udupi district of Karnataka, India. It is situated on National Highway 66, approximately 1...",False,True,"Title mismatch: 'Kapu, Udupi' vs 'Kaup Beach and Lighthouse'"
387,Shiva Dol,Assam,Na-Pukhuri Shiva Dol,https://upload.wikimedia.org/wikipedia/commons/6/6d/Rudrasagar_Siva_dol.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,Na-Pukhuri Shiva Dol or Rudrasagar Shiva Dol in an 18th-century Hindu temple constructed during the reign of king Lakshm...,True,False,Direct name match
5142,Kirloskarwadi Industrial Heritage,Maharashtra,,,placeholder,,False,True,No title matched
10697,Kopai River & Sonajhurir Haat Santiniketan,West Bengal,,,placeholder,,False,True,No title matched
10895,South Park Street Cemetery Kolkata,West Bengal,"Park Street, Kolkata",https://upload.wikimedia.org/wikipedia/commons/1/16/Parkstreet.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Park Street, is a famous thoroughfare in downtown Kolkata, India. It is one of Kolkata's most visited places, famed for ...",True,False,"Token overlap: street, kolkata"
10497,Lansdowne,Uttarakhand,Lansdowne,https://upload.wikimedia.org/wikipedia/commons/3/33/Sumitra_Devi%2C_a_Garhwali_shepherd_near_Lansdowne%2C_Uttarakhand_02_-_cropped.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,wikimedia_commons,Lansdowne or Lansdown may refer to:,True,False,Direct name match
2947,Baba Budangiri,Karnataka,Baba Budangiri,https://upload.wikimedia.org/wikipedia/commons/a/ac/A_scenery_from_bababudan_hill.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Baba Budangiri (lit. 'Baba Budan hill'), also known as Chandradrona (lit. 'Moon guide', as the range naturally forms the...",True,False,Direct name match
6798,Dhauli Shanti Stupa,Odisha,Dhauli,https://upload.wikimedia.org/wikipedia/commons/b/bd/ShantiSthupa_Dhauli.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Dhauli or Dhauligiri is a hill located on the banks of the river Daya, 8 km south of Bhubaneswar in Odisha, India.",True,False,Direct name match
5545,Chandel Town Hilltop & St. Peter's Cathedral,Manipur,,,placeholder,,False,True,No title matched
8607,Vadalur Dharmasalai,Tamil Nadu,,,placeholder,,False,True,No title matched
9077,Red Hills Reservoir,Tamil Nadu,Tamil Nadu,,placeholder,Tamil Nadu is the southernmost state of India. The tenth largest Indian state by area and the sixth largest by populatio...,False,True,Title mismatch: 'Tamil Nadu' vs 'Red Hills Reservoir'
5131,Khadakwasla Dam,Maharashtra,Khadakwasla Dam,https://upload.wikimedia.org/wikipedia/commons/f/f1/Khadakwasla_Dam_image.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Khadakwasla Dam is a dam on the Mutha River 21 km (13 mi) from the centre of the city of Pune in Maharashtra, India. The...",True,False,Direct name match
8046,Maruvathur Temple,Tamil Nadu,List of Hindu temples in Tamil Nadu,https://upload.wikimedia.org/wikipedia/commons/1/14/IN-TN.svg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,This is a list of temples in the Indian state of Tamil Nadu. Tamil Nadu is the state with the highest amount of temples ...,True,False,State-disambiguated match: List of Hindu temples in Tamil Nadu
8117,Adi Kumbeswarar Temple,Tamil Nadu,"Adi Kumbeswarar Temple, Kumbakonam",https://upload.wikimedia.org/wikipedia/commons/a/a6/Kumbeswarar_temple_01.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Adi Kumbeswarar Temple, Kumbakonam is a Hindu temple dedicated to Shiva, located in the town of Kumbakonam in Thanjavur ...",True,False,Direct name match
394,Assam State Zoo cum Botanical Garden,Assam,Assam State Zoo cum Botanical Garden,https://upload.wikimedia.org/wikipedia/commons/8/85/Rhino_at_Assam_State_Zoo.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,The Assam State Zoo cum Botanical Garden (popularly known as Guwahati Zoo) is the largest of its kind in the North East ...,True,False,Direct name match
286,Mandala Top,Arunachal Pradesh,Tourism in Northeast India,,placeholder,"Northeast India consists of eight states: Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim and Tr...",False,True,Title mismatch: 'Tourism in Northeast India' vs 'Mandala Top'
7804,Bryant Park,Tamil Nadu,Bryant Park (disambiguation),https://upload.wikimedia.org/wikipedia/commons/8/83/KOD14-4727_Rose_Bryant_Park_Kodaikanal_Tamil_Nadu.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,wikimedia_commons,"Bryant Park is a privately managed public park located in the New York City borough of Manhattan.

42nd Street–Bryant Pa...",True,False,Direct name match
5539,Takmu Water Sports Complex & Rowing Channel,Manipur,,,placeholder,,False,True,No title matched
8208,Thiruvalam Shiva Temple,Tamil Nadu,Vilwanatheswarar temple,,placeholder,"Vilwanatheswarar Temple (also spelled Bilvanathesvara) is a Hindu temple dedicated to the deity Shiva, located in Thiruv...",False,True,Title mismatch: 'Vilwanatheswarar temple' vs 'Thiruvalam Shiva Temple'
8232,Koothanur Saraswathi Temple,Tamil Nadu,Koothanur Maha Saraswathi Temple,https://upload.wikimedia.org/wikipedia/commons/7/79/Koothanur_sarasvathitemple1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,Koothanur Maha Saraswathi Temple is a Hindu temple located in the town of Koothanur in the Tiruvarur district of Tamil N...,True,False,"Token overlap: koothanur, saraswathi"
4970,Gandhi Museum Mumbai,Maharashtra,Mumbai,https://upload.wikimedia.org/wikipedia/commons/2/2b/Mumbai_Bandra-Worli_Sea_Link.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Mumbai ( muum-BY; Marathi: Mumbaī, pronounced [ˈmumbəi] ), also known as Bombay ( bom-BAY; its official name until 1995)...",True,False,Direct name match
5096,Parsik Hill,Maharashtra,Parsik Hill,https://upload.wikimedia.org/wikipedia/commons/e/ef/Mumbra_Devi_Temple_on_Parsik_Hill.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,wikimedia_commons,"Parsik Hill is a hill in the Mumbai metropolitan area, in the Thane district of Maharashtra, India.
It has a rail tunnel...",True,False,Direct name match
10744,Lopchu Tea Estate & Peda Heritage Darjeeling,West Bengal,,,placeholder,,False,True,No title matched
2358,Hadimba Devi Temple,Himachal Pradesh,"Manali, Himachal Pradesh",,placeholder,"Manali (Hindi: manālī, pronounced [mənaːliː]) is a resort town, near Kullu town in the Kullu district in the Indian stat...",False,True,"Title mismatch: 'Manali, Himachal Pradesh' vs 'Hadimba Devi Temple'"
