mapping_id,tourist_place_id,business_id,business_type,distance_km,estimated_travel_time_minutes,relationship_type,priority
MAP000059,DEST00008,BUS000059,homestay,1.12,5,nearby,5
MAP000060,DEST00008,BUS000060,dhaba,1.22,5,nearby,5
MAP000061,DEST00008,BUS000061,hotel,2.13,8,nearby,5
MAP000062,DEST00008,BUS000062,cafe,3.04,12,close,5
MAP000063,DEST00008,BUS000063,guest_house,3.96,15,close,5
MAP000064,DEST00008,BUS000064,homestay,5.39,15,surrounding,5
MAP000065,DEST00009,BUS000065,hotel,0.49,5,very_near,5
MAP000066,DEST00009,BUS000066,restaurant,0.57,6,very_near,5
MAP000067,DEST00009,BUS000067,homestay,1.12,5,nearby,5
MAP000068,DEST00009,BUS000068,dhaba,1.22,5,nearby,5
MAP000069,DEST00009,BUS000069,hotel,2.13,8,nearby,5
MAP000070,DEST00009,BUS000070,cafe,3.04,12,close,5
MAP000071,DEST00009,BUS000071,guest_house,3.96,15,close,5
MAP000072,DEST00009,BUS000072,homestay,5.39,15,surrounding,5
MAP000073,DEST00010,BUS000073,hotel,0.49,5,very_near,5
MAP000074,DEST00010,BUS000074,restaurant,0.57,6,very_near,5
MAP000075,DEST00010,BUS000075,homestay,1.12,5,nearby,5
MAP000076,DEST00010,BUS000076,dhaba,1.22,5,nearby,5
MAP000077,DEST00010,BUS000077,hotel,2.13,8,nearby,5
MAP000078,DEST00010,BUS000078,cafe,3.04,12,close,5
MAP000079,DEST00010,BUS000079,guest_house,3.96,15,close,5
MAP000080,DEST00010,BUS000080,homestay,5.39,15,surrounding,5
MAP000081,DEST00011,BUS000081,hotel,0.49,5,very_near,5
MAP000082,DEST00011,BUS000082,restaurant,0.57,6,very_near,5
MAP000083,DEST00011,BUS000083,homestay,1.12,5,nearby,5
MAP000084,DEST00011,BUS000084,dhaba,1.22,5,nearby,5
MAP000085,DEST00011,BUS000085,hotel,2.13,8,nearby,5
MAP000086,DEST00011,BUS000086,cafe,3.04,12,close,5
MAP000087,DEST00011,BUS000087,guest_house,3.96,15,close,5
MAP000088,DEST00011,BUS000088,homestay,5.39,15,surrounding,5
MAP000089,DEST00012,BUS000089,hotel,0.49,5,very_near,5
MAP000090,DEST00012,BUS000090,restaurant,0.57,6,very_near,5
MAP000091,DEST00012,BUS000091,homestay,1.12,5,nearby,5
MAP000092,DEST00012,BUS000092,dhaba,1.22,5,nearby,5
MAP000093,DEST00012,BUS000093,hotel,2.13,8,nearby,5
MAP000094,DEST00012,BUS000094,cafe,3.04,12,close,5
MAP000095,DEST00012,BUS000095,guest_house,3.96,15,close,5
MAP000096,DEST00012,BUS000096,homestay,5.39,15,surrounding,5
MAP000097,DEST00013,BUS000097,hotel,0.49,5,very_near,5
MAP000098,DEST00013,BUS000098,restaurant,0.57,6,very_near,5
MAP000099,DEST00013,BUS000099,homestay,1.12,5,nearby,5
MAP000100,DEST00013,BUS000100,dhaba,1.22,5,nearby,5
MAP000101,DEST00013,BUS000101,hotel,2.13,8,nearby,5
MAP000102,DEST00013,BUS000102,cafe,3.04,12,close,5
MAP000103,DEST00013,BUS000103,guest_house,3.96,15,close,5
MAP000104,DEST00013,BUS000104,homestay,5.39,15,surrounding,5
MAP000105,DEST00014,BUS000105,hotel,0.49,5,very_near,5
MAP000106,DEST00014,BUS000106,restaurant,0.57,6,very_near,5
MAP000107,DEST00014,BUS000107,homestay,1.12,5,nearby,5
MAP000108,DEST00014,BUS000108,dhaba,1.22,5,nearby,5
MAP000109,DEST00014,BUS000109,hotel,2.13,8,nearby,5
MAP000110,DEST00014,BUS000110,cafe,3.04,12,close,5
MAP000111,DEST00014,BUS000111,guest_house,3.96,15,close,5
MAP000112,DEST00014,BUS000112,homestay,5.39,15,surrounding,5
MAP000121,DEST00016,BUS000121,hotel,0.49,5,very_near,5
MAP000122,DEST00016,BUS000122,restaurant,0.57,6,very_near,5
MAP000123,DEST00016,BUS000123,homestay,1.12,5,nearby,5
MAP000124,DEST00016,BUS000124,dhaba,1.22,5,nearby,5
MAP000125,DEST00016,BUS000125,hotel,2.13,8,nearby,5
MAP000126,DEST00016,BUS000126,cafe,3.04,12,close,5
MAP000127,DEST00016,BUS000127,guest_house,3.96,15,close,5
MAP000128,DEST00016,BUS000128,homestay,5.39,15,surrounding,5
MAP000129,DEST00017,BUS000129,hotel,0.49,5,very_near,5
MAP000130,DEST00017,BUS000130,restaurant,0.57,6,very_near,5
MAP000131,DEST00017,BUS000131,homestay,1.12,5,nearby,5
MAP000132,DEST00017,BUS000132,dhaba,1.22,5,nearby,5
MAP000133,DEST00017,BUS000133,hotel,2.13,8,nearby,5
MAP000134,DEST00017,BUS000134,cafe,3.04,12,close,5
MAP000135,DEST00017,BUS000135,guest_house,3.96,15,close,5
MAP000136,DEST00017,BUS000136,homestay,5.39,15,surrounding,5
MAP000137,DEST00018,BUS000137,hotel,0.49,5,very_near,5
MAP000138,DEST00018,BUS000138,restaurant,0.57,6,very_near,5
MAP000139,DEST00018,BUS000139,homestay,1.12,5,nearby,5
MAP000140,DEST00018,BUS000140,dhaba,1.22,5,nearby,5
MAP000141,DEST00018,BUS000141,hotel,2.13,8,nearby,5
MAP000142,DEST00018,BUS000142,cafe,3.04,12,close,5
MAP000143,DEST00018,BUS000143,guest_house,3.96,15,close,5
MAP000144,DEST00018,BUS000144,homestay,5.39,15,surrounding,5
MAP000145,DEST00019,BUS000145,hotel,0.49,5,very_near,5
MAP000146,DEST00019,BUS000146,restaurant,0.57,6,very_near,5
MAP000147,DEST00019,BUS000147,homestay,1.12,5,nearby,5
MAP000148,DEST00019,BUS000148,dhaba,1.22,5,nearby,5
MAP000149,DEST00019,BUS000149,hotel,2.13,8,nearby,5
MAP000150,DEST00019,BUS000150,cafe,3.04,12,close,5
MAP000151,DEST00019,BUS000151,guest_house,3.96,15,close,5
MAP000152,DEST00019,BUS000152,homestay,5.39,15,surrounding,5
MAP000153,DEST00020,BUS000153,hotel,0.49,5,very_near,5
MAP000154,DEST00020,BUS000154,restaurant,0.57,6,very_near,5
MAP000155,DEST00020,BUS000155,homestay,1.12,5,nearby,5
MAP000156,DEST00020,BUS000156,dhaba,1.22,5,nearby,5
MAP000157,DEST00020,BUS000157,hotel,2.13,8,nearby,5
MAP000158,DEST00020,BUS000158,cafe,3.04,12,close,5
MAP000159,DEST00020,BUS000159,guest_house,3.96,15,close,5
MAP000160,DEST00020,BUS000160,homestay,5.39,15,surrounding,5
MAP000161,DEST00021,BUS000161,hotel,0.49,5,very_near,5
MAP000162,DEST00021,BUS000162,restaurant,0.57,6,very_near,5
MAP000163,DEST00021,BUS000163,homestay,1.12,5,nearby,5
MAP000164,DEST00021,BUS000164,dhaba,1.22,5,nearby,5
MAP000165,DEST00021,BUS000165,hotel,2.13,8,nearby,5
MAP000166,DEST00021,BUS000166,cafe,3.04,12,close,5
MAP000167,DEST00021,BUS000167,guest_house,3.96,15,close,5
MAP000168,DEST00021,BUS000168,homestay,5.39,15,surrounding,5
MAP000169,DEST00022,BUS000169,hotel,0.49,5,very_near,5
MAP000170,DEST00022,BUS000170,restaurant,0.57,6,very_near,5
MAP000171,DEST00022,BUS000171,homestay,1.12,5,nearby,5
MAP000172,DEST00022,BUS000172,dhaba,1.22,5,nearby,5
MAP000173,DEST00022,BUS000173,hotel,2.13,8,nearby,5
MAP000174,DEST00022,BUS000174,cafe,3.04,12,close,5
MAP000175,DEST00022,BUS000175,guest_house,3.96,15,close,5
MAP000176,DEST00022,BUS000176,homestay,5.39,15,surrounding,5
MAP000177,DEST00023,BUS000177,hotel,0.49,5,very_near,5
MAP000178,DEST00023,BUS000178,restaurant,0.57,6,very_near,5
MAP000179,DEST00023,BUS000179,homestay,1.12,5,nearby,5
MAP000180,DEST00023,BUS000180,dhaba,1.22,5,nearby,5
MAP000181,DEST00023,BUS000181,hotel,2.13,8,nearby,5
MAP000182,DEST00023,BUS000182,cafe,3.04,12,close,5
MAP000183,DEST00023,BUS000183,guest_house,3.96,15,close,5
MAP000184,DEST00023,BUS000184,homestay,5.39,15,surrounding,5
MAP000185,DEST00024,BUS000185,hotel,0.49,5,very_near,5
MAP000186,DEST00024,BUS000186,restaurant,0.57,6,very_near,5
MAP000187,DEST00024,BUS000187,homestay,1.12,5,nearby,5
MAP000188,DEST00024,BUS000188,dhaba,1.22,5,nearby,5
MAP000189,DEST00024,BUS000189,hotel,2.13,8,nearby,5
MAP000190,DEST00024,BUS000190,cafe,3.04,12,close,5
MAP000191,DEST00024,BUS000191,guest_house,3.96,15,close,5
MAP000192,DEST00024,BUS000192,homestay,5.39,15,surrounding,5
MAP000193,DEST00025,BUS000193,hotel,0.49,5,very_near,5
MAP000194,DEST00025,BUS000194,restaurant,0.57,6,very_near,5
MAP000195,DEST00025,BUS000195,homestay,1.12,5,nearby,5
MAP000196,DEST00025,BUS000196,dhaba,1.22,5,nearby,5
MAP000197,DEST00025,BUS000197,hotel,2.13,8,nearby,5
MAP000198,DEST00025,BUS000198,cafe,3.04,12,close,5
MAP000199,DEST00025,BUS000199,guest_house,3.96,15,close,5
MAP000200,DEST00025,BUS000200,homestay,5.39,15,surrounding,5
MAP000201,DEST00225,BUS000201,hotel,0.48,5,very_near,5
MAP000202,DEST00225,BUS000202,restaurant,0.56,6,very_near,5
MAP000203,DEST00225,BUS000203,homestay,1.08,5,nearby,5
MAP000204,DEST00225,BUS000204,dhaba,1.18,5,nearby,5
MAP000205,DEST00225,BUS000205,hotel,2.07,8,nearby,5
MAP000206,DEST00225,BUS000206,cafe,2.94,11,nearby,5
MAP000207,DEST00225,BUS000207,guest_house,3.84,15,close,5
MAP000208,DEST00225,BUS000208,homestay,5.22,15,surrounding,5
MAP000209,DEST00226,BUS000209,hotel,0.48,5,very_near,5
MAP000210,DEST00226,BUS000210,restaurant,0.56,6,very_near,5
MAP000211,DEST00226,BUS000211,homestay,1.08,5,nearby,5
MAP000212,DEST00226,BUS000212,dhaba,1.18,5,nearby,5
MAP000213,DEST00226,BUS000213,hotel,2.07,8,nearby,5
MAP000214,DEST00226,BUS000214,cafe,2.94,11,nearby,5
MAP000215,DEST00226,BUS000215,guest_house,3.84,15,close,5
MAP000216,DEST00226,BUS000216,homestay,5.22,15,surrounding,5
MAP000217,DEST00227,BUS000217,hotel,0.48,5,very_near,5
MAP000218,DEST00227,BUS000218,restaurant,0.56,6,very_near,5
MAP000219,DEST00227,BUS000219,homestay,1.08,5,nearby,5
MAP000220,DEST00227,BUS000220,dhaba,1.18,5,nearby,5
MAP000221,DEST00227,BUS000221,hotel,2.06,8,nearby,5
MAP000222,DEST00227,BUS000222,cafe,2.93,11,nearby,5
MAP000223,DEST00227,BUS000223,guest_house,3.84,15,close,5
MAP000224,DEST00227,BUS000224,homestay,5.21,15,surrounding,5
MAP000225,DEST00228,BUS000225,hotel,0.48,5,very_near,5
MAP000226,DEST00228,BUS000226,restaurant,0.56,6,very_near,5
MAP000227,DEST00228,BUS000227,homestay,1.08,5,nearby,5
MAP000228,DEST00228,BUS000228,dhaba,1.18,5,nearby,5
MAP000229,DEST00228,BUS000229,hotel,2.06,8,nearby,5
MAP000230,DEST00228,BUS000230,cafe,2.93,11,nearby,5
MAP000231,DEST00228,BUS000231,guest_house,3.84,15,close,5
MAP000232,DEST00228,BUS000232,homestay,5.21,15,surrounding,5
MAP000233,DEST00229,BUS000233,hotel,0.48,5,very_near,5
MAP000234,DEST00229,BUS000234,restaurant,0.56,6,very_near,5
MAP000235,DEST00229,BUS000235,homestay,1.08,5,nearby,5
MAP000236,DEST00229,BUS000236,dhaba,1.18,5,nearby,5
MAP000237,DEST00229,BUS000237,hotel,2.06,8,nearby,5
MAP000238,DEST00229,BUS000238,cafe,2.94,11,nearby,5
MAP000239,DEST00229,BUS000239,guest_house,3.84,15,close,5
MAP000240,DEST00229,BUS000240,homestay,5.22,15,surrounding,5
MAP000241,DEST00230,BUS000241,hotel,0.48,5,very_near,5
MAP000242,DEST00230,BUS000242,restaurant,0.56,6,very_near,5
MAP000243,DEST00230,BUS000243,homestay,1.08,5,nearby,5
MAP000244,DEST00230,BUS000244,dhaba,1.18,5,nearby,5
MAP000245,DEST00230,BUS000245,hotel,2.06,8,nearby,5
MAP000246,DEST00230,BUS000246,cafe,2.93,11,nearby,5
MAP000247,DEST00230,BUS000247,guest_house,3.84,15,close,5
MAP000248,DEST00230,BUS000248,homestay,5.21,15,surrounding,5
MAP000249,DEST00231,BUS000249,hotel,0.48,5,very_near,5
MAP000250,DEST00231,BUS000250,restaurant,0.56,6,very_near,5
MAP000251,DEST00231,BUS000251,homestay,1.08,5,nearby,5
MAP000252,DEST00231,BUS000252,dhaba,1.18,5,nearby,5
MAP000253,DEST00231,BUS000253,hotel,2.06,8,nearby,5
MAP000254,DEST00231,BUS000254,cafe,2.94,11,nearby,5
MAP000255,DEST00231,BUS000255,guest_house,3.84,15,close,5
MAP000256,DEST00231,BUS000256,homestay,5.22,15,surrounding,5
MAP000257,DEST00232,BUS000257,hotel,0.48,5,very_near,5
MAP000258,DEST00232,BUS000258,restaurant,0.56,6,very_near,5
MAP000259,DEST00232,BUS000259,homestay,1.08,5,nearby,5
MAP000260,DEST00232,BUS000260,dhaba,1.18,5,nearby,5
MAP000261,DEST00232,BUS000261,hotel,2.06,8,nearby,5
MAP000262,DEST00232,BUS000262,cafe,2.93,11,nearby,5
MAP000263,DEST00232,BUS000263,guest_house,3.84,15,close,5
MAP000264,DEST00232,BUS000264,homestay,5.22,15,surrounding,5
MAP000265,DEST00233,BUS000265,hotel,0.48,5,very_near,5
MAP000266,DEST00233,BUS000266,restaurant,0.56,6,very_near,5
MAP000267,DEST00233,BUS000267,homestay,1.07,5,nearby,5
MAP000268,DEST00233,BUS000268,dhaba,1.18,5,nearby,5
MAP000269,DEST00233,BUS000269,hotel,2.06,8,nearby,5
MAP000270,DEST00233,BUS000270,cafe,2.92,11,nearby,5
MAP000271,DEST00233,BUS000271,guest_house,3.83,15,close,5
MAP000272,DEST00233,BUS000272,homestay,5.19,15,surrounding,5
MAP000273,DEST00234,BUS000273,hotel,0.48,5,very_near,5
MAP000274,DEST00234,BUS000274,restaurant,0.56,6,very_near,5
MAP000275,DEST00234,BUS000275,homestay,1.08,5,nearby,5
MAP000276,DEST00234,BUS000276,dhaba,1.18,5,nearby,5
MAP000277,DEST00234,BUS000277,hotel,2.06,8,nearby,5
MAP000278,DEST00234,BUS000278,cafe,2.93,11,nearby,5
MAP000279,DEST00234,BUS000279,guest_house,3.83,15,close,5
MAP000280,DEST00234,BUS000280,homestay,5.21,15,surrounding,5
MAP000281,DEST00235,BUS000281,hotel,0.48,5,very_near,5
MAP000282,DEST00235,BUS000282,restaurant,0.56,6,very_near,5
MAP000283,DEST00235,BUS000283,homestay,1.08,5,nearby,5
MAP000284,DEST00235,BUS000284,dhaba,1.18,5,nearby,5
MAP000285,DEST00235,BUS000285,hotel,2.06,8,nearby,5
MAP000286,DEST00235,BUS000286,cafe,2.93,11,nearby,5
MAP000287,DEST00235,BUS000287,guest_house,3.83,15,close,5
MAP000288,DEST00235,BUS000288,homestay,5.21,15,surrounding,5
MAP000289,DEST00236,BUS000289,hotel,0.48,5,very_near,5
MAP000290,DEST00236,BUS000290,restaurant,0.56,6,very_near,5
MAP000291,DEST00236,BUS000291,homestay,1.07,5,nearby,5
MAP000292,DEST00236,BUS000292,dhaba,1.18,5,nearby,5
MAP000293,DEST00236,BUS000293,hotel,2.06,8,nearby,5
MAP000294,DEST00236,BUS000294,cafe,2.92,11,nearby,5
MAP000295,DEST00236,BUS000295,guest_house,3.83,15,close,5
MAP000296,DEST00236,BUS000296,homestay,5.19,15,surrounding,5
MAP000297,DEST00237,BUS000297,hotel,0.48,5,very_near,5
MAP000298,DEST00237,BUS000298,restaurant,0.56,6,very_near,5
MAP000299,DEST00237,BUS000299,homestay,1.07,5,nearby,5
MAP000300,DEST00237,BUS000300,dhaba,1.18,5,nearby,5
MAP000301,DEST00237,BUS000301,hotel,2.06,8,nearby,5
MAP000302,DEST00237,BUS000302,cafe,2.92,11,nearby,5
MAP000303,DEST00237,BUS000303,guest_house,3.83,15,close,5
MAP000304,DEST00237,BUS000304,homestay,5.2,15,surrounding,5
MAP000305,DEST00238,BUS000305,hotel,0.48,5,very_near,5
MAP000306,DEST00238,BUS000306,restaurant,0.56,6,very_near,5
MAP000307,DEST00238,BUS000307,homestay,1.08,5,nearby,5
MAP000308,DEST00238,BUS000308,dhaba,1.18,5,nearby,5
MAP000309,DEST00238,BUS000309,hotel,2.07,8,nearby,5
MAP000310,DEST00238,BUS000310,cafe,2.94,11,nearby,5
MAP000311,DEST00238,BUS000311,guest_house,3.85,15,close,5
MAP000312,DEST00238,BUS000312,homestay,5.22,15,surrounding,5
MAP000313,DEST00239,BUS000313,hotel,0.48,5,very_near,5
MAP000314,DEST00239,BUS000314,restaurant,0.56,6,very_near,5
MAP000315,DEST00239,BUS000315,homestay,1.08,5,nearby,5
MAP000316,DEST00239,BUS000316,dhaba,1.18,5,nearby,5
MAP000317,DEST00239,BUS000317,hotel,2.06,8,nearby,5
MAP000318,DEST00239,BUS000318,cafe,2.94,11,nearby,5
MAP000319,DEST00239,BUS000319,guest_house,3.84,15,close,5
MAP000320,DEST00239,BUS000320,homestay,5.22,15,surrounding,5
MAP000321,DEST00240,BUS000321,hotel,0.48,5,very_near,5
MAP000322,DEST00240,BUS000322,restaurant,0.56,6,very_near,5
MAP000323,DEST00240,BUS000323,homestay,1.08,5,nearby,5
MAP000324,DEST00240,BUS000324,dhaba,1.18,5,nearby,5
MAP000325,DEST00240,BUS000325,hotel,2.06,8,nearby,5
MAP000326,DEST00240,BUS000326,cafe,2.93,11,nearby,5
MAP000327,DEST00240,BUS000327,guest_house,3.84,15,close,5
MAP000328,DEST00240,BUS000328,homestay,5.22,15,surrounding,5
MAP000329,DEST00241,BUS000329,hotel,0.48,5,very_near,5
MAP000330,DEST00241,BUS000330,restaurant,0.56,6,very_near,5
MAP000331,DEST00241,BUS000331,homestay,1.08,5,nearby,5
MAP000332,DEST00241,BUS000332,dhaba,1.18,5,nearby,5
MAP000333,DEST00241,BUS000333,hotel,2.06,8,nearby,5
MAP000334,DEST00241,BUS000334,cafe,2.93,11,nearby,5
MAP000335,DEST00241,BUS000335,guest_house,3.84,15,close,5
MAP000336,DEST00241,BUS000336,homestay,5.22,15,surrounding,5
MAP000337,DEST00242,BUS000337,hotel,0.48,5,very_near,5
MAP000338,DEST00242,BUS000338,restaurant,0.56,6,very_near,5
MAP000339,DEST00242,BUS000339,homestay,1.08,5,nearby,5
MAP000340,DEST00242,BUS000340,dhaba,1.18,5,nearby,5
MAP000341,DEST00242,BUS000341,hotel,2.06,8,nearby,5
MAP000342,DEST00242,BUS000342,cafe,2.93,11,nearby,5
MAP000343,DEST00242,BUS000343,guest_house,3.83,15,close,5
MAP000344,DEST00242,BUS000344,homestay,5.2,15,surrounding,5
MAP000345,DEST00243,BUS000345,hotel,0.48,5,very_near,5
MAP000346,DEST00243,BUS000346,restaurant,0.56,6,very_near,5
MAP000347,DEST00243,BUS000347,homestay,1.08,5,nearby,5
MAP000348,DEST00243,BUS000348,dhaba,1.18,5,nearby,5
MAP000349,DEST00243,BUS000349,hotel,2.06,8,nearby,5
MAP000350,DEST00243,BUS000350,cafe,2.93,11,nearby,5
MAP000351,DEST00243,BUS000351,guest_house,3.84,15,close,5
MAP000352,DEST00243,BUS000352,homestay,5.21,15,surrounding,5
MAP000353,DEST00244,BUS000353,hotel,0.48,5,very_near,5
MAP000354,DEST00244,BUS000354,restaurant,0.56,6,very_near,5
MAP000355,DEST00244,BUS000355,homestay,1.08,5,nearby,5
MAP000356,DEST00244,BUS000356,dhaba,1.18,5,nearby,5
MAP000357,DEST00244,BUS000357,hotel,2.06,8,nearby,5
MAP000358,DEST00244,BUS000358,cafe,2.93,11,nearby,5
MAP000359,DEST00244,BUS000359,guest_house,3.84,15,close,5
MAP000360,DEST00244,BUS000360,homestay,5.21,15,surrounding,5
MAP000361,DEST00245,BUS000361,hotel,0.48,5,very_near,5
MAP000362,DEST00245,BUS000362,restaurant,0.56,6,very_near,5
MAP000363,DEST00245,BUS000363,homestay,1.08,5,nearby,5
MAP000364,DEST00245,BUS000364,dhaba,1.18,5,nearby,5
MAP000365,DEST00245,BUS000365,hotel,2.06,8,nearby,5
MAP000366,DEST00245,BUS000366,cafe,2.93,11,nearby,5
MAP000367,DEST00245,BUS000367,guest_house,3.84,15,close,5
MAP000368,DEST00245,BUS000368,homestay,5.21,15,surrounding,5
MAP000369,DEST00246,BUS000369,hotel,0.48,5,very_near,5
MAP000370,DEST00246,BUS000370,restaurant,0.56,6,very_near,5
MAP000371,DEST00246,BUS000371,homestay,1.08,5,nearby,5
MAP000372,DEST00246,BUS000372,dhaba,1.18,5,nearby,5
MAP000373,DEST00246,BUS000373,hotel,2.06,8,nearby,5
MAP000374,DEST00246,BUS000374,cafe,2.93,11,nearby,5
MAP000375,DEST00246,BUS000375,guest_house,3.84,15,close,5
MAP000376,DEST00246,BUS000376,homestay,5.21,15,surrounding,5
MAP000377,DEST00247,BUS000377,hotel,0.48,5,very_near,5
MAP000378,DEST00247,BUS000378,restaurant,0.56,6,very_near,5
MAP000379,DEST00247,BUS000379,homestay,1.08,5,nearby,5
MAP000380,DEST00247,BUS000380,dhaba,1.18,5,nearby,5
MAP000381,DEST00247,BUS000381,hotel,2.06,8,nearby,5
MAP000382,DEST00247,BUS000382,cafe,2.93,11,nearby,5
MAP000383,DEST00247,BUS000383,guest_house,3.84,15,close,5
MAP000384,DEST00247,BUS000384,homestay,5.21,15,surrounding,5
MAP000385,DEST00248,BUS000385,hotel,0.48,5,very_near,5
MAP000386,DEST00248,BUS000386,restaurant,0.56,6,very_near,5
MAP000387,DEST00248,BUS000387,homestay,1.08,5,nearby,5
MAP000388,DEST00248,BUS000388,dhaba,1.18,5,nearby,5
MAP000389,DEST00248,BUS000389,hotel,2.06,8,nearby,5
MAP000390,DEST00248,BUS000390,cafe,2.93,11,nearby,5
MAP000391,DEST00248,BUS000391,guest_house,3.84,15,close,5
MAP000392,DEST00248,BUS000392,homestay,5.21,15,surrounding,5
MAP000393,DEST00249,BUS000393,hotel,0.48,5,very_near,5
MAP000394,DEST00249,BUS000394,restaurant,0.56,6,very_near,5
MAP000395,DEST00249,BUS000395,homestay,1.08,5,nearby,5
MAP000396,DEST00249,BUS000396,dhaba,1.18,5,nearby,5
MAP000397,DEST00249,BUS000397,hotel,2.06,8,nearby,5
MAP000398,DEST00249,BUS000398,cafe,2.93,11,nearby,5
MAP000399,DEST00249,BUS000399,guest_house,3.84,15,close,5
MAP000400,DEST00249,BUS000400,homestay,5.21,15,surrounding,5
MAP000401,DEST00351,BUS000401,hotel,0.48,5,very_near,5
MAP000402,DEST00351,BUS000402,restaurant,0.56,6,very_near,5
MAP000403,DEST00351,BUS000403,homestay,1.08,5,nearby,5
MAP000404,DEST00351,BUS000404,dhaba,1.19,5,nearby,5
MAP000405,DEST00351,BUS000405,hotel,2.07,8,nearby,5
MAP000406,DEST00351,BUS000406,cafe,2.95,11,nearby,5
MAP000407,DEST00351,BUS000407,guest_house,3.85,15,close,5
MAP000408,DEST00351,BUS000408,homestay,5.24,15,surrounding,5
MAP000409,DEST00352,BUS000409,hotel,0.48,5,very_near,5
MAP000410,DEST00352,BUS000410,restaurant,0.56,6,very_near,5
MAP000411,DEST00352,BUS000411,homestay,1.08,5,nearby,5
MAP000412,DEST00352,BUS000412,dhaba,1.19,5,nearby,5
MAP000413,DEST00352,BUS000413,hotel,2.07,8,nearby,5
MAP000414,DEST00352,BUS000414,cafe,2.94,11,nearby,5
MAP000415,DEST00352,BUS000415,guest_house,3.85,15,close,5
