tourist_place_id,tourist_place_name,destination_type,description,city,district,state,country,latitude,longitude,best_time_to_visit,average_visit_duration,estimated_budget,crowd_level,popularity,heritage,nature,adventure,culture,spiritual,family_friendly,accessibility,sustainability,safety_status,nearby_transport,official_website,source_url,source_name,verification_status
DEST00011,Jungle Book & Park,Attraction,"Jungle Book & Park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural l",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.6109,79.4439,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00012,Kumaradhara Theertham,Attraction,"Kumaradhara Theertham is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.728562,79.327734,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,Emerging / Hidden Gem,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00013,Lepakshi Veerabhadra Temple & Hanging Pillar,Attraction,"Lepakshi Circle is a renowned cultural landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landsc",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.63345,79.40175,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00014,Narayanagiri Gardens,Attraction,"Narayanagiri Gardens is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.681413,79.342953,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00016,Papavinasam Theertham,Attraction,"Papavinasam Theertham is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.719963,79.344578,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00017,Prakasam Park,Attraction,"Prakasam Park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landsc",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.62745,79.40975,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00018,Rock Garden.,Attraction,"Rock Garden. is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landsca",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.685937,79.340859,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00019,Seshachala Vanadarshini Forest Museum,Attraction,"Seshachala Vanadarshini Forest Museum is a renowned cultural landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role ",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.659562,79.383891,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00020,Silathoranam Garden,Attraction,"Silathoranam Garden is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural ",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.60985,79.43655,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00021,"Sri Anjaneyaswami Mandir, Tirumala Tirupati",Attraction,"Sri Anjaneyaswami Mandir, Tirumala Tirupati is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integra",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.659913,79.384016,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00022,Sri Babu Jagjivanram park,Attraction,"Sri Babu Jagjivanram park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cul",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.618437,79.425016,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00023,Sri Bedi Anjaneya Swamy Temple,Attraction,"Sri Bedi Anjaneya Swamy Temple is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.683463,79.349172,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00024,Sri Kapileswara Swamy Temple | Tirupati,Attraction,"Sri Kapileswara Swamy Temple | Tirupati is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral ro",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.656212,79.421234,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00025,Sri Padmavathi Park,Attraction,"Sri Padmavathi Park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural ",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.618562,79.421766,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00026,"Sri Prasanna Venkateswara Swamy Temple, Appalayagunta",Attraction,"Sri Prasanna Venkateswara Swamy Temple, Appalayagunta is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays ",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.6322,79.443,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00027,Sri Siva Nagendra Swami Temple,Attraction,"Sri Siva Nagendra Swami Temple is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.645737,79.418984,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00028,Sri Venkateshwara Temple,Attraction,"Sri Venkateshwara Temple is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultu",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.631213,79.422234,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,Emerging / Hidden Gem,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00029,Sri Venkateswara Dhyana Jnana Mandiram,Attraction,"Sri Venkateswara Dhyana Jnana Mandiram is a renowned cultural landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.680238,79.346984,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00030,Sri Venkateswara Swamy Temple,Attraction,"Sri Venkateswara Swamy Temple is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the ",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.63255,79.39545,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00031,Sri Venugopala Swamy Temple,Attraction,"Sri Venugopala Swamy Temple is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cu",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.703038,79.344859,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00032,Srivari Paadaalu,Attraction,"Srivari Paadaalu is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural land",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.679488,79.333078,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00033,Swami Pushkarini,Attraction,"Swami Pushkarini is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural land",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.684387,79.347891,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00034,Tirumala Chakratheertham,Attraction,"Tirumala Chakratheertham is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultu",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.688413,79.340172,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00035,Tirumala Deer Park Reserve,Attraction,"Tirumala Deer Park Reserve is a renowned wildlife landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cult",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.658713,79.389141,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00036,Tirumala View Point,Attraction,"Tirumala View Point is a renowned nature landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural land",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.639837,79.365641,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00037,View Point of Jungle Book,Attraction,"View Point of Jungle Book is a renowned nature landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultura",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.653388,79.418203,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,Emerging / Hidden Gem,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00038,Appikonda Beach,Attraction,"Appikonda Beach is a renowned nature landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultura",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,17.585013,83.197172,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
