Number,City Name,State Name,Road Connectivity Score (1-100),Train Connectivity Score (1-100),Flight Connectivity Score (1-100),Overall Connectivity Score (1-100),Road Access Indicator,Train Access Indicator,Flight Access Indicator,Connectivity Confidence
29,Sivasagar,Assam,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
30,Silchar,Assam,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
31,Tezpur,Assam,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
32,Tinsukia,Assam,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
33,Ara,Bihar,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
34,Barauni,Bihar,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
35,Begusarai,Bihar,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
36,Bettiah,Bihar,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
37,Bhagalpur,Bihar,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
38,Bihar Sharif,Bihar,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
39,Bodh Gaya,Bihar,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
40,Buxar,Bihar,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
41,Chapra,Bihar,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
42,Darbhanga,Bihar,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
43,Dehri,Bihar,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
44,Dinapur Nizamat,Bihar,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
45,Gaya,Bihar,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
46,Hajipur,Bihar,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
47,Jamalpur,Bihar,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
48,Katihar,Bihar,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
49,Madhubani,Bihar,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
50,Motihari,Bihar,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
51,Munger,Bihar,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
52,Muzaffarpur,Bihar,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
53,Patna,Bihar,95,90,90,92,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
54,Purnia,Bihar,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
55,Pusa,Bihar,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
56,Saharsa,Bihar,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
57,Samastipur,Bihar,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
58,Sasaram,Bihar,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
59,Sitamarhi,Bihar,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
60,Siwan,Bihar,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
61,Chandigarh,Chandigarh,95,90,90,92,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
62,Ambikapur,Chhattisgarh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
63,Bhilai,Chhattisgarh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
64,Bilaspur,Chhattisgarh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
65,Dhamtari,Chhattisgarh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
66,Durg,Chhattisgarh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
67,Jagdalpur,Chhattisgarh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
68,Raipur,Chhattisgarh,95,90,90,92,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
69,Rajnandgaon,Chhattisgarh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
70,Daman,Dadra and Nagar Haveli and Daman and Diu,75,90,90,85,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
71,Diu,Dadra and Nagar Haveli and Daman and Diu,65,90,90,82,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
72,Silvassa,Dadra and Nagar Haveli and Daman and Diu,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
73,Delhi,Delhi,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
74,New Delhi,Delhi,75,35,20,43,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
75,Madgaon,Goa,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
76,Panaji,Goa,75,90,20,62,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
77,Ahmadabad,Gujarat,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
78,Amreli,Gujarat,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
79,Bharuch,Gujarat,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
80,Bhavnagar,Gujarat,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
81,Bhuj,Gujarat,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
82,Dwarka,Gujarat,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
83,Gandhinagar,Gujarat,95,90,90,92,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
84,Godhra,Gujarat,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
85,Jamnagar,Gujarat,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
86,Junagadh,Gujarat,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
87,Kandla,Gujarat,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
88,Khambhat,Gujarat,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
89,Kheda,Gujarat,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
90,Mahesana,Gujarat,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
91,Morbi,Gujarat,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
92,Nadiad,Gujarat,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
93,Navsari,Gujarat,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
94,Okha,Gujarat,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
95,Palanpur,Gujarat,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
96,Patan,Gujarat,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
97,Porbandar,Gujarat,65,90,90,82,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
98,Rajkot,Gujarat,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
99,Surat,Gujarat,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
100,Surendranagar,Gujarat,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
101,Valsad,Gujarat,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
102,Veraval,Gujarat,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
103,Ambala,Haryana,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
104,Bhiwani,Haryana,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
105,Chandigarh,Haryana,95,90,90,92,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
106,Faridabad,Haryana,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
107,Firozpur Jhirka,Haryana,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
108,Gurugram,Haryana,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
109,Hansi,Haryana,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
110,Hisar,Haryana,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
111,Jind,Haryana,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
112,Kaithal,Haryana,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
113,Karnal,Haryana,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
114,Kurukshetra,Haryana,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
115,Panipat,Haryana,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
116,Pehowa,Haryana,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
117,Rewari,Haryana,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
118,Rohtak,Haryana,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
119,Sirsa,Haryana,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
120,Sonipat,Haryana,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
121,Bilaspur,Himachal Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
122,Chamba,Himachal Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
123,Dalhousie,Himachal Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
124,Dharmshala,Himachal Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
125,Hamirpur,Himachal Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
126,Kangra,Himachal Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
127,Kullu,Himachal Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
128,Mandi,Himachal Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
129,Nahan,Himachal Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
130,Shimla,Himachal Pradesh,95,90,90,92,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
131,Una,Himachal Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
132,Anantnag,Jammu and Kashmir,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
133,Baramula,Jammu and Kashmir,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
134,Doda,Jammu and Kashmir,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
135,Gulmarg,Jammu and Kashmir,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
136,Jammu,Jammu and Kashmir,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
137,Kathua,Jammu and Kashmir,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
138,Punch,Jammu and Kashmir,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
139,Rajouri,Jammu and Kashmir,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
140,Srinagar,Jammu and Kashmir,95,90,90,92,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
141,Udhampur,Jammu and Kashmir,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
142,Bokaro,Jharkhand,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
143,Chaibasa,Jharkhand,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
144,Deoghar,Jharkhand,65,90,90,82,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
145,Dhanbad,Jharkhand,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
146,Dumka,Jharkhand,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
147,Giridih,Jharkhand,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
148,Hazaribag,Jharkhand,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
149,Jamshedpur,Jharkhand,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
150,Jharia,Jharkhand,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
151,Rajmahal,Jharkhand,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
152,Ranchi,Jharkhand,95,90,90,92,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
153,Saraikela,Jharkhand,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
154,Badami,Karnataka,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
155,Ballari,Karnataka,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
156,Bengaluru,Karnataka,95,90,20,68,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
157,Belagavi,Karnataka,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
158,Bhadravati,Karnataka,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
159,Bidar,Karnataka,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
160,Chikkamagaluru,Karnataka,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
161,Chitradurga,Karnataka,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
162,Davangere,Karnataka,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
163,Halebid,Karnataka,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
164,Hassan,Karnataka,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
165,Hubballi-Dharwad,Karnataka,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
166,Kalaburagi,Karnataka,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
167,Kolar,Karnataka,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
168,Madikeri,Karnataka,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
169,Mandya,Karnataka,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
170,Mangaluru,Karnataka,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
171,Mysuru,Karnataka,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
172,Raichur,Karnataka,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
173,Shivamogga,Karnataka,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
174,Shravanabelagola,Karnataka,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
175,Shrirangapattana,Karnataka,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
176,Tumakuru,Karnataka,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
177,Vijayapura,Karnataka,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
178,Alappuzha,Kerala,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
179,Vatakara,Kerala,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
180,Idukki,Kerala,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
181,Kannur,Kerala,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
182,Kochi,Kerala,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
183,Kollam,Kerala,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
184,Kottayam,Kerala,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
185,Kozhikode,Kerala,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
186,Mattancheri,Kerala,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
187,Palakkad,Kerala,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
188,Thalassery,Kerala,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
189,Thiruvananthapuram,Kerala,95,90,20,68,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
190,Thrissur,Kerala,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
191,Kargil,Ladakh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
192,Leh,Ladakh,75,90,90,85,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
193,Balaghat,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
194,Barwani,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
195,Betul,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
196,Bharhut,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
197,Bhind,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
198,Bhojpur,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
199,Bhopal,Madhya Pradesh,95,90,90,92,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
200,Burhanpur,Madhya Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
201,Chhatarpur,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
202,Chhindwara,Madhya Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
203,Damoh,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
204,Datia,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
205,Dewas,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
206,Dhar,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
207,Dr. Ambedkar Nagar (Mhow),Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
208,Guna,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
209,Gwalior,Madhya Pradesh,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
210,Hoshangabad,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
211,Indore,Madhya Pradesh,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
212,Itarsi,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
213,Jabalpur,Madhya Pradesh,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
214,Jhabua,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
215,Khajuraho,Madhya Pradesh,65,35,90,63,Road access exists; NH status not asserted,No city-level railway match in conservative reference,AAI airport-city match,Medium
216,Khandwa,Madhya Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
217,Khargone,Madhya Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
