"attraction_id","attraction_name","city_name","state_name","district_name","attraction_type","category","tourism_type","significance","unesco_status","asi_status","protected_area_status","ramsar_status","source_name","source_url","evidence_notes"
"ATT000018","Guntupalli Buddhist Caves","Eluru","Andhra Pradesh","Eluru","Heritage","Caves","Heritage Tourism","Archaeological","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","Ancient rock-cut Buddhist chaitya halls, viharas, and stupas dating from the 3rd century BCE to 6th century CE."
"ATT000019","Kolleru Lake & Bird Sanctuary","Eluru","Andhra Pradesh","Eluru","Natural","Wildlife Sanctuary","Eco Tourism","Ecological","None","Not ASI Protected","Wildlife Sanctuary","Ramsar Site","Ramsar Sites Information Service","https://rsis.ramsar.org/","One of India's largest freshwater lakes and Ramsar wetland sanctuary supporting thousands of migratory pelicans and painted storks."
"ATT000020","Kondaveedu Fort","Guntur","Andhra Pradesh","Guntur","Heritage","Fort","Heritage Tourism","Historical","None","State Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","14th-century Reddy dynasty hill fort featuring extensive ramparts, palaces, granaries, and natural defensive cliffs."
"ATT000021","Kotappakonda Sri Trikoteswara Swami Temple","Guntur","Andhra Pradesh","Guntur","Religious","Temple","Religious Tourism","Religious","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Sacred hill shrine dedicated to Lord Shiva situated atop a distinctive three-peaked hillock in Guntur district."
"ATT000022","Uppalapadu Bird Sanctuary","Guntur","Andhra Pradesh","Guntur","Natural","Bird Sanctuary","Eco Tourism","Ecological","None","Not ASI Protected","Bird Sanctuary","Not Ramsar","Guntur District Administration","https://guntur.ap.gov.in/","Renowned wetland sanctuary providing crucial nesting habitat for spot-billed pelicans and painted storks."
"ATT000023","Ameen Peer Dargah","Kadapa","Andhra Pradesh","Y.S.R.","Religious","Mosque","Religious Tourism","Spiritual","None","Not ASI Protected","None","Not Ramsar","Kadapa District Administration","https://kadapa.ap.gov.in/","Renowned 17th-century Sufi shrine attracting devotees of all faiths, founded by Sufi saint Peerullah Malik."
"ATT000024","Gandikota Fort & Pennar River Gorge","Kadapa","Andhra Pradesh","Y.S.R.","Heritage","Fort","Heritage Tourism","Historical","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","Spectacular 12th-century stone fort perched atop the sheer red granite canyon of Pennar River, known as India's Grand Canyon."
"ATT000025","Vontimitta Kodandarama Swamy Temple","Kadapa","Andhra Pradesh","Y.S.R.","Religious","Temple","Religious Tourism","Archaeological","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","16th-century Vijayanagara architectural masterpiece temple noted for its monolithic carved sanctum and 32-pillared hall."
"ATT000026","Coringa Wildlife Sanctuary & Mangroves","Kakinada","Andhra Pradesh","Kakinada","Natural","Wildlife Sanctuary","Eco Tourism","Ecological","None","Not ASI Protected","Wildlife Sanctuary","Not Ramsar","Andhra Pradesh Forest Department","https://forests.ap.gov.in/","Second largest mangrove ecosystem in India located on the Godavari delta, habitat for fishing cats and saltwater crocodiles."
"ATT000027","Hope Island","Kakinada","Andhra Pradesh","Kakinada","Natural","Beach","Nature Tourism","Natural","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Tadpole-shaped natural barrier sand spit island protecting Kakinada harbour, nesting site for Olive Ridley turtles."
"ATT000028","Belum Caves","Kurnool","Andhra Pradesh","Kurnool","Natural","Caves","Nature Tourism","Natural","None","State Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Second longest cave network in the Indian subcontinent, spanning 3.2 km of natural limestone and stalactite formations."
"ATT000029","Konda Reddy Buruju","Kurnool","Andhra Pradesh","Kurnool","Heritage","Fort","Heritage Tourism","Historical","None","State Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Iconic 12th-century circular bastion and fortress tower in the heart of Kurnool with historical underground passages."
"ATT000030","Oravakallu Rock Garden","Kurnool","Andhra Pradesh","Kurnool","Natural","Garden","Nature Tourism","Natural","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Natural geological park featuring striking silica and quartz igneous rock formations surrounding scenic water reservoirs."
"ATT000031","Bandar Fort / Dutch Fort Machilipatnam","Machilipatnam","Andhra Pradesh","Krishna","Heritage","Fort","Heritage Tourism","Historical","None","State Protected","None","Not Ramsar","Krishna District Administration","https://krishna.ap.gov.in/","Colonial 17th-century fortification constructed by Dutch and British East India trading companies."
"ATT000032","Manginapudi Beach","Machilipatnam","Andhra Pradesh","Krishna","Natural","Beach","Beach Tourism","Natural","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Historic black soil beach on the Bay of Bengal coastline, historic port harbor of the ancient Satavahana and Dutch traders."
"ATT000033","Nagarjuna Sagar Dam","Nagarjunakoṇḍa","Andhra Pradesh","Palnadu","Heritage","Dam","Heritage Tourism","Architectural","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","One of the world's largest masonry dams constructed across Krishna River forming a vast reservoir lake."
"ATT000034","Nagarjunakonda Island Museum & Buddhist Ruins","Nagarjunakoṇḍa","Andhra Pradesh","Palnadu","Heritage","Archaeological Site","Heritage Tourism","Archaeological","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","Island archaeological sanctuary preserving relocated 2nd-century Mahayana Buddhist stupas, monasteries, and university ruins."
"ATT000035","Godavari River Ghats & Pushkar Ghat","Rajahmundry","Andhra Pradesh","East Godavari","Cultural","Monument","Cultural Tourism","Spiritual","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Venerated riverfront promenade and holy bathing ghats along the sacred Godavari River host to Godavari Maha Pushkaram."
"ATT000036","Havelock Bridge & Godavari Arch Bridge","Rajahmundry","Andhra Pradesh","East Godavari","Heritage","Monument","Heritage Tourism","Historical","None","Not ASI Protected","None","Not Ramsar","East Godavari District Administration","https://eastgodavari.ap.gov.in/","Historic 1900 decommissioned railway stone-girder bridge and adjacent modern bowstring arch bridge across River Godavari."
"ATT000037","Arasavalli Sun Temple","Srikakulam","Andhra Pradesh","Srikakulam","Religious","Temple","Religious Tourism","Religious","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","7th-century solar shrine built by Kalinga King Devendra Varma where sun rays directly touch the sanctum deity twice a year."
"ATT000038","Sri Kurmanatha Swamy Temple (Srikurmam)","Srikakulam","Andhra Pradesh","Srikakulam","Religious","Temple","Religious Tourism","Religious","None","State Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","The only known temple in the world dedicated to Lord Vishnu in the Kurma (tortoise) avatar, featuring unique 210-pillar architecture."
"ATT000039","Silathoranam (Natural Rock Arch)","Tirupati","Andhra Pradesh","Tirupati","Natural","Monument","Nature Tourism","Natural","None","Not ASI Protected","None","Not Ramsar","Geological Survey of India","https://www.gsi.gov.in/","Rare natural geological stone arch formation on Tirumala hills dating back 2.5 billion years, National Geological Monument."
"ATT000040","Sri Govindaraja Swamy Temple","Tirupati","Andhra Pradesh","Tirupati","Religious","Temple","Religious Tourism","Architectural","None","Not ASI Protected","None","Not Ramsar","Tirumala Tirupati Devasthanams","https://www.tirumala.org/","Ancient 12th-century Dravidian Vaishnavite shrine consecrated by Saint Ramanujacharya with a magnificent 7-storey gopuram."
"ATT000041","Sri Venkateswara Swamy Temple (Tirumala)","Tirupati","Andhra Pradesh","Tirupati","Religious","Temple","Religious Tourism","Religious","None","Not ASI Protected","None","Not Ramsar","Tirumala Tirupati Devasthanams","https://www.tirumala.org/","World-famous Hindu pilgrimage temple dedicated to Lord Venkateswara atop Tirumala's Seshachalam Seven Hills."
"ATT000042","Kanaka Durga Temple","Vijayawada","Andhra Pradesh","NTR","Religious","Temple","Religious Tourism","Religious","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Revered hillside temple dedicated to Goddess Durga located atop Indrakeeladri hill overlooking the Krishna River."
"ATT000043","Prakasam Barrage","Vijayawada","Andhra Pradesh","NTR","Heritage","Dam","Heritage Tourism","Historical","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","1,223-metre road barrage spanning the Krishna River connecting Vijayawada and Guntur, creating a picturesque lake."
"ATT000044","Undavalli Caves","Vijayawada","Andhra Pradesh","NTR","Heritage","Caves","Heritage Tourism","Archaeological","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","4th-5th century monolithic rock-cut cave temples carved from sandstone containing a colossal reclining Vishnu statue."
"ATT000045","Borra Caves","Visakhapatnam","Andhra Pradesh","Visakhapatnam","Natural","Caves","Nature Tourism","Natural","None","State Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Million-year-old speleothem cave network in the Ananthagiri hills of Araku Valley, reaching depths of 80 metres."
"ATT000046","INS Kursura Submarine Museum","Visakhapatnam","Andhra Pradesh","Visakhapatnam","Cultural","Museum","Cultural Tourism","Historical","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Decommissioned Russian-built Kalvari-class submarine preserved on RK Beach, Asia's first submarine museum."
"ATT000047","Kailasagiri","Visakhapatnam","Andhra Pradesh","Visakhapatnam","Cultural","Garden","Urban Tourism","Cultural","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Scenic hilltop park perched 360 feet above sea level with 40-foot Shiva-Parvati statues and panoramic Bay of Bengal views."
"ATT000048","Rushikonda Beach","Visakhapatnam","Andhra Pradesh","Visakhapatnam","Natural","Beach","Beach Tourism","Natural","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Pristine golden sand beach along the Eastern Ghats coastline, certified with the international eco-label Blue Flag."
"ATT000049","Ramanarayanam Temple Complex","Vizianagaram","Andhra Pradesh","Vizianagaram","Religious","Temple","Religious Tourism","Cultural","None","Not ASI Protected","None","Not Ramsar","Vizianagaram District Administration","https://vizianagaram.ap.gov.in/","Unique spiritual theme temple complex architecturally designed in the shape of Lord Rama's celestial bow (Kodanda)."
"ATT000050","Vizianagaram Fort","Vizianagaram","Andhra Pradesh","Vizianagaram","Heritage","Fort","Heritage Tourism","Historical","None","State Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","18th-century stone fortress built by Maharaja Vijaya Rama Raju featuring the royal Moti Mahal and Victorian clock tower."
"ATT000051","Sri Neelakanteshwara Swamy Temple","Yemmiganur","Andhra Pradesh","Kurnool","Religious","Temple","Religious Tourism","Religious","None","Not ASI Protected","None","Not Ramsar","Kurnool District Administration","https://kurnool.ap.gov.in/","Venerated medieval Shiva shrine in Yemmiganur, a historical hub of temple festivals and traditional handloom weaving."
"ATT000052","Ganga Lake (Gyakar Sinyi)","Itanagar","Arunachal Pradesh","Papum Pare","Natural","Lake","Nature Tourism","Natural","None","Not ASI Protected","None","Not Ramsar","Arunachal Pradesh Tourism","https://arunachaltourism.com/","Picturesque natural landlocked freshwater lake enclosed by lush sub-tropical evergreen rainforest and orchids."
"ATT000053","Ita Fort","Itanagar","Arunachal Pradesh","Papum Pare","Heritage","Fort","Heritage Tourism","Archaeological","None","State Protected","None","Not Ramsar","Arunachal Pradesh Tourism","https://arunachaltourism.com/","14th-century fort of irregular shape built with 8 million bricks by the Chutiya kingdom, giving Itanagar its name."
"ATT000054","Gurdwara Sri Guru Tegh Bahadur Sahib (Dhubri)","Dhuburi","Assam","Dhubri","Religious","Temple","Religious Tourism","Historical","None","Not ASI Protected","None","Not Ramsar","Assam Tourism","https://tourism.assam.gov.in/","Historic Sikh shrine on the banks of River Brahmaputra established in 1669 to commemorate Guru Tegh Bahadur's visit."
"ATT000055","Bogibeel Bridge","Dibrugarh","Assam","Dibrugarh","Heritage","Monument","Urban Tourism","Architectural","None","Not ASI Protected","None","Not Ramsar","Dibrugarh District Administration","https://dibrugarh.assam.gov.in/","4.94-km combined rail and road bridge spanning the Brahmaputra River, longest rail-cum-road bridge in India."
"ATT000056","Dehing Patkai National Park","Dibrugarh","Assam","Dibrugarh","Natural","National Park","Wildlife Tourism","Ecological","None","Not ASI Protected","National Park","Not Ramsar","Assam Forest Department","https://forest.assam.gov.in/","Major lowland rainforest known as the 'Amazon of the East', habitat for seven wild cat species and rare orchids."
"ATT000057","Basistha Ashram Temple","Dispur","Assam","Kamrup Metropolitan","Religious","Temple","Religious Tourism","Religious","None","Not ASI Protected","None","Not Ramsar","Assam Tourism","https://tourism.assam.gov.in/","Venerated Vedic hermitage temple on Sandhyachal hill, associated with Sage Vashistha at the confluence of three rivulets."
"ATT000058","Srimanta Sankaradeva Kalakshetra","Dispur","Assam","Kamrup Metropolitan","Cultural","Museum","Cultural Tourism","Cultural","None","Not ASI Protected","None","Not Ramsar","Assam Tourism","https://tourism.assam.gov.in/","Major cultural institution preserving Assam's ethnic heritage, performing arts, open-air theatre, and museum collections."
"ATT000059","Deepor Beel","Guwahati","Assam","Kamrup Metropolitan","Natural","Bird Sanctuary","Eco Tourism","Ecological","None","Not ASI Protected","Wildlife Sanctuary","Ramsar Site","Ramsar Sites Information Service","https://rsis.ramsar.org/","Ramsar wetland lake in a former channel of the Brahmaputra River supporting major waterbird populations and Asian elephants."
"ATT000060","Kamakhya Temple","Guwahati","Assam","Kamrup Metropolitan","Religious","Temple","Religious Tourism","Religious","Tentative List","Not ASI Protected","None","Not Ramsar","Assam Tourism","https://tourism.assam.gov.in/","Ancient Nilachal Hill temple dedicated to Goddess Kamakhya, one of the oldest and most revered Shakti Peethas in India."
"ATT000061","Umananda Temple (Peacock Island)","Guwahati","Assam","Kamrup Metropolitan","Religious","Temple","Religious Tourism","Architectural","None","State Protected","None","Not Ramsar","Assam Tourism","https://tourism.assam.gov.in/","1694 CE Shiva temple built by Ahom King Gadadhar Singha on Peacock Island, the smallest inhabited river island in the world."
"ATT000062","Majuli Island Sattras","Jorhat","Assam","Jorhat","Cultural","Archaeological Site","Cultural Tourism","Cultural","Tentative List","State Protected","None","Not Ramsar","Assam Tourism","https://tourism.assam.gov.in/","World's largest inhabited river island, cradle of Neo-Vaishnavite culture featuring historic 16th-century monastic Sattras."
"ATT000063","Tocklai Tea Research Association & Heritage Garden","Jorhat","Assam","Jorhat","Heritage","Garden","Heritage Tourism","Historical","None","Not ASI Protected","None","Not Ramsar","Jorhat District Administration","https://jorhat.assam.gov.in/","World's oldest tea research station established in 1911, showcasing Assam's colonial tea garden heritage."
"ATT000064","Bordowa / Batadrava Than","Nagaon","Assam","Nagaon","Religious","Temple","Religious Tourism","Spiritual","None","Not ASI Protected","None","Not Ramsar","Assam Tourism","https://tourism.assam.gov.in/","Birthplace of 15th-century saint Srimanta Sankaradeva, first Sattra established in Assam and center of Vaishnavite faith."
"ATT000065","Kaziranga National Park","Nagaon","Assam","Nagaon","Natural","National Park","Wildlife Tourism","Ecological","World Heritage","Not ASI Protected","National Park","Not Ramsar","UNESCO World Heritage Centre","https://whc.unesco.org/en/list/337/","UNESCO World Heritage floodplains of River Brahmaputra hosting two-thirds of the world's great one-horned rhinoceros population."
"ATT000066","Khaspur Ruins","Silchar","Assam","Cachar","Heritage","Archaeological Site","Heritage Tourism","Archaeological","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","Historic 18th-century capital ruins of the Dimasa Kachari kingdom featuring the Sun Gate, Lion Gate, and King's Temple."
"ATT000067","Rang Ghar","Sivasagar","Assam","Sivasagar","Heritage","Monument","Heritage Tourism","Archaeological","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","Two-storey royal amphitheatre pavilion constructed by Ahom King Pramatta Singha in 1744, one of Asia's earliest surviving amphitheatres."
"ATT000068","Sivasagar Sivadol","Sivasagar","Assam","Sivasagar","Religious","Temple","Religious Tourism","Architectural","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","104-foot tall Shiva temple built in 1734 CE by Queen Ambika on the banks of Borpukhuri tank, tallest Shiva temple shikhara in Assam."
"ATT000069","Talatal Ghar & Kareng Ghar","Sivasagar","Assam","Sivasagar","Heritage","Palace","Heritage Tourism","Archaeological","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","18th-century multi-storeyed royal palace of Ahom monarchs featuring secret subterranean tunnel chambers and military storehouses."
"ATT000070","Agnigarh Hill","Tezpur","Assam","Sonitpur","Cultural","Monument","Cultural Tourism","Historical","None","Not ASI Protected","None","Not Ramsar","Assam Tourism","https://tourism.assam.gov.in/","Mythological hill fortress overlooking Brahmaputra River, associated with Princess Usha and Prince Aniruddha."
"ATT000071","Bamuni Hills Ruins","Tezpur","Assam","Sonitpur","Heritage","Archaeological Site","Heritage Tourism","Archaeological","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","9th-10th century stone temple ruins of the Salastambha dynasty exhibiting intricate Gupta-style friezes and carved pillars."
"ATT000072","Dibru-Saikhowa National Park","Tinsukia","Assam","Tinsukia","Natural","National Park","Wildlife Tourism","Ecological","None","Not ASI Protected","National Park","Not Ramsar","Assam Forest Department","https://forest.assam.gov.in/","Riverine wetland biosphere reserve bounded by Brahmaputra and Dibru rivers, famous for wild feral horses and rare white-winged wood duck."
"ATT000073","Aranya Devi Temple","Ara","Bihar","Bhojpur","Religious","Temple","Religious Tourism","Religious","None","Not ASI Protected","None","Not Ramsar","Bhojpur District Administration","https://bhojpur.nic.in/","Ancient temple dedicated to Goddess Aranya Devi, patron deity of Ara city, associated with Mahabharata lore."
"ATT000074","Jagdishpur Fort Ruins","Ara","Bihar","Bhojpur","Heritage","Fort","Heritage Tourism","Historical","None","State Protected","None","Not Ramsar","Bihar Tourism","https://tourism.bihar.gov.in/","Historic fortress and estate of legendary 1857 freedom fighter Babu Veer Kunwar Singh."
"ATT000075","Simaria Ganga Ghat","Barauni","Bihar","Begusarai","Cultural","Monument","Cultural Tourism","Spiritual","None","Not ASI Protected","None","Not Ramsar","Begusarai District Administration","https://begusarai.nic.in/","Revered sacred bathing ghat on the northern bank of River Ganga, site of the historic Simaria Kalpwas Mela."
"ATT000076","Kanwar Lake Bird Sanctuary (Kabartal)","Begusarai","Bihar","Begusarai","Natural","Bird Sanctuary","Eco Tourism","Ecological","None","Not ASI Protected","Bird Sanctuary","Ramsar Site","Ramsar Sites Information Service","https://rsis.ramsar.org/","Asia's largest freshwater oxbow lake and Bihar's first Ramsar wetland sanctuary, vital habitat for Central Asian Flyway waterbirds."
"ATT000077","Valmiki National Park & Tiger Reserve","Bettiah","Bihar","Pashchim Champaran","Natural","National Park","Wildlife Tourism","Ecological","None","Not ASI Protected","Tiger Reserve","Not Ramsar","National Tiger Conservation Authority","https://ntca.gov.in/","898 sq km protected forest in the Himalayan Terai landscape along Gandak River, Bihar's sole tiger reserve."
"ATT000078","Vikramashila Mahavihara Buddhist Ruins","Bhagalpur","Bihar","Bhagalpur","Heritage","Archaeological Site","Heritage Tourism","Archaeological","Tentative List","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","8th-century Pala dynasty ancient university founded by King Dharmapala, featuring a massive cruciform stupa and 208 monastic cells."
"ATT000079","Vikramshila Gangetic Dolphin Sanctuary","Bhagalpur","Bihar","Bhagalpur","Natural","Wildlife Sanctuary","Eco Tourism","Ecological","None","Not ASI Protected","Wildlife Sanctuary","Not Ramsar","Ministry of Environment, Forest and Climate Change","https://moef.gov.in/","65-km stretch of the River Ganga designated as India's only sanctuary for endangered Gangetic river dolphins."
"ATT000080","Nalanda Mahavihara Archaeological Ruins","Bihar Sharif","Bihar","Nalanda","Heritage","Archaeological Site","Heritage Tourism","Archaeological","World Heritage","ASI Protected","None","Not Ramsar","UNESCO World Heritage Centre","https://whc.unesco.org/en/list/1502/","5th-to-12th century international residential Buddhist monastic university; UNESCO World Heritage Site."
"ATT000081","Tomb of Malik Ibrahim Baya","Bihar Sharif","Bihar","Nalanda","Heritage","Monument","Heritage Tourism","Historical","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","14th-century brick dome mausoleum built atop Pir Pahari hill during Tughlaq era for military commander Malik Ibrahim Baya."
"ATT000082","Great Buddha Statue (Bodh Gaya)","Bodh Gaya","Bihar","Gaya","Cultural","Monument","Cultural Tourism","Spiritual","None","Not ASI Protected","None","Not Ramsar","Bihar Tourism","https://tourism.bihar.gov.in/","Colossal 80-foot stone statue of Lord Buddha seated in meditation posture carved by 12,000 stonemasons."
"ATT000083","Mahabodhi Temple Complex & Bodhi Tree","Bodh Gaya","Bihar","Gaya","Heritage","Temple","Heritage Tourism","Archaeological","World Heritage","ASI Protected","None","Not Ramsar","UNESCO World Heritage Centre","https://whc.unesco.org/en/list/1056/","50-metre grand pyramidal brick temple where Gautama Buddha attained supreme enlightenment in 531 BCE beneath the sacred Bodhi Tree."
"ATT000084","Buxar Fort & Battle of Buxar Memorial","Buxar","Bihar","Buxar","Heritage","Fort","Heritage Tourism","Historical","None","State Protected","None","Not Ramsar","Buxar District Administration","https://buxar.nic.in/","Historic riverside fort on River Ganga and memorial site of the 1764 Battle of Buxar which established British power in Bengal."
"ATT000085","Ambika Bhavani Temple (Ami)","Chapra","Bihar","Saran","Religious","Temple","Religious Tourism","Religious","None","Not ASI Protected","None","Not Ramsar","Saran District Administration","https://saran.nic.in/","Ancient Shakti Peetha shrine located on the bank of River Ganga, associated with the sacrificial yajna of King Daksha."
"ATT000086","Darbhanga Fort & Rambagh Palace","Darbhanga","Bihar","Darbhanga","Heritage","Fort","Heritage Tourism","Historical","None","Not ASI Protected","None","Not Ramsar","Bihar Tourism","https://tourism.bihar.gov.in/","1934 royal fortress complex with massive defensive walls and moat, built by the Khandavala dynasty of Raj Darbhanga."
