city_name,state_name,verified_cultural_asset_count,cultural_category_count,traditional_art_count,handicraft_count,handloom_count,music_count,dance_count,theatre_count,food_heritage_count,tribal_culture_count,folk_tradition_count,unesco_ich_count,gi_count,officially_recognized_count,living_tradition_count,data_completeness_percentage,score_confidence,Cultural_Asset_Count_Score,Cultural_Diversity_Score,Cultural_Significance_Score,Cultural_Recognition_Score,Living_Tradition_Score,Cultural_Uniqueness_Score,Cultural_Authenticity_Evidence_Score,Overall_Cultural_Score
Tirupati,Andhra Pradesh,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Vijayawada,Andhra Pradesh,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Visakhapatnam,Andhra Pradesh,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Vizianagaram,Andhra Pradesh,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Yemmiganur,Andhra Pradesh,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Itanagar,Arunachal Pradesh,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,100,Medium,50.95,36,85,88,80,85,80,70.04
Dhuburi,Assam,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Dibrugarh,Assam,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Dispur,Assam,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Guwahati,Assam,2,2,0,0,1,0,0,0,0,0,1,0,1,2,2,100,High,69.05,52,86.5,89,92.5,88.5,94,80.14
Jorhat,Assam,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Nagaon,Assam,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Sivasagar,Assam,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100,Medium,50.95,36,85,88,70,85,95,71.29
Silchar,Assam,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Tezpur,Assam,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,90,85,95,73.29
Tinsukia,Assam,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,88,72.74
Ara,Bihar,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,88,67.34
Barauni,Bihar,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,88,67.34
Begusarai,Bihar,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,80,62.34
Bettiah,Bihar,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Bhagalpur,Bihar,2,2,1,0,1,0,0,0,0,0,0,0,1,2,2,100,High,69.05,52,86.5,89,87.5,88.5,97.5,80.16
Bihar Sharif,Bihar,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Bodh Gaya,Bihar,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,100,50,90,65,100,68.59
Buxar,Bihar,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,88,67.34
Chapra,Bihar,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,90,85,95,73.29
Darbhanga,Bihar,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Dehri,Bihar,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,80,62.34
Dinapur Nizamat,Bihar,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,88,67.84
Gaya,Bihar,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,85,88,90,85,88,72.24
Hajipur,Bihar,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,88,67.84
Jamalpur,Bihar,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,80,71.54
Katihar,Bihar,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,95,64.59
Madhubani,Bihar,2,2,1,1,0,0,0,0,0,0,0,0,2,2,2,100,High,69.05,52,88,90,87.5,92,100,81.26
Motihari,Bihar,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,88,67.84
Munger,Bihar,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,85,88,90,85,88,72.24
Muzaffarpur,Bihar,2,2,0,1,0,0,0,0,0,0,0,0,2,2,2,100,High,69.05,52,88,90,95,92,100,82.01
Patna,Bihar,2,2,1,1,0,0,0,0,0,0,0,0,0,2,2,100,High,69.05,52,85,88,87.5,85,95,79.06
Purnia,Bihar,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,88,67.34
Pusa,Bihar,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,85,88,90,85,80,71.04
Saharsa,Bihar,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Samastipur,Bihar,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,100,Medium,50.95,36,72,75,90,75,95,68.39
Sasaram,Bihar,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100,Medium,50.95,36,85,88,70,85,95,71.29
Sitamarhi,Bihar,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,88,67.34
Siwan,Bihar,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,95,64.59
Chandigarh,Chandigarh,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,100,High,69.05,52,92.5,69,82.5,75,94,75.69
Ambikapur,Chhattisgarh,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,80,85,88,71.24
Bhilai,Chhattisgarh,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Bilaspur,Chhattisgarh,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Dhamtari,Chhattisgarh,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,88,67.84
Durg,Chhattisgarh,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,88,67.84
Jagdalpur,Chhattisgarh,3,2,0,2,0,0,0,0,0,0,1,0,2,3,3,100,High,81.9,52,87,89.33,93.33,89.67,98.33,83.68
Raipur,Chhattisgarh,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,90,85,95,73.29
Rajnandgaon,Chhattisgarh,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,88,67.34
Daman,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,88,67.84
Diu,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100,Medium,50.95,36,85,88,70,85,95,71.29
Silvassa,Dadra and Nagar Haveli and Daman and Diu,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,80,92,100,74.49
Delhi,Delhi,2,2,0,0,0,0,0,0,1,0,1,0,0,2,2,100,High,69.05,52,78.5,81.5,92.5,80,91.5,76.59
New Delhi,Delhi,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Madgaon,Goa,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,100,Medium,50.95,36,72,75,90,75,95,68.39
Panaji,Goa,2,2,0,0,0,0,0,0,0,0,0,0,1,2,1,100,High,69.05,52,80,82.5,82.5,83.5,94,76.69
Ahmadabad,Gujarat,2,2,0,0,0,0,1,0,0,0,0,1,0,2,1,100,High,69.05,52,100,75,82.5,82.5,100,79.36
Amreli,Gujarat,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,88,67.34
Bharuch,Gujarat,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Bhavnagar,Gujarat,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,80,62.34
Bhuj,Gujarat,2,2,1,1,0,0,0,0,0,0,0,0,2,2,2,100,High,69.05,52,88,90,87.5,92,100,81.26
Dwarka,Gujarat,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,85,88,90,85,95,73.29
Gandhinagar,Gujarat,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Godhra,Gujarat,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,80,85,80,70.04
Jamnagar,Gujarat,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Junagadh,Gujarat,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Kandla,Gujarat,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,88,67.34
Khambhat,Gujarat,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Kheda,Gujarat,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100,Medium,50.95,36,72,75,70,75,88,65.34
Mahesana,Gujarat,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Morbi,Gujarat,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,80,71.54
Nadiad,Gujarat,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,88,67.34
Navsari,Gujarat,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,85,88,90,85,88,72.24
Okha,Gujarat,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,88,63.54
Palanpur,Gujarat,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,80,66.64
Patan,Gujarat,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Porbandar,Gujarat,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,85,85,95,72.79
Rajkot,Gujarat,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Surat,Gujarat,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Surendranagar,Gujarat,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Valsad,Gujarat,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,88,67.84
Veraval,Gujarat,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,88,72.74
Ambala,Haryana,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,80,71.54
Bhiwani,Haryana,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,88,67.34
Chandigarh,Haryana,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,80,66.14
Faridabad,Haryana,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,85,88,90,85,88,72.24
Firozpur Jhirka,Haryana,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Gurugram,Haryana,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,88,67.34
Hansi,Haryana,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,88,67.84
Hisar,Haryana,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,95,64.59
Jind,Haryana,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Kaithal,Haryana,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,88,67.34
Karnal,Haryana,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Kurukshetra,Haryana,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,85,88,90,85,88,72.24
Panipat,Haryana,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Pehowa,Haryana,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,85,88,90,85,95,73.29
Rewari,Haryana,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Rohtak,Haryana,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,90,85,95,73.29
Sirsa,Haryana,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,88,63.54
Sonipat,Haryana,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,88,67.84
Bilaspur,Himachal Pradesh,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,80,66.64
Chamba,Himachal Pradesh,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Dalhousie,Himachal Pradesh,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,88,67.84
Dharmshala,Himachal Pradesh,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,80,85,95,72.29
Hamirpur,Himachal Pradesh,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,80,66.64
Kangra,Himachal Pradesh,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,80,92,100,74.49
Kullu,Himachal Pradesh,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Mandi,Himachal Pradesh,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,85,88,90,85,88,72.24
Nahan,Himachal Pradesh,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,80,66.64
Shimla,Himachal Pradesh,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Una,Himachal Pradesh,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,88,67.34
Anantnag,Jammu and Kashmir,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,88,72.74
Baramula,Jammu and Kashmir,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,88,63.54
Doda,Jammu and Kashmir,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Gulmarg,Jammu and Kashmir,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,100,Medium,50.95,36,72,75,80,75,80,65.14
Jammu,Jammu and Kashmir,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Kathua,Jammu and Kashmir,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,80,92,100,74.49
Punch,Jammu and Kashmir,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,88,72.74
Rajouri,Jammu and Kashmir,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Srinagar,Jammu and Kashmir,2,2,0,1,1,0,0,0,0,0,0,0,2,2,2,100,High,69.05,52,88,90,95,92,100,82.01
Udhampur,Jammu and Kashmir,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Bokaro,Jharkhand,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,88,67.34
Chaibasa,Jharkhand,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,100,Medium,50.95,36,85,88,80,85,80,70.04
Deoghar,Jharkhand,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,85,88,90,85,88,72.24
Dhanbad,Jharkhand,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,95,68.89
Dumka,Jharkhand,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,100,Medium,50.95,36,85,88,80,85,80,70.04
Giridih,Jharkhand,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,85,88,90,85,88,72.24
Hazaribag,Jharkhand,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,80,92,100,74.49
Jamshedpur,Jharkhand,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,80,85,95,72.29
Jharia,Jharkhand,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,88,67.34
Rajmahal,Jharkhand,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,100,Medium,50.95,36,72,75,80,75,80,65.14
Ranchi,Jharkhand,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,88,72.74
Saraikela,Jharkhand,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,100,High,50.95,36,100,100,95,100,100,80.09
Badami,Karnataka,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,85,85,95,72.79
Ballari,Karnataka,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Bengaluru,Karnataka,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Belagavi,Karnataka,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,88,67.84
Bhadravati,Karnataka,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,80,62.34
Bidar,Karnataka,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Chikkamagaluru,Karnataka,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Chitradurga,Karnataka,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100,Medium,50.95,36,85,88,70,85,95,71.29
Davangere,Karnataka,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,88,67.84
Halebid,Karnataka,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,100,50,85,65,100,68.09
Hassan,Karnataka,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,88,63.54
Hubballi-Dharwad,Karnataka,2,2,0,0,0,1,0,0,1,0,0,0,1,2,2,100,High,69.05,52,86.5,89,95,88.5,97.5,80.91
Kalaburagi,Karnataka,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Kolar,Karnataka,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,80,66.64
Madikeri,Karnataka,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,80,66.64
Mandya,Karnataka,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,80,62.34
Mangaluru,Karnataka,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,90,85,95,73.29
Mysuru,Karnataka,2,2,1,0,0,0,0,0,1,0,0,0,1,2,2,100,High,69.05,52,80,82.5,87.5,83.5,94,77.19
Raichur,Karnataka,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,95,64.59
Shivamogga,Karnataka,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Shravanabelagola,Karnataka,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,85,88,90,85,95,73.29
Shrirangapattana,Karnataka,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,80,92,100,74.49
Tumakuru,Karnataka,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,88,63.54
Vijayapura,Karnataka,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100,Medium,50.95,36,85,88,70,85,95,71.29
Alappuzha,Kerala,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Vatakara,Kerala,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,85,88,90,85,95,73.29
Idukki,Kerala,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Kannur,Kerala,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,95,73.79
Kochi,Kerala,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Kollam,Kerala,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,80,62.34
Kottayam,Kerala,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,88,67.84
Kozhikode,Kerala,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,100,Medium,50.95,36,100,50,95,65,100,69.09
Mattancheri,Kerala,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,80,85,95,72.29
Palakkad,Kerala,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Thalassery,Kerala,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,88,67.84
Thiruvananthapuram,Kerala,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Thrissur,Kerala,2,1,0,0,0,0,0,2,0,0,0,2,0,2,2,100,High,69.05,36,100,100,90,100,100,83.21
Kargil,Ladakh,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Leh,Ladakh,2,2,0,0,1,1,0,0,0,0,0,1,1,2,2,100,High,69.05,52,94,95,95,96,100,84.06
Balaghat,Madhya Pradesh,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Barwani,Madhya Pradesh,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,100,Medium,50.95,36,85,88,80,85,88,71.24
Betul,Madhya Pradesh,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,95,64.59
Bharhut,Madhya Pradesh,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,80,85,95,72.29
