city_id,city_name,state_name,total_verified_attractions,natural_attraction_count,heritage_attraction_count,historical_attraction_count,cultural_attraction_count,religious_attraction_count,wildlife_attraction_count,unesco_attraction_count,asi_attraction_count,protected_attraction_count,ramsar_attraction_count,attraction_type_count,attraction_category_count,tourism_type_count,attraction_count_score,attraction_diversity_score,attraction_significance_score,attraction_recognition_score,natural_attraction_score,heritage_attraction_score,cultural_attraction_score,religious_attraction_score,wildlife_attraction_score,overall_attraction_score,data_completeness_percentage,score_confidence
CT0027,Jorhat,Assam,2,0,1,0,1,0,0,1,0,0,0,2,2,2,48.24,45.6,32,75,38.33,61.47,52,1,1,47.45,100,Medium
CT0028,Nagaon,Assam,2,1,0,0,0,1,0,1,0,1,0,2,2,2,48.24,45.6,40.5,87,54.33,38.33,1,52,81.25,50.54,100,Medium
CT0029,Sivasagar,Assam,3,0,2,0,0,1,0,0,3,0,0,2,3,2,60.6,49.85,49,85,1,83,1,52,1,51.97,100,High
CT0030,Silchar,Assam,1,0,1,0,0,0,0,0,1,0,0,1,1,1,30.8,30.3,32,75,1,46.33,1,1,1,33.1,100,Low
CT0031,Tezpur,Assam,2,0,1,0,1,0,0,0,1,0,0,2,2,2,48.24,45.6,40.5,67,1,64.67,52,1,1,44.11,100,Medium
CT0032,Tinsukia,Assam,1,1,0,0,0,0,0,0,0,1,0,1,1,1,30.8,30.3,32,75,54.33,1,1,1,81.25,35.91,100,Low
CT0033,Ara,Bihar,2,0,1,0,0,1,0,0,0,0,0,2,2,2,48.24,45.6,32,51,1,56.67,1,52,1,38.36,100,Medium
CT0034,Barauni,Bihar,1,0,0,0,1,0,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,1,38.33,52,52,1,28.85,100,Low
CT0035,Begusarai,Bihar,1,1,0,0,0,0,0,0,0,1,1,1,1,1,30.8,30.3,32,80,54.33,1,1,1,70,36.38,100,Low
CT0036,Bettiah,Bihar,1,1,0,0,0,0,0,0,0,1,0,1,1,1,30.8,30.3,32,75,54.33,1,1,1,81.25,35.91,100,Low
CT0037,Bhagalpur,Bihar,2,1,1,0,0,0,0,1,1,1,0,2,2,2,48.24,45.6,49,84,54.33,51.13,1,1,70,51.09,100,Medium
CT0038,Bihar Sharif,Bihar,2,0,2,0,0,0,0,1,2,0,0,1,2,1,48.24,34.55,40.5,100,1,72.67,1,1,1,45.1,100,Medium
CT0039,Bodh Gaya,Bihar,2,0,1,0,1,0,0,1,1,0,0,2,2,2,48.24,45.6,40.5,87,1,72.67,52,84,1,49.98,100,Medium
CT0040,Buxar,Bihar,1,0,1,0,0,0,0,0,0,0,0,1,1,1,30.8,30.3,23.5,55,1,38.33,1,1,1,28.03,100,Low
CT0041,Chapra,Bihar,1,0,0,0,0,1,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,1,38.33,1,52,1,26.3,100,Low
CT0042,Darbhanga,Bihar,2,0,1,0,0,1,0,0,0,0,0,2,2,2,48.24,45.6,32,35,1,56.67,1,52,1,35.96,100,Medium
CT0043,Dehri,Bihar,1,0,1,0,0,0,0,0,0,0,0,1,1,1,30.8,30.3,32,35,38.33,38.33,1,1,1,30.04,100,Low
CT0044,Dinapur Nizamat,Bihar,1,0,1,0,0,0,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,1,38.33,1,1,1,25.03,100,Low
CT0045,Gaya,Bihar,2,0,1,0,0,1,0,1,1,0,0,2,2,2,48.24,45.6,40.5,75,38.33,69.47,1,52,1,48.25,100,Medium
CT0046,Hajipur,Bihar,2,0,0,0,1,1,0,0,0,0,0,2,2,2,48.24,45.6,32,35,1,56.67,52,84,1,39.31,100,Medium
CT0047,Jamalpur,Bihar,1,0,1,0,0,0,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,1,38.33,52,1,1,27.58,100,Low
CT0048,Katihar,Bihar,1,1,0,0,0,0,0,0,0,1,0,1,1,1,30.8,30.3,32,55,54.33,1,1,1,70,32.63,100,Low
CT0049,Madhubani,Bihar,2,0,1,0,1,0,0,0,0,0,0,2,2,2,48.24,45.6,40.5,51,1,56.67,52,1,1,40.91,100,Medium
CT0050,Motihari,Bihar,2,0,1,0,1,0,0,1,1,0,0,2,2,2,48.24,45.6,40.5,75,1,69.47,52,1,1,45.79,100,Medium
CT0051,Munger,Bihar,2,0,1,0,1,0,0,0,0,0,0,2,2,2,48.24,45.6,32,51,1,56.67,52,52,1,40.91,100,Medium
CT0052,Muzaffarpur,Bihar,1,0,0,0,0,1,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,1,38.33,1,52,1,26.3,100,Low
CT0053,Patna,Bihar,4,0,2,0,1,1,0,0,1,0,0,3,4,3,70.2,65.15,49,70,1,92,52,52,1,58.14,100,High
CT0054,Purnia,Bihar,1,0,0,0,0,1,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,1,38.33,1,52,1,26.3,100,Low
CT0055,Pusa,Bihar,1,0,1,0,0,0,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,1,38.33,1,1,1,25.03,100,Low
CT0056,Saharsa,Bihar,1,0,0,0,0,1,0,0,0,0,0,1,1,1,30.8,30.3,23.5,55,1,38.33,1,52,1,29.3,100,Low
CT0057,Samastipur,Bihar,1,0,0,0,1,0,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,1,38.33,52,1,1,27.58,100,Low
CT0058,Sasaram,Bihar,2,0,2,0,0,0,0,1,2,0,0,1,1,1,48.24,30.3,32,88,1,60.13,1,1,1,39.92,100,Medium
CT0059,Sitamarhi,Bihar,1,0,0,0,0,1,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,1,38.33,1,52,1,26.3,100,Low
CT0060,Siwan,Bihar,1,0,0,0,1,0,0,0,0,0,0,1,1,1,30.8,30.3,23.5,55,1,38.33,52,1,1,30.58,100,Low
CT0061,Chandigarh,Chandigarh,5,1,1,0,2,0,0,1,0,0,0,4,4,4,78.04,76.2,57.5,79.2,73.67,92,84,1,1,72.17,100,High
CT0062,Ambikapur,Chhattisgarh,3,1,0,1,0,1,0,0,1,0,0,3,3,3,60.6,60.9,49,64.33,38.33,64.67,52,52,1,55.53,100,High
CT0063,Bhilai,Chhattisgarh,2,0,0,1,0,0,0,0,1,1,0,2,2,2,48.24,45.6,40.5,76,1,46.33,52,52,70,46.63,100,Medium
CT0064,Bilaspur,Chhattisgarh,3,1,0,2,0,0,0,0,1,0,0,2,3,3,60.6,54.1,49,64.33,46.33,64.67,1,52,1,52.42,100,High
CT0065,Dhamtari,Chhattisgarh,2,2,0,0,0,0,0,0,0,0,0,1,2,2,48.24,38.8,32,35,64.67,1,1,52,1,35.4,100,Medium
CT0066,Durg,Chhattisgarh,2,0,0,0,0,2,0,0,0,0,0,1,1,1,48.24,30.3,23.5,35,1,47.33,1,68,1,31.09,100,Medium
CT0067,Jagdalpur,Chhattisgarh,4,2,1,0,0,0,1,0,0,1,0,3,3,3,70.2,60.9,49,63,81.67,38.33,52,1,81.25,59.68,100,High
CT0068,Raipur,Chhattisgarh,3,0,0,0,3,0,0,0,0,0,0,1,2,2,60.6,38.8,40.5,35,1,65.67,100,1,1,42.92,100,High
CT0069,Rajnandgaon,Chhattisgarh,2,0,0,0,0,2,0,0,0,0,0,1,1,1,48.24,30.3,40.5,35,1,47.33,1,68,1,33.64,100,Medium
CT0070,Daman,Dadra and Nagar Haveli and Daman and Diu,3,1,0,2,0,0,0,0,2,0,0,2,2,2,60.6,45.6,49,74.67,46.33,55.33,1,1,1,50.06,100,High
CT0071,Diu,Dadra and Nagar Haveli and Daman and Diu,3,2,0,1,0,0,0,0,1,0,0,2,3,2,60.6,49.85,32,64.33,64.67,64.67,1,1,1,49.57,100,High
CT0072,Silvassa,Dadra and Nagar Haveli and Daman and Diu,2,1,0,0,1,0,0,0,0,0,0,2,2,2,48.24,45.6,32,35,46.33,38.33,52,1,1,39.93,100,Medium
CT0073,Delhi,Delhi,9,0,1,5,0,2,1,1,5,1,0,4,7,3,100,84.7,83,99.89,54.33,100,84,84,70,87.86,100,High
CT0074,New Delhi,Delhi,8,0,2,3,2,1,0,2,3,0,0,4,5,4,95.47,80.45,83,92.5,1,100,100,52,1,77.93,100,High
CT0075,Madgaon,Goa,2,1,0,1,0,0,0,0,0,0,0,2,2,2,48.24,45.6,40.5,35,46.33,38.33,1,52,1,39.93,100,Medium
CT0076,Panaji,Goa,5,1,0,3,1,0,0,2,2,0,0,3,3,3,78.04,60.9,49,89.4,46.33,90.67,52,84,1,66.97,100,High
CT0077,Ahmadabad,Gujarat,4,0,1,3,0,0,0,1,3,0,0,2,4,1,70.2,49.85,40.5,98.5,1,100,84,52,1,60.48,100,High
CT0078,Amreli,Gujarat,2,0,0,0,0,1,1,0,0,1,0,2,2,2,48.24,45.6,40.5,67,54.33,38.33,1,52,81.25,47.54,100,Medium
CT0079,Bharuch,Gujarat,2,0,0,1,0,1,0,0,0,0,0,2,2,2,48.24,45.6,40.5,35,1,56.67,1,52,1,37.23,100,Medium
CT0080,Bhavnagar,Gujarat,3,0,0,1,0,1,1,0,0,1,0,3,3,3,60.6,60.9,49,64.33,54.33,56.67,1,52,81.25,55.78,100,High
CT0081,Bhuj,Gujarat,3,0,0,2,1,0,0,0,0,0,0,2,2,2,60.6,45.6,40.5,35,1,65.67,52,1,1,41.88,100,High
CT0082,Dwarka,Gujarat,4,1,0,1,0,2,0,0,2,0,0,3,3,3,70.2,60.9,49,72,64.67,73.67,1,100,1,60.78,100,High
CT0083,Gandhinagar,Gujarat,3,1,0,0,2,0,0,0,0,0,0,2,3,2,60.6,49.85,57.5,35,38.33,56.67,84,52,1,50.99,100,High
CT0084,Godhra,Gujarat,2,0,0,1,0,1,0,2,1,0,0,2,2,2,48.24,45.6,40.5,100,1,72.67,1,52,1,48.58,100,Medium
CT0085,Jamnagar,Gujarat,4,0,0,1,0,1,2,0,0,2,1,3,4,3,70.2,65.15,49,75.5,72.67,56.67,52,52,100,65.08,100,High
CT0086,Junagadh,Gujarat,5,0,0,3,0,1,1,0,3,1,0,3,5,3,78.04,69.4,74.5,86.8,72.67,83,1,52,81.25,72.63,100,High
CT0087,Kandla,Gujarat,1,0,0,1,0,0,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,38.33,38.33,1,1,1,28.76,100,Low
CT0088,Khambhat,Gujarat,2,0,0,1,1,0,0,0,1,0,0,2,2,2,48.24,45.6,40.5,67,1,64.67,52,52,1,45.38,100,Medium
CT0089,Kheda,Gujarat,1,0,0,0,0,1,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,1,38.33,1,52,1,26.3,100,Low
CT0090,Mahesana,Gujarat,3,0,0,2,0,0,1,2,2,1,1,2,2,2,60.6,45.6,66,94.33,54.33,60.13,1,1,70,58.56,100,High
CT0091,Morbi,Gujarat,2,0,0,2,0,0,0,0,0,0,0,1,2,2,48.24,38.8,40.5,35,1,56.67,1,1,1,34.6,100,Medium
CT0092,Nadiad,Gujarat,2,0,1,0,0,1,0,0,0,0,0,2,2,2,48.24,45.6,32,35,1,56.67,52,52,1,38.51,100,Medium
CT0093,Navsari,Gujarat,2,0,1,0,1,0,0,0,0,0,0,2,2,2,48.24,45.6,23.5,35,1,56.67,84,1,1,37.56,100,Medium
CT0094,Okha,Gujarat,2,0,1,1,0,0,0,0,0,0,0,2,1,2,48.24,41.35,40.5,35,38.33,47.33,1,1,1,37.91,100,Medium
CT0095,Palanpur,Gujarat,2,0,0,1,0,0,1,0,0,1,0,2,2,2,48.24,45.6,49,51,54.33,38.33,1,1,70,44.86,100,Medium
CT0096,Patan,Gujarat,3,0,0,2,1,0,0,1,2,0,0,2,2,2,60.6,45.6,57.5,93,1,81.67,52,1,1,54.73,100,High
CT0097,Porbandar,Gujarat,3,0,1,0,0,1,1,0,0,1,0,3,3,3,60.6,60.9,49,49.67,54.33,56.67,52,52,70,55.85,100,High
CT0098,Rajkot,Gujarat,3,1,1,0,1,0,0,0,0,0,0,3,3,3,60.6,60.9,32,35,46.33,56.67,84,1,1,48.9,100,High
CT0099,Surat,Gujarat,3,1,0,2,0,0,0,0,2,0,0,2,3,2,60.6,49.85,49,74.67,46.33,64.67,1,1,1,51.84,100,High
CT0100,Surendranagar,Gujarat,2,0,0,1,0,0,1,1,1,1,0,2,2,2,48.24,45.6,49,88,54.33,46.33,1,1,70,51.21,100,Medium
CT0101,Valsad,Gujarat,2,1,0,1,0,0,0,0,0,0,0,2,2,2,48.24,45.6,32,35,46.33,38.33,1,1,1,37.38,100,Medium
CT0102,Veraval,Gujarat,3,0,0,0,1,2,0,0,1,0,0,2,2,2,60.6,45.6,40.5,64.33,1,73.67,52,68,1,48.76,100,High
CT0103,Ambala,Haryana,2,0,1,0,0,1,0,0,0,0,0,2,2,2,48.24,45.6,32,35,1,38.33,1,84,1,34.93,100,Medium
CT0104,Bhiwani,Haryana,2,0,0,0,1,1,0,0,0,0,0,2,2,2,48.24,45.6,40.5,35,1,56.67,52,52,1,39.78,100,Medium
CT0105,Chandigarh,Haryana,2,0,0,1,0,1,0,0,0,0,0,2,2,2,48.24,45.6,32,35,38.33,56.67,1,52,1,39.69,100,Medium
CT0106,Faridabad,Haryana,2,0,0,2,0,0,0,0,1,0,0,1,2,1,48.24,34.55,40.5,67,1,64.67,1,1,1,39.35,100,Medium
CT0107,Firozpur Jhirka,Haryana,1,0,0,1,0,0,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,1,38.33,1,1,1,25.03,100,Low
CT0108,Gurugram,Haryana,3,0,0,0,1,1,1,0,0,1,1,3,3,3,60.6,60.9,49,68,54.33,56.67,52,52,81.25,58.88,100,High
CT0109,Hansi,Haryana,2,0,0,2,0,0,0,0,2,0,0,1,2,1,48.24,34.55,49,80,1,64.67,1,1,1,42.57,100,Medium
CT0110,Hisar,Haryana,3,0,0,2,0,1,0,0,2,0,0,2,3,2,60.6,49.85,49,74.67,1,83,1,52,1,50.42,100,High
CT0111,Jind,Haryana,2,0,0,0,0,2,0,0,0,0,0,1,1,1,48.24,30.3,23.5,35,1,47.33,1,68,1,31.09,100,Medium
CT0112,Kaithal,Haryana,2,1,0,1,0,0,0,0,1,0,0,2,2,2,48.24,45.6,40.5,67,46.33,46.33,1,1,1,44.26,100,Medium
CT0113,Karnal,Haryana,2,1,0,1,0,0,0,0,1,0,0,2,2,2,48.24,45.6,23.5,67,38.33,64.67,1,1,1,42.74,100,Medium
CT0114,Kurukshetra,Haryana,4,0,0,1,1,2,0,0,1,0,0,3,3,3,70.2,60.9,49,63,38.33,73.67,52,84,1,58.94,100,High
CT0115,Panipat,Haryana,3,0,0,2,0,1,0,0,1,0,0,2,3,2,60.6,49.85,32,64.33,1,83,52,84,1,49.67,100,High
CT0116,Pehowa,Haryana,1,0,0,0,0,1,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,1,38.33,1,52,1,26.3,100,Low
CT0117,Rewari,Haryana,2,0,1,1,0,0,0,0,0,0,0,2,2,1,48.24,41.35,23.5,35,38.33,56.67,52,1,1,38.84,100,Medium
CT0118,Rohtak,Haryana,2,1,0,0,0,1,0,0,0,0,0,2,2,2,48.24,45.6,32,35,46.33,38.33,52,52,1,41.21,100,Medium
CT0119,Sirsa,Haryana,2,0,0,0,0,2,0,0,0,0,0,1,1,1,48.24,30.3,32,35,1,47.33,52,68,1,34.92,100,Medium
CT0120,Sonipat,Haryana,2,0,1,1,0,0,0,0,1,0,0,2,2,1,48.24,41.35,40.5,67,1,64.67,52,1,1,43.26,100,Medium
CT0121,Bilaspur,Himachal Pradesh,2,1,0,0,0,1,0,0,0,1,0,2,2,2,48.24,45.6,32,51,72.67,38.33,1,52,70,45.42,100,Medium
CT0122,Chamba,Himachal Pradesh,4,1,1,1,1,0,0,1,1,1,0,4,4,3,70.2,71.95,49,86,54.33,87.8,84,52,70,70.14,100,High
CT0123,Dalhousie,Himachal Pradesh,3,2,0,0,0,0,1,0,0,1,0,2,3,2,60.6,49.85,49,49.67,91,38.33,1,1,70,51.65,100,High
CT0124,Dharmshala,Himachal Pradesh,4,1,0,1,1,1,0,0,0,0,0,4,4,3,70.2,71.95,49,35,46.33,56.67,84,84,1,57.65,100,High
CT0125,Hamirpur,Himachal Pradesh,2,0,0,1,0,1,0,0,1,0,0,2,2,2,48.24,45.6,32,67,1,64.67,1,52,1,41.56,100,Medium
CT0126,Kangra,Himachal Pradesh,4,0,1,2,0,1,0,1,2,0,0,3,4,2,70.2,60.9,66,88,1,96.8,1,52,1,60.47,100,High
CT0127,Kullu,Himachal Pradesh,4,0,0,1,0,2,1,1,0,1,0,3,3,4,70.2,65.15,57.5,80.5,72.67,65.67,1,68,81.25,65.38,100,High
CT0128,Mandi,Himachal Pradesh,4,1,0,1,0,2,0,0,1,0,0,3,2,3,70.2,56.65,57.5,63,55.33,55.33,1,100,1,57.09,100,High
CT0129,Nahan,Himachal Pradesh,3,1,0,1,1,0,0,0,0,1,1,3,3,3,60.6,60.9,57.5,68,72.67,56.67,52,1,70,60.43,100,High
CT0130,Shimla,Himachal Pradesh,5,0,2,1,1,1,0,1,0,0,0,4,4,4,78.04,76.2,49,79.2,1,92,52,84,1,64.1,100,High
CT0131,Una,Himachal Pradesh,2,0,0,0,0,2,0,0,0,0,0,1,2,1,48.24,34.55,23.5,35,1,38.33,1,84,1,31.44,100,Medium
CT0132,Anantnag,Jammu and Kashmir,4,1,0,3,0,0,0,2,3,0,0,2,2,2,70.2,45.6,66,89,64.33,87.47,1,1,1,61.69,100,High
CT0133,Baramula,Jammu and Kashmir,2,1,0,1,0,0,0,0,1,0,0,2,2,2,48.24,45.6,40.5,67,46.33,64.67,1,1,1,46.09,100,Medium
CT0134,Doda,Jammu and Kashmir,2,1,0,0,0,1,0,0,0,0,0,2,2,2,48.24,45.6,32,35,46.33,38.33,1,52,1,38.66,100,Medium
CT0135,Gulmarg,Jammu and Kashmir,4,1,0,1,0,1,1,0,0,1,0,4,4,4,70.2,76.2,66,49,72.67,56.67,1,84,70,63.36,100,High
CT0136,Jammu,Jammu and Kashmir,4,0,0,3,0,1,0,0,0,0,0,2,3,2,70.2,49.85,57.5,35,1,84,52,52,1,50.31,100,High
CT0137,Kathua,Jammu and Kashmir,2,0,0,1,0,1,0,0,0,1,0,2,2,2,48.24,45.6,32,51,1,56.67,1,52,70,40.08,100,Medium
CT0138,Punch,Jammu and Kashmir,2,0,0,1,0,1,0,0,0,0,0,2,2,2,48.24,45.6,32,35,1,38.33,1,52,1,34.13,100,Medium
CT0139,Rajouri,Jammu and Kashmir,2,0,0,2,0,0,0,0,1,0,0,1,2,1,48.24,34.55,23.5,67,1,64.67,1,1,1,36.8,100,Medium
CT0140,Srinagar,Jammu and Kashmir,8,1,0,4,0,2,1,2,5,1,0,4,7,4,95.47,88.95,91.5,93,100,96.8,1,84,81.25,88.42,100,High
CT0141,Udhampur,Jammu and Kashmir,3,1,0,2,0,0,0,0,2,1,1,2,3,2,60.6,49.85,66,88.67,54.33,64.67,1,1,70,59.02,100,High
CT0142,Bokaro,Jharkhand,2,1,0,0,1,0,0,0,0,0,0,2,2,2,48.24,45.6,32,35,64.67,56.67,52,1,1,43.6,100,Medium
CT0143,Chaibasa,Jharkhand,1,1,0,0,0,0,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,46.33,38.33,1,1,1,29.56,100,Low
CT0144,Deoghar,Jharkhand,2,1,0,0,0,1,0,0,0,0,0,2,2,2,48.24,45.6,32,35,46.33,38.33,1,52,1,38.66,100,Medium
CT0145,Dhanbad,Jharkhand,1,1,0,0,0,0,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,46.33,38.33,1,1,1,29.56,100,Low
CT0146,Dumka,Jharkhand,2,1,0,0,0,1,0,0,0,0,0,2,2,2,48.24,45.6,32,35,46.33,56.67,1,52,1,40.49,100,Medium
CT0147,Giridih,Jharkhand,2,1,0,0,0,1,0,0,0,1,0,2,2,2,48.24,45.6,32,51,46.33,38.33,1,52,70,42.78,100,Medium
CT0148,Hazaribag,Jharkhand,1,1,0,0,0,0,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,46.33,1,1,1,1,25.83,100,Low
CT0149,Jamshedpur,Jharkhand,2,1,0,0,1,0,0,0,0,1,0,2,2,2,48.24,45.6,32,51,72.67,38.33,52,1,70,46.69,100,Medium
CT0150,Jharia,Jharkhand,1,0,1,0,0,0,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,1,38.33,1,1,1,25.03,100,Low
CT0151,Rajmahal,Jharkhand,1,0,1,0,0,0,0,0,1,0,0,1,1,1,30.8,30.3,32,75,1,46.33,1,1,1,33.1,100,Low
CT0152,Ranchi,Jharkhand,3,2,0,0,0,1,0,0,0,0,0,2,2,2,60.6,45.6,32,35,55.33,38.33,1,52,1,42.03,100,High
CT0153,Saraikela,Jharkhand,1,0,0,0,1,0,0,0,0,0,0,1,1,1,30.8,30.3,23.5,55,1,38.33,52,1,1,30.58,100,Low
CT0154,Badami,Karnataka,2,0,2,0,0,0,0,2,2,0,0,1,2,1,48.24,34.55,49,90,38.33,69.47,1,52,1,49.56,100,Medium
CT0155,Ballari,Karnataka,1,0,1,0,0,0,0,0,1,0,0,1,1,1,30.8,30.3,23.5,75,1,46.33,1,1,1,31.83,100,Low
CT0156,Bengaluru,Karnataka,4,2,2,0,0,0,0,0,1,1,0,2,3,3,70.2,54.1,57.5,72,72.67,73.67,1,1,81.25,61.02,100,High
CT0157,Belagavi,Karnataka,2,1,1,0,0,0,0,0,1,0,0,2,2,2,48.24,45.6,32,67,46.33,46.33,1,1,1,42.98,100,Medium
CT0158,Bhadravati,Karnataka,1,0,0,0,0,1,0,0,1,0,0,1,1,1,30.8,30.3,32,75,1,46.33,1,52,1,34.38,100,Low
CT0159,Bidar,Karnataka,2,0,2,0,0,0,0,2,2,0,0,1,2,1,48.24,34.55,40.5,90,1,69.47,1,1,1,43.28,100,Medium
CT0160,Chikkamagaluru,Karnataka,3,2,0,0,0,1,0,1,0,1,0,2,2,3,60.6,49.85,49,82.67,81.67,1,1,52,81.25,53.49,100,High
CT0161,Chitradurga,Karnataka,2,0,2,0,0,0,0,0,2,0,0,1,2,1,48.24,34.55,40.5,80,38.33,64.67,1,1,1,45.03,100,Medium
CT0162,Davangere,Karnataka,2,1,0,0,1,0,0,0,0,0,0,2,2,1,48.24,41.35,32,35,64.67,1,52,1,1,37.18,100,Medium
CT0163,Halebid,Karnataka,2,0,2,0,0,0,0,2,2,0,0,1,1,1,48.24,30.3,49,100,1,63.33,1,68,1,46.27,100,Medium
CT0164,Hassan,Karnataka,2,0,2,0,0,0,0,1,1,0,0,1,2,1,48.24,34.55,40.5,87,1,72.67,1,84,1,45.22,100,Medium
CT0165,Hubballi-Dharwad,Karnataka,2,1,1,0,0,0,0,0,1,0,0,2,2,2,48.24,45.6,40.5,67,38.33,46.33,52,52,1,47.28,100,Medium
