activity_id,activity_name,city_name,state_name,district_name,activity_category,activity_subcategory,tourism_type,experience_level,seasonality,activity_location,officially_recognized,source_name,source_url,evidence_notes,association_notes
ACT000011,Bhavani Island River Water Sports & Boating,Vijayawada,Andhra Pradesh,NTR,Water,Boating,Adventure Tourism,Beginner,Year-round,Bhavani Island (Krishna River),Yes,Andhra Pradesh Tourism Development Corporation (APTDC),https://tourism.ap.gov.in/,"Speedboating, jet skiing, parasailing, and paddle boat cruises on a 133-acre river island developed by APTDC in the Krishna River.",Located 4 km upstream from Vijayawada city center.
ACT000012,Scuba Diving & Ocean Surfing,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Adventure,Scuba Diving,Adventure Tourism,Beginner,Seasonal,Rushikonda Beach & Chintapalli Coral Reefs,Yes,Andhra Pradesh Tourism Development Corporation (APTDC) & Livein Adventures,https://tourism.ap.gov.in/,"APTDC-approved scuba diving, sea kayaking, and surfing instruction off the Blue Flag certified Rushikonda Beach.",Located 12 km north of Visakhapatnam city center.
ACT000013,Kailasagiri Hill Ropeway & Coastal Promenade Walk,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Leisure,Scenic Tour,Leisure Tourism,All Levels,Year-round,Kailasagiri Hilltop Park & RK Beach Waterfront,Yes,Visakhapatnam Metropolitan Region Development Authority (VMRDA),https://vmrda.gov.in/,"Scenic passenger cable car ropeway ascending 360 ft to the Shiva-Parvati statue viewpoint, combined with walks along RK Beach visiting INS Kursura Submarine Museum.",Located inside Visakhapatnam city.
ACT000014,Ganga Lake Forest Boating & Ita Fort Archaeological Walk,Itanagar,Arunachal Pradesh,Papum Pare,Nature,Nature Walk,Cultural Tourism,Beginner,Year-round,Ganga Lake (Gyakar Sinyi) & 14th-Century Ita Fort,Yes,"Department of Tourism, Government of Arunachal Pradesh",https://arunachaltourism.com/,"Pedal boating on the natural green lake surrounded by primordial rainforest and orchids, combined with walking the 14th-century brick fortifications of the Chutiya kingdom.",Located within 6 km of Itanagar capital complex.
ACT000015,Tea Heritage Plantation & Rainforest Trekking,Dibrugarh,Assam,Dibrugarh,Cultural,Agro Tourism,Agro Tourism,Beginner,Year-round,Chowkidinghee Tea Estates & Dehing Patkai National Park,Yes,Assam Tourism & Tea Board of India,https://tourism.assam.gov.in/,"Bungalow stays in the 'Tea City of India' with guided estate walks, alongside rainforest trekking in Dehing Patkai (Amazon of the East).",Dibrugarh is surrounded by historic British-era tea plantations.
ACT000016,Brahmaputra River Sunset & Dinner Cruise,Guwahati,Assam,Kamrup Metropolitan,Water,River Cruise,Leisure Tourism,Beginner,Year-round,Machkhowa & Uzanbazar Ferry Ghats (Alfresco Grand),Yes,Assam Tourism Development Corporation (ATDC),https://tourism.assam.gov.in/,"Luxury twin-deck vessel cruises sailing across the massive Brahmaputra river with Bihu folk dance recitals, live Assamese music, and dinner under the stars.",Departs from the central riverfront ghats of Guwahati.
ACT000017,Brahmaputra River Passenger Ropeway Ride,Guwahati,Assam,Kamrup Metropolitan,Leisure,Scenic Tour,Scenic Tourism,All Levels,Year-round,Panbazar to North Guwahati (Over Brahmaputra River),Yes,Guwahati Metropolitan Development Authority (GMDA),https://gmda.assam.gov.in/,"India's longest river ropeway (1.82 km) carrying passengers across the mighty Brahmaputra river, providing aerial views of Peacock Island (Umananda) and the city skyline.",South bank terminal is located at Panbazar in Guwahati.
ACT000018,Nilachal Hill Spiritual Pilgrimage Walk,Guwahati,Assam,Kamrup Metropolitan,Spiritual,Spiritual Walk,Spiritual Tourism,Moderate,Year-round,"Maa Kamakhya Devalaya Complex, Nilachal Hill",Yes,Kamakhya Debutter Board & Assam Tourism,https://www.maakamakhya.org/,"Sacred walking ascent up Nilachal hill to the ancient mother goddess Shakti Peetha, visiting the natural spring sanctum, Dasamahavidya shrines, and Ambubachi Mela grounds.",Located atop Nilachal hill in western Guwahati.
ACT000019,Majuli River Island Neo-Vaishnavite Satra Cultural Tour,Jorhat,Assam,Jorhat,Cultural,Cultural Tour,Cultural Tourism,Beginner,Winter,"Majuli Island (Kamalabari, Auniati & Samaguri Satras)",Yes,Majuli Cultural Landscape Management Authority & Assam Tourism,https://tourism.assam.gov.in/,"Ferry crossing to the world's largest inhabited river island, exploring 15th-century monastic Satras, Sattriya classical dance rehearsals, and handmade bamboo Mukha (mask) making workshops.",Nimati Ghat ferry terminal is located 14 km north of Jorhat city.
ACT000020,Hoolock Gibbon Rainforest Tracking Trek,Jorhat,Assam,Jorhat,Wildlife,Safari,Eco Tourism,Moderate,Winter,Hoollongapar Gibbon Wildlife Sanctuary,Yes,Assam Forest Department (Jorhat Forest Division),https://forest.assam.gov.in/,"Guided walking safari through dense evergreen canopy tracking India's only ape species, the western hoolock gibbon, along with capped langurs and Bengal slow lorises.",Located 20 km east of Jorhat.
ACT000021,UNESCO Kaziranga Rhino Jeep Safari & Elephant Safari,Nagaon,Assam,Nagaon,Wildlife,Safari,Wildlife Tourism,Beginner,Seasonal,Kaziranga National Park (Bagori Western & Kohora Central Ranges),Yes,Kaziranga National Park Directorate & Assam Forest Dept,https://kaziranga.assam.gov.in/,"World-famous safaris viewing the largest global population of Great Indian One-Horned Rhinoceroses, Royal Bengal tigers, wild water buffaloes, and swamp deer.",Bagori western range entrance lies directly along the eastern boundary of Nagaon district.
ACT000022,Ahom Dynasty Imperial Citadel Heritage Walk,Sivasagar,Assam,Sivasagar,Cultural,Heritage Walk,Heritage Tourism,Beginner,Winter,"Rang Ghar (Royal Amphitheater), Talatal Ghar & Kareng Ghar",Yes,Archaeological Survey of India (ASI) & Assam Tourism,https://asi.nic.in/,Walking tour of the 600-year Ahom kingdom monuments including Asia's oldest surviving royal sports pavilion (Rang Ghar) and subterranean palaces with secret tunnels.,Located within Sivasagar town and adjacent Gargaon.
ACT000023,Jia Bhoroli River White Water Rafting & Angling,Tezpur,Assam,Sonitpur,Adventure,Rafting,Adventure Tourism,Moderate,Seasonal,Nameri National Park & Jia Bhoroli River,Yes,Assam Forest Department & Assam (Bhorelli) Anglers Association,https://forest.assam.gov.in/,"13-km inflatable rubber dinghy river rafting down the crystal clear Jia Bhoroli river bordering the eastern Himalayas, combined with catch-and-release sport angling for Golden Mahseer.",Nameri National Park is located 35 km north of Tezpur.
ACT000024,Feral Horse & River Dolphin Boat Safari,Tinsukia,Assam,Tinsukia,Wildlife,Boat Safari,Eco Tourism,Beginner,Winter,Dibru-Saikhowa National Park & Maguri Motapung Beel,Yes,Assam Forest Department & ATDC,https://forest.assam.gov.in/,"Country boat safaris through river channels observing herds of wild feral horses (descendants of WWII army horses), white-winged wood ducks, and Gangetic dolphins.",Guijan ghat departure point is located 10 km north of Tinsukia town.
ACT000025,Tiger Reserve Wildlife Jeep Safari,Bettiah,Bihar,Pashchim Champaran,Wildlife,Safari,Wildlife Tourism,Beginner,Seasonal,Valmiki Tiger Reserve (Valmiki Nagar Gate),Yes,Valmiki Tiger Conservation Foundation & Bihar Forest Dept,https://valmikitigerreserve.com/,"Open jeep safaris through Bihar's only tiger reserve on the India-Nepal border tracking Bengal tigers, one-horned rhinos, and wild dogs along the Gandak river.",Bettiah is the administrative headquarters of West Champaran district.
ACT000026,Gangetic Dolphin River Safari & Archaeological Walk,Bhagalpur,Bihar,Bhagalpur,Wildlife,Boat Safari,Wildlife Tourism,Beginner,Winter,Vikramshila Gangetic Dolphin Sanctuary (Sultanganj to Kahalgaon),Yes,Bihar Forest Department (Wildlife Wing),https://forest.bihar.gov.in/,"Boat safaris along India's only protected sanctuary for endangered Gangetic River Dolphins (Platanista gangetica), observing dolphins breaching in the main river channel.",Sanctuary corridor extends across 65 km of the Ganges in Bhagalpur district.
ACT000027,UNESCO Nalanda University Excavation Ruins Heritage Walk,Bihar Sharif,Bihar,Nalanda,Cultural,Heritage Walk,Heritage Tourism,Beginner,Winter,Nalanda Mahavihara Archaeological Site & Rajgir Glass Bridge,Yes,Archaeological Survey of India (ASI) & Bihar Tourism,https://tourism.bihar.gov.in/,"Walking tour of the ancient 5th-century residential university exploring red-brick stupas, prayer halls, and monastic living cells, alongside Rajgir's glass skywalk ropeway.","Nalanda ruins are situated in Nalanda district, 14 km from Bihar Sharif."
ACT000028,Mahabodhi Temple UNESCO Meditation & Spiritual Walk,Bodh Gaya,Bihar,Gaya,Spiritual,Spiritual Walk,Spiritual Tourism,All Levels,Year-round,Mahabodhi Temple Complex & Sacred Bodhi Tree,Yes,Bodhgaya Temple Management Committee (BTMC) & Bihar Tourism,https://tourism.bihar.gov.in/,"Walking pilgrimage around the Vajrasana (Diamond Throne) where Gautama Buddha attained supreme enlightenment, meditation under the Bodhi Tree, and visiting international Buddhist monasteries.",Located in the sacred international town of Bodh Gaya.
ACT000029,Phalgu River Pind Daan Spiritual Pilgrimage Walk,Gaya,Bihar,Gaya,Spiritual,Spiritual Walk,Spiritual Tourism,All Levels,Year-round,Vishnupad Temple & Phalgu River Devghat,Yes,Vishnupad Temple Management Committee & Bihar Tourism,https://gaya.nic.in/tourist-places/,Ancestral salvation ritual walks along the holy sandbanks of the subterranean Phalgu river and visiting the 40-cm footprint of Lord Vishnu incised into solid basalt.,Located in the historic center of Gaya city.
ACT000030,Ashokan Pillar & Relic Stupa Archaeological Walk,Hajipur,Bihar,Vaishali,Cultural,Heritage Walk,Heritage Tourism,Beginner,Winter,Vaishali Archaeological Site (Kolhua Lion Pillar & Buddha Relic Stupa),Yes,Archaeological Survey of India & Bihar Tourism,https://asi.nic.in/,"Walking tour of the world's first democratic republic exploring the intact polished sandstone Ashokan pillar with a seated lion, and ancient mud stupa where Buddha's ashes were enshrined.","Vaishali is located in Vaishali district, 30 km from district headquarters Hajipur."
ACT000031,Mithila Painting Master Artisan Village Immersion,Madhubani,Bihar,Madhubani,Cultural,Handicraft Experience,Cultural Tourism,Beginner,Year-round,Jitwarpur & Ranti Heritage Artisan Villages,Yes,Upendra Maharathi Shilp Anusandhan Sansthan & Bihar Tourism,https://tourism.bihar.gov.in/,"Hands-on workshops learning the five distinct styles of Madhubani / Mithila painting (Bharni, Katchni, Tantrik, Godna, Kohbar) directly from Padma Shri and National Awardee women artists.",Jitwarpur and Ranti are situated 4 km from Madhubani town.
ACT000032,World Tallest Buddhist Stupa Archaeological Walk,Motihari,Bihar,Purbi Champaran,Cultural,Heritage Walk,Heritage Tourism,Beginner,Winter,Kesariya Stupa Archaeological Site,Yes,Archaeological Survey of India (ASI),https://asi.nic.in/,"Interpretive architectural walking tour of the 104-foot circular Buddhist stupa, recognized as the world's tallest ancient Buddhist stupa, out-measuring Borobudur.","Located in East Champaran district, 35 km from Motihari."
ACT000033,Yoga & Meditation Wellness Retreat Walk,Munger,Bihar,Munger,Spiritual,Spiritual Walk,Wellness Tourism,Beginner,Year-round,Bihar School of Yoga (Ganga Darshan Ashram) & Munger Fort,Yes,Bihar School of Yoga & Bihar Tourism,https://www.biharyoga.net/,"Traditional ashram walking meditation, pranayama, and yoga nidra wellness immersion at the world's first dedicated modern university of yoga overlooking the Ganges.",Located on the river bluff inside Munger city.
ACT000034,Shahi Litchi Agro-Tourism Orchard Harvest Tour,Muzaffarpur,Bihar,Muzaffarpur,Cultural,Agro Tourism,Agro Tourism,Beginner,Summer,National Research Centre on Litchi (NRCL) & Mushahari Orchards,Yes,ICAR - National Research Centre on Litchi & Bihar Tourism,https://nrclitchi.icar.gov.in/,"Seasonal agro-tourism farm visits allowing tourists to harvest, taste, and learn about GI-tagged sweet aromatic Shahi Litchis in India's Litchi Capital.",Located in the orchards surrounding Muzaffarpur city.
ACT000035,Ganga River Sunset Boat Cruise on MV Ganga Vihar,Patna,Bihar,Patna,Water,River Cruise,Leisure Tourism,Beginner,Year-round,NIT Ghat to Gandhi Ghat (Ganga Riverfront),Yes,Bihar State Tourism Development Corporation (BSTDC),https://tourism.bihar.gov.in/,Daily passenger river cruise operated by BSTDC aboard floating restaurant MV Ganga Vihar viewing the evening Ganga Aarti and historical riverfront ghats.,Departs from Gandhi Ghat in central Patna.
ACT000036,Sher Shah Suri Mausoleum Archaeological Walk,Sasaram,Bihar,Rohtas,Cultural,Heritage Walk,Heritage Tourism,Beginner,Winter,Tomb of Sher Shah Suri (Water Monument),Yes,Archaeological Survey of India (ASI),https://asi.nic.in/,Interpretive architectural walking tour around the magnificent 122-foot red sandstone octagonal tomb rising from the center of a massive artificial square lake.,Located in the heart of Sasaram town.
ACT000037,Boating and Waterfront Promenade Walk,Chandigarh,Chandigarh,Chandigarh,Water,Boating,Leisure Tourism,Beginner,Year-round,Sukhna Lake (Sector 1),Yes,Chandigarh Tourism & CITCO,https://chandigarhtourism.gov.in/,"Regulated pedal boating and solar-powered cruise boating on the 3-sq-km artificial lake, coupled with pedestrian promenade nature walks.",Located in Sector 1 of Chandigarh UT.
ACT000038,Sculptural Recycled Art Heritage Walk,Chandigarh,Chandigarh,Chandigarh,Cultural,Heritage Walk,Cultural Tourism,All Levels,Year-round,Nek Chand's Rock Garden (Sector 1),Yes,Chandigarh Tourism & Society for Maintenance of Rock Garden,https://chandigarhtourism.gov.in/,"Walking trail through a 40-acre wonderland featuring sculptures sculpted entirely from industrial, urban, and household waste ceramics and glass.",Contiguous with Sukhna Lake in Sector 1.
ACT000039,Le Corbusier Architectural Heritage Cycling Tour,Chandigarh,Chandigarh,Chandigarh,Cultural,Cycling,Heritage Tourism,Moderate,Winter,Capitol Complex (UNESCO World Heritage) & Le Corbusier Centre,Yes,Chandigarh Tourism Administration,https://chandigarhtourism.gov.in/,"Guided cycling tours through the Open Hand Monument, Secretariat, High Court, and Capitol Complex recognized under UNESCO Modern Architecture.","Spans Sectors 1, 2, and 19 within Chandigarh."
ACT000040,Achanakmar Tiger Reserve Wildlife Jeep Safari,Bilaspur,Chhattisgarh,Bilaspur,Wildlife,Safari,Wildlife Tourism,Beginner,Seasonal,Achanakmar Tiger Reserve (Sihawal & Khudia Gates),Yes,Achanakmar-Amarkantak Biosphere Reserve Authority & CG Forest Dept,https://forest.cg.gov.in/,"Forest department 4x4 safaris through hilly dense sal forests tracking Bengal tigers, leopards, wild bisons (gaur), and flying squirrels.","Bilaspur is the rail gateway and district headquarters, 55 km from the safari gate."
ACT000041,Gangrel Reservoir Water Sports and Jet Skiing,Dhamtari,Chhattisgarh,Dhamtari,Water,Water Sports,Adventure Tourism,Beginner,Year-round,Gangrel Dam (Ravishankar Sagar Reservoir),Yes,Chhattisgarh Tourism Board (CTB Bardiha Lake Resort),https://www.chhattisgarhtourism.in/,"Water sports complex operated by CTB offering jet skiing, speedboating, paddle boating, and luxury water cottages on Chhattisgarh's largest reservoir.",Located 15 km from Dhamtari town.
ACT000042,Chitrakote Falls Canyon Boating & Tribal Craft Tour,Jagdalpur,Chhattisgarh,Bastar,Water,Boating,Eco Tourism,Beginner,Monsoon,Chitrakote Waterfalls (Indravati River Gorge) & Bastar Craft Villages,Yes,Chhattisgarh Tourism Board (CTB),https://www.chhattisgarhtourism.in/,"Boating to the spray base of India's widest waterfall (Niagara of India), combined with studio tours observing GI-tagged Bastar Dhokra bell-metal lost wax casting.",Chitrakote is situated 38 km west of Jagdalpur city.
ACT000043,Kanger Valley Underground Caving Expedition,Jagdalpur,Chhattisgarh,Bastar,Adventure,Caving,Adventure Tourism,Moderate,Winter,Kotumsar Caves & Dandak Caves (Kanger Valley National Park),Yes,Chhattisgarh Forest Department & Kanger Valley NP Directorate,https://forest.cg.gov.in/,"Guided subterranean spelunking through 35-meter deep limestone karst caves equipped with torches to view subterranean stalactites, stalagmites, and blind cavefish.",Located 35 km south of Jagdalpur.
ACT000044,Nandanvan Jungle Safari & Zoo Walk,Raipur,Chhattisgarh,Raipur,Wildlife,Safari,Wildlife Tourism,Beginner,Year-round,"Nandanvan Jungle Safari, Naya Raipur (Khandwa)",Yes,Chhattisgarh Forest Department,https://junglesafari.cg.nic.in/,"Asia's largest man-made safari park (800 acres) offering four distinct open drive-through safaris: Tiger, Lion, Bear, and Herbivore safaris.","Located in Nava Raipur, 25 km from central Raipur."
ACT000045,Coastal Beach Water Sports & Parasailing,Daman,Dadra and Nagar Haveli and Daman and Diu,Daman,Water,Water Sports,Adventure Tourism,Beginner,Seasonal,Jampore Beach & Devka Beach,Yes,"Department of Tourism, Daman & Diu",https://www.damentourism.com/,"Parasailing, speedboat rides, ATV quad biking, and camel rides along the mud-free flat sand of Jampore Beach.",Located 5 km south of Moti Daman.
ACT000046,Twin Portuguese Forts Heritage Walk,Daman,Dadra and Nagar Haveli and Daman and Diu,Daman,Cultural,Heritage Walk,Heritage Tourism,Beginner,Year-round,"Moti Daman Fort, Nani Daman Fort & Church of Bom Jesus",Yes,Archaeological Survey of India & Daman Tourism,https://www.damentourism.com/,"Historical walking tour across the 16th-century ramparts of Moti Daman, moats, and gold-leaf carved baroque Portuguese churches.",Located on either side of the Daman Ganga river estuary in Daman.
ACT000047,Water Sports and Parasailing,Diu,Dadra and Nagar Haveli and Daman and Diu,Diu,Water,Water Sports,Adventure Tourism,Beginner,Seasonal,Nagoa Beach & Ghoghla Beach (Blue Flag Beach),Yes,"Society for Promotion of Tourism, Art & Culture (SPOTAC) Diu",https://diutourism.gov.in/,"Certified water sports including parasailing, scuba diving, banana boat, and jet ski rides on horseshoe-shaped Nagoa Beach and Blue Flag certified Ghoghla Beach.",Situated along the coast within 7 km of Diu town.
ACT000048,Diu Sea Fortress & Lighthouse Heritage Walk,Diu,Dadra and Nagar Haveli and Daman and Diu,Diu,Cultural,Heritage Walk,Heritage Tourism,Beginner,Year-round,"Diu Fort, St. Paul's Church & Naida Caves",Yes,Archaeological Survey of India & Diu Tourism,https://diutourism.gov.in/,"Walking tour of the 1535 Portuguese sea fortress commanding the Arabian Sea, stone-cut maze of Naida Caves, and colonial churches.",Located in the eastern tip of Diu island.
ACT000049,Madhuban Reservoir Water Sports & Boating,Silvassa,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Water,Boating,Adventure Tourism,Beginner,Year-round,Dudhani Water Sports Complex (Madhuban Dam),Yes,"Department of Tourism, Dadra and Nagar Haveli",https://dnh.gov.in/tourism/,"Speedboating, water scooters, kayak rentals, and Shikara boat cruises on the scenic Damanganga river reservoir.","Located at Dudhani, 40 km from Silvassa town."
ACT000050,Vasona Lion Safari & Deer Park Safari,Silvassa,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Wildlife,Safari,Wildlife Tourism,Beginner,Year-round,Vasona Lion Safari Park & Satmaliya Deer Park,Yes,"Department of Environment and Forests, UT of DNH and DD",https://dnh.gov.in/tourism/,"Forest department caged bus safaris tracking Asiatic lions in a 25-hectare enclosure, and open jeep safaris viewing sambar, chital, and blackbucks.",Located 9 to 12 km from Silvassa city.
ACT000051,Warli Tribal Art & Cultural Immersion Walk,Silvassa,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Cultural,Handicraft Experience,Cultural Tourism,All Levels,Year-round,Tribal Cultural Museum & Silvassa Crafts Village,Yes,"Department of Tourism, Dadra & Nagar Haveli",https://dnh.gov.in/tourism/,"Interactive workshops exploring authentic Warli geometric mud-wall paintings, tribal musical instruments (Tarpa), and bamboo craft traditions.",Located in the heart of Silvassa town.
ACT000052,Old Delhi Heritage & Street Food Rickshaw Tour,Delhi,Delhi,Central Delhi,Cultural,Culinary Tour,Cultural Tourism,Beginner,Winter,"Chandni Chowk, Khari Baoli Spice Market & Jama Masjid Precinct",Yes,Delhi Tourism and Transportation Development Corporation (DTTDC),https://www.delhitourism.gov.in/,"Guided cycle-rickshaw and walking tour traversing Asia's largest spice market, 17th-century Mughal alleyways, Paranthe Wali Gali, and traditional sweets.",Located in the historic Walled City of Old Delhi (Shahjahanabad).
ACT000053,Mehrauli Archaeological Park Heritage Walk,Delhi,Delhi,South Delhi,Cultural,Heritage Walk,Heritage Tourism,Moderate,Winter,Mehrauli Archaeological Park (Jamali Kamali & Rajon Ki Baoli),Yes,Delhi Tourism & INTACH Delhi Chapter,https://www.delhitourism.gov.in/,"Guided historical walking trail encompassing over 100 historical monuments spanning the Slave, Khilji, Tughlaq, Lodhi, and Mughal dynasties.",Situated adjacent to the Qutub Minar complex in South Delhi.
ACT000054,Yamuna Ghat Sunrise Boating & Bird Watching,Delhi,Delhi,North Delhi,Wildlife,Bird Watching,Eco Tourism,Beginner,Winter,"Yamuna Ghat, Kashmere Gate / Nigambodh Ghat",Yes,"Delhi Tourism & Forest Department, GNCTD",https://www.delhitourism.gov.in/,Early morning wooden boat excursions feeding migratory black-headed and brown-headed gulls migrating from Siberia.,On the Yamuna riverfront near Kashmere Gate in North Delhi.
ACT000055,Lutyens' Delhi Architectural Heritage Cycling Tour,New Delhi,Delhi,New Delhi,Cultural,Cycling,Heritage Tourism,Moderate,Winter,"Kartavya Path, Rashtrapati Bhavan & India Gate Boulevards",Yes,Ministry of Tourism (Incredible India) & DTTDC,https://www.delhitourism.gov.in/,"Curated early morning cycling tours through imperial Edwardian neoclassical architecture, war memorials, and tree-lined boulevards.",Located along Kartavya Path in Central New Delhi.
ACT000056,Nizamuddin Basti Sufi Heritage & Qawwali Trail,New Delhi,Delhi,South East Delhi,Cultural,Cultural Tour,Cultural Tourism,Beginner,Year-round,Hazrat Nizamuddin Dargah & Sunder Nursery,Yes,Aga Khan Trust for Culture (AKTC) & Delhi Tourism,https://sundernursery.org/,"Guided cultural trail through medieval stepwells (baolis), Amir Khusrau's tomb, traditional Sufi Qawwali sessions, and restored Mughal gardens at Sunder Nursery.","Located in Nizamuddin, New Delhi."
ACT000057,Coastal Water Sports & Parasailing,Madgaon,Goa,South Goa,Water,Water Sports,Adventure Tourism,Beginner,Seasonal,"Colva Beach, Benaulim Beach & Majorda Beach",Yes,National Institute of Water Sports (NIWS) & Goa Tourism,https://goa-tourism.com/,"Certified motorized water sports including speedboat-towed parasailing, jet skiing, banana rides, and bumper boat rides regulated under Goa Tourism safety norms.",Colva and Benaulim beaches are situated 6 km west of Madgaon (Margao) city.
ACT000058,Indo-Portuguese Heritage Mansion Walking Tour,Madgaon,Goa,South Goa,Cultural,Heritage Walk,Heritage Tourism,Beginner,Year-round,Chandor (Braganza House) & Loutolim (Figueiredo House),Yes,Goa Tourism & Indian National Trust for Art and Cultural Heritage (INTACH),https://goa-tourism.com/,"Guided architectural walkthroughs of 16th to 18th-century grand Portuguese palacios showcasing European chandeliers, rosewood furniture, and ballroom salons.",Chandor and Loutolim are located 10 km from Madgaon.
ACT000059,Mandovi River Sunset & Cultural Dinner Cruise,Panaji,Goa,North Goa,Water,River Cruise,Cultural Tourism,Beginner,Year-round,"Captain of Ports Jetty, Mandovi River Promenade",Yes,Goa Tourism Development Corporation (GTDC - Santa Monica),https://goa-tourism.com/,"Official GTDC passenger vessel cruises along the Mandovi river with live Goan folk performances (Dekhni, Fugdi, Corridinho) and sunset coastal panoramas.",Departs from the central riverfront promenade in Panaji.
