city_number,city_name,state_name,district_name,data_year,domestic_tourist_visits,foreign_tourist_visits,total_tourist_visits,domestic_visits_year,foreign_visits_year,domestic_origin_state_count,top_domestic_origin_state,top_domestic_origin_state_visits,foreign_origin_country_count,top_foreign_origin_country,top_foreign_origin_country_visits,domestic_share_percentage,foreign_share_percentage,domestic_foreign_ratio,previous_year_domestic_visits,previous_year_foreign_visits,domestic_growth_percentage,foreign_growth_percentage,total_growth_percentage,primary_source_name,primary_source_url,domestic_source_name,domestic_source_url,foreign_source_name,foreign_source_url,origin_source_name,origin_source_url,evidence_notes,source_type,source_year,verification_status,verification_confidence,data_quality_notes,domestic_demand_score,foreign_demand_score,total_demand_score,demand_diversity_score,domestic_origin_spread_score,foreign_origin_diversity_score,demand_growth_score,composite_demand_score,demand_score_band,score_data_completeness_percentage,score_confidence,scoring_methodology_notes,city_level_domestic_data_available,city_level_foreign_data_available,origin_state_data_available,foreign_origin_data_available,coverage_notes,demand_score_type
11,Kakinada,Andhra Pradesh,Kakinada,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,52.92,,,,,52.92,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
12,Kurnool,Andhra Pradesh,Kurnool,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,58.19,,,,,58.19,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
13,Machilipatnam,Andhra Pradesh,Krishna,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,54.77,,,,,54.77,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
14,Nagarjunakoṇḍa,Andhra Pradesh,Palnadu,2023.0,46969,452,47421,2023.0,2023.0,8,Telangana,22000,6,Sri Lanka,160,99.05,0.95,103.91,64591.0,379.0,-27.28,19.26,-27.01,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Centrally protected ticketed Buddhist island museum and stupa footfall from ASI Table 4.2.3.,Government of India (ASI),2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,29.12,30.65,21.82,6.21,1.0,10.43,22.76,21.82,Very Low,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from Government of India (ASI).,Verified Ground Truth
15,Rajahmundry,Andhra Pradesh,East Godavari,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,55.84,,,,,55.84,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
16,Srikakulam,Andhra Pradesh,Srikakulam,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,51.45,,,,,51.45,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
17,Tirupati,Andhra Pradesh,Tirupati,2023.0,34200000,45000,34245000,2023.0,2023.0,22,Tamil Nadu,11200000,14,United States,14500,99.87,0.13,760.0,29500000.0,22000.0,15.93,104.55,16.0,Andhra Pradesh Tourism Authority & Tirumala Tirupati Devasthanams (TTD),https://tourism.ap.gov.in/,Andhra Pradesh Tourism Authority & Tirumala Tirupati Devasthanams (TTD),https://tourism.ap.gov.in/,Andhra Pradesh Tourism Authority & Tirumala Tirupati Devasthanams (TTD),https://tourism.ap.gov.in/,Andhra Pradesh Tourism Authority & Tirumala Tirupati Devasthanams (TTD),https://tourism.ap.gov.in/,Official annual pilgrim and tourist footfall recorded at Tirumala and Tirupati temples.,State Tourism Department / Temple Board,2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,86.36,69.06,71.62,63.53,82.53,48.14,38.4,71.62,High,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from State Tourism Department / Temple Board.,Verified Ground Truth
18,Vijayawada,Andhra Pradesh,NTR,2023.0,14500000,14000,14514000,2023.0,2023.0,15,Telangana,4800000,10,United States,3200,99.9,0.1,1035.71,12200000.0,7500.0,18.85,86.67,18.89,Andhra Pradesh Tourism Authority & Sri Durga Malleswara Swamy Varla Devasthanam,https://tourism.ap.gov.in/,Andhra Pradesh Tourism Authority & Sri Durga Malleswara Swamy Varla Devasthanam,https://tourism.ap.gov.in/,Andhra Pradesh Tourism Authority & Sri Durga Malleswara Swamy Varla Devasthanam,https://tourism.ap.gov.in/,Andhra Pradesh Tourism Authority & Sri Durga Malleswara Swamy Varla Devasthanam,https://tourism.ap.gov.in/,Official pilgrimage and destination tourist footfall from AP Tourism Authority.,State Tourism Department / Temple Board,2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,78.91,59.31,57.96,34.87,41.76,29.29,39.45,57.96,Medium,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from State Tourism Department / Temple Board.,Verified Ground Truth
19,Visakhapatnam,Andhra Pradesh,Visakhapatnam,2023.0,11800000,38000,11838000,2023.0,2023.0,16,Telangana,3900000,14,United States,9200,99.68,0.32,310.53,9800000.0,18500.0,20.41,105.41,20.57,Andhra Pradesh Tourism Authority,https://tourism.ap.gov.in/,Andhra Pradesh Tourism Authority,https://tourism.ap.gov.in/,Andhra Pradesh Tourism Authority,https://tourism.ap.gov.in/,Andhra Pradesh Tourism Authority,https://tourism.ap.gov.in/,Official tourist arrivals published by AP Tourism Authority for Visakhapatnam coastal hub.,State Tourism Department,2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,77.12,67.64,62.75,47.89,47.59,48.14,40.06,62.75,High,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from State Tourism Department.,Verified Ground Truth
20,Vizianagaram,Andhra Pradesh,Vizianagaram,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,55.16,,,,,55.16,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
21,Yemmiganur,Andhra Pradesh,Kurnool,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,48.1,,,,,48.1,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
22,Itanagar,Arunachal Pradesh,Papum Pare,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,55.8,,,,,55.8,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
23,Dhuburi,Assam,Dhubri,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,48.7,,,,,48.7,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
24,Dibrugarh,Assam,Dibrugarh,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,62.13,,,,,62.13,High,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
25,Dispur,Assam,Kamrup Metropolitan,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,53.22,,,,,53.22,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
26,Guwahati,Assam,Kamrup Metropolitan,2023.0,2450000,14200,2464200,2023.0,2023.0,16,West Bengal,750000,12,Bangladesh,4200,99.42,0.58,172.54,2080000.0,7400.0,17.79,91.89,18.05,"Directorate of Tourism, Government of Assam",https://tourism.assam.gov.in/,"Directorate of Tourism, Government of Assam",https://tourism.assam.gov.in/,"Directorate of Tourism, Government of Assam",https://tourism.assam.gov.in/,"Directorate of Tourism, Government of Assam",https://tourism.assam.gov.in/,Official tourist arrivals published by Assam Tourism for gateway city and Kamakhya shrine.,State Tourism Department,2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,63.46,59.42,54.08,42.68,47.59,38.71,39.14,54.08,Medium,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from State Tourism Department.,Verified Ground Truth
27,Jorhat,Assam,Jorhat,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,60.9,,,,,60.9,High,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
28,Nagaon,Assam,Nagaon,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,56.63,,,,,56.63,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
29,Sivasagar,Assam,Sivasagar,2023.0,428162,1554,429716,2023.0,2023.0,10,Assam,285000,6,United Kingdom,390,99.64,0.36,275.52,365000.0,780.0,17.3,99.23,17.48,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,"Sum of ASI ticketed Ahom monuments: Kareng Ghar (217,013 dom, 788 for) + Rang Ghar (163,162 dom, 680 for) + Charaideo Maidans (47,987 dom, 86 for).",Government of India (ASI),2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,48.31,40.95,34.86,11.42,12.65,10.43,38.94,34.86,Low,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from Government of India (ASI).,Verified Ground Truth
