cultural_id,cultural_asset_name,city_name,state_name,district_name,cultural_category,cultural_subcategory,tourism_type,cultural_significance,recognition_status,unesco_ich_status,gi_status,official_recognition,source_name,source_url,evidence_notes,association_notes
CULT_0018,Etikoppaka Lacquered Wooden Toys,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Handicraft,Turned Wood Lacquerware,Arts & Crafts Tourism,Eco-friendly turned woodcraft using Ankudu softwood and non-toxic vegetative lac dyes applied while spinning on traditional hand lathes.,GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/398,Registered under GI Application No. 398 as Etikoppaka Toys.,Craft cluster situated along the Varaha River with artisan linkages into Visakhapatnam city.
CULT_0019,Bobbili Veena Musical Instrument Craft,Vizianagaram,Andhra Pradesh,Vizianagaram,Handicraft,Classical Musical Instrument Making,Cultural Tourism,300-year-old instrument crafting tradition where the Saraswati Veena is carved out of a single log of Jackwood (Ekanda Veena) by master artisans of the Sarvasiddhi community.,GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/147,Registered under GI Application No. 147 as Bobbili Veena.,"Practiced in Bobbili, the historic samsthanam of Vizianagaram district."
CULT_0020,Yemmiganur Weavers Co-operative Cotton Fabric Tradition,Yemmiganur,Andhra Pradesh,Kurnool,Handloom/Textile,Co-operative Handloom Weaving,Arts & Crafts Tourism,"Pioneering Indian weavers' cooperative society founded in 1938 by Machani Somappa, producing durable cotton sarees, dhotis, and bedspreads.",National,Not Listed,Not GI Registered,Yes,"Development Commissioner for Handlooms, Ministry of Textiles",https://handlooms.nic.in/,Nationally recognized model handloom cooperative cluster documented by Ministry of Textiles.,Centered directly in Yemmiganur town.
CULT_0021,Badami Chalukyan Rock-Cut Temple Architecture,Badami,Karnataka,Bagalkot,Traditional Architecture,Rock-Cut Cave Temple Architecture,Heritage Tourism,6th-8th century CE rock-cut cave temples representing the crucible of early South Indian temple architecture (Vesara style) carved into red sandstone cliffs.,National,Not Listed,Not GI Registered,Yes,Archaeological Survey of India,https://asi.nic.in/,Centrally protected national monuments maintained by ASI.,Directly located around Agastya Lake in Badami.
CULT_0022,Sandur Lambani Tribal Embroidery,Ballari,Karnataka,Ballari,Handicraft,Tribal Mirror and Patchwork Embroidery,Indigenous/Tribal Tourism,"Vibrant nomadic Lambani tribal craft combining 39 distinct stitches, mirror-work, cowrie shells, and coins onto handspun cotton fabric.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/134,Registered under GI Application No. 134 as Sandur Lambani Embroidery.,Practiced by Lambani thandas centered across Ballari district.
CULT_0023,Mysore Silk Weaving Tradition of Bengaluru,Bengaluru,Karnataka,Bengaluru Urban,Handloom/Textile,Pure Mulberry Silk & Gold Zari Weaving,Cultural Tourism,"Karnataka's hallmark silk weaving industry established by Tipu Sultan and formalized by Karnataka Silk Industries Corporation (KSIC), weaving 100% pure silk with 0.65% pure gold zari.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/11,Registered under GI Application No. 11 as Mysore Silk.,"Major silk spinning, testing, trading, and institutional headquarters situated in Bengaluru."
CULT_0024,Belgaum Kunda Traditional Sweet Heritage,Belagavi,Karnataka,Belagavi,Cuisine/Food Heritage,Milk-based Confectionery,Culinary Tourism,"Iconic slow-caramelized milk, khowa, and sugar confectionery developed in the early 20th century by Jakku Marwadi, forming an integral part of North Karnataka culinary identity.",State,Not Listed,Not GI Registered,Yes,Karnataka Tourism / District Administration,https://karnatakatourism.org/,Documented in state culinary archives and official district portals.,Directly prepared and sold across traditional sweet shops in Belagavi city.
CULT_0025,Bhadravati Iron Forging and Metal Artisan Tradition,Bhadravati,Karnataka,Shivamogga,Handicraft,Traditional Metal Casting,Heritage Tourism,"Historic industrial-artisan iron and paper craftsmanship fostered under Sir M. Visvesvaraya along the Bhadra River, bridging traditional metallurgy with modern engineering.",Institutional,Not Listed,Not GI Registered,Yes,Government of Karnataka Industries Department,https://shimoga.nic.in/,Documented historical industrial township heritage in Shivamogga district.,Centered in the industrial and artisanal quarters of Bhadravati.
CULT_0026,Bidriware Metal Inlay Craft,Bidar,Karnataka,Bidar,Handicraft,Silver Inlay on Zinc-Copper Alloy,Arts & Crafts Tourism,"14th-century Bahmani Sultanate craft where pure silver wire is inlaid into a blackened zinc and copper alloy, oxidized using the historic soil of Bidar Fort.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/12,Registered under GI Application No. 12 as Bidriware.,Master artisans operate in the old quarters of Bidar city.
CULT_0027,Chikmagalur Arabica Coffee Plantation Culture,Chikkamagaluru,Karnataka,Chikkamagaluru,Traditional Product,Shade-Grown Coffee Heritage,Cultural Tourism,"Birthplace of Indian coffee where Baba Budan planted seven raw coffee beans in 1670; celebrated for shade-grown, handpicked Arabica beans nurtured in high Western Ghats canopies.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/473,Registered under GI Application No. 473 as Chikmagalur Arabica Coffee.,Directly cultivated across the Baba Budangiri and Malnad hills of Chikkamagaluru.
CULT_0028,Chitradurga Kallina Kote Fortification Traditions,Chitradurga,Karnataka,Chitradurga,Traditional Architecture,Military Stone Fortification & Water Harvesting,Heritage Tourism,"Remarkable 17th-century 'Seven-Circuited Stone Fort' (Yelu Suttina Kote) showcasing labyrinthine stone gateways, interconnected rainwater reservoirs, and the folk ballad legend of Onake Obavva.",National,Not Listed,Not GI Registered,Yes,Archaeological Survey of India,https://asi.nic.in/,Centrally protected heritage fort maintained by ASI.,Directly overlooks and defines Chitradurga city.
CULT_0029,Davangere Benne Dosa Culinary Tradition,Davangere,Karnataka,Davangere,Cuisine/Food Heritage,Regional Culinary Specialty,Culinary Tourism,"Legendary butter dosa tradition originating in the 1920s by Chennamma, cooked on wood-fired cast iron griddles with fresh white country butter and potato aloo palya.",State,Not Listed,Not GI Registered,Yes,Karnataka Tourism,https://karnatakatourism.org/,Celebrated in Karnataka culinary heritage publications and state tourism food festivals.,Directly rooted in the local eateries of Davangere city.
CULT_0030,Hoysala Sacred Architecture and Chloritic Schist Sculptures,Halebid,Karnataka,Hassan,Traditional Architecture,Star-Shaped Temple Architecture & Soapstone Reliefs,Heritage Tourism,"12th-century Hoysaleswara Temple complex inscribed as a UNESCO World Heritage Site in 2023, showcasing stellate ground plans and thousands of soapstone friezes depicting epics, dance poses, and flora.",UNESCO,Not Listed,Not GI Registered,Yes,UNESCO World Heritage Centre / Archaeological Survey of India,https://whc.unesco.org/en/list/1670,Inscribed under Sacred Ensembles of the Hoysalas on UNESCO World Heritage List (2023).,"Directly located at Halebid (Dwarasamudra), the former Hoysala capital."
CULT_0031,Hassan Malnad Traditional Spice Cuisine,Hassan,Karnataka,Hassan,Cuisine/Food Heritage,Malnad Indigenous Cuisine,Culinary Tourism,"Traditional Malnad cuisine emphasizing local bamboo shoot (Kalale), colocasia leaves (Patrode), and steamed rice cakes (Akki Rotti) prepared with freshly ground black pepper and coconut.",Institutional,Not Listed,Not GI Registered,Yes,Karnataka Tourism,https://karnatakatourism.org/,Documented in state culinary traditions and regional homestay cultural circuits.,Practiced throughout households and culinary establishments in Hassan.
CULT_0032,Dharwad Pedha Traditional Sweet,Hubballi-Dharwad,Karnataka,Dharwad,Cuisine/Food Heritage,Milk Sweet Confectionery,Culinary Tourism,19th-century confectionery heritage created by Ram Ratan Singh Thakur using caramelized Dharwad buffalo milk and powdered sugar crust.,GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/80,Registered under GI Application No. 80 as Dharwad Pedha.,Directly originated and prepared in Dharwad-Hubballi.
CULT_0033,Kirana Gharana Classical Music Tradition of Dharwad,Hubballi-Dharwad,Karnataka,Dharwad,Music,Hindustani Classical Vocal Music,Cultural Tourism,"Renowned seat of Hindustani classical music that nurtured legendary doyens including Pandit Bhimsen Joshi, Gangubai Hangal, and Mallikarjun Mansur.",National,Not Listed,Not GI Registered,Yes,"Sangeet Natak Akademi, Ministry of Culture",https://sangeetnatak.gov.in/,Documented in Sangeet Natak Akademi archives and Karnataka Sangeetha Nrutya Academy.,Deeply embedded in the musical gurukuls and institutions of Dharwad.
CULT_0034,Kalaburagi Red Gram (Gulbarga Togari Bele),Kalaburagi,Karnataka,Kalaburagi,Traditional Product,Indigenous Pulse Heritage,Cultural Tourism,"Specialized pigeon pea cultivated in the calcium-rich black soil of Kalaburagi, known for high protein, quick cooking, and unique nutty flavor essential to Karnataka sambar.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/437,Registered under GI Application No. 437 as Kalaburagi Red Gram.,Cultivated across Kalaburagi district and marketed through Gulbarga grain mandis.
CULT_0035,Kolar Mulberry Sericulture and Raw Silk Reeling,Kolar,Karnataka,Kolar,Traditional Product,Sericulture and Silk Cocoon Craft,Rural Tourism,"Century-old sericulture heritage where peasant households cultivate mulberry and rear high-yield bivoltine silkworms, supplying Asia's largest cocoon market.",State,Not Listed,Not GI Registered,Yes,"Department of Sericulture, Government of Karnataka",https://kolar.nic.in/,Documented in Karnataka Sericulture Department records and Central Silk Board reports.,Centered at the Kolar Government Silk Cocoon Market.
CULT_0036,Kodava Martial Traditions and Bolak-aat Folk Dance,Madikeri,Karnataka,Kodagu,Dance,Martial Folk Dance and Cultural Attire,Cultural Tourism,Indigenous warrior traditions of the Kodava community performed around an oil lamp with ceremonial sword (Pichekathi) and traditional Kupya-Chele attire.,State,Not Listed,Not GI Registered,Yes,Karnataka Janapada Academy,https://karnatakatourism.org/,Documented by Karnataka Janapada Academy and district cultural heritage surveys.,Practiced across the traditional Okka ancestral clans of Kodagu centered in Madikeri.
CULT_0037,Mandya Organic Jaggery (Alemane) Craft,Mandya,Karnataka,Mandya,Cuisine/Food Heritage,Artisanal Cane Processing,Rural Tourism,Traditional rustic sugarcane crushing and open-pan jaggery boiling units (Alemane) operated by farmer-artisans producing chemical-free golden jaggery blocks and powder.,Institutional,Not Listed,Not GI Registered,Yes,"Department of Agriculture, Government of Karnataka",https://mandya.nic.in/,Documented in Mandya District Industrial Potential Survey and Agriculture Department reports.,Endemic to the Cauvery-irrigated sugarcane belt of Mandya.
CULT_0038,Yakshagana Coastal Dance-Drama Tradition,Mangaluru,Karnataka,Dakshina Kannada,Theatre/Performance,Classical Folk Theatre & Dance-Drama,Cultural Tourism,"Centuries-old night-long theatre tradition combining spoken Kannada/Tulu dialogue, vigorous footwork, Chande-Maddale percussion, and elaborate headdresses (Muguda).",National,Not Listed,Not GI Registered,Yes,"Sangeet Natak Akademi, Ministry of Culture",https://sangeetnatak.gov.in/,Preserved through Sangeet Natak Akademi grants and Yakshagana Kalaranga.,Vibrant living tradition staged across coastal temples and cultural halls in Mangaluru.
CULT_0039,Mysore Traditional Painting,Mysuru,Karnataka,Mysuru,Traditional Art,Gesso Gold Leaf Classical Painting,Arts & Crafts Tourism,Classical Vijayanagara and Wodeyar court painting style characterized by gesso relief paste work covered with pure gold foil and delicate natural vegetable colors.,GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/24,Registered under GI Application No. 24 as Mysore Traditional Paintings.,Practiced by traditional Chitragara artists in Mysuru.
CULT_0040,Mysore Pak Confectionery Heritage,Mysuru,Karnataka,Mysuru,Cuisine/Food Heritage,Royal Sweet Confectionery,Culinary Tourism,"Royal melt-in-mouth sweet created in the 1930s by palace royal chef Kakasura Madappa using gram flour, pure cow ghee, and sugar syrup at the Mysore Palace.",State,Not Listed,Not GI Registered,Yes,"Department of Tourism, Government of Karnataka",https://karnatakatourism.org/,Celebrated in Karnataka culinary archives and palace royal cuisine chronicles.,Directly born in the royal kitchen of Mysore Palace and sold city-wide.
CULT_0041,Raichur Cotton Handloom and Doab Agricultural Heritage,Raichur,Karnataka,Raichur,Handloom/Textile,Coarse Cotton Handloom Weaving,Rural Tourism,"Traditional cotton ginning and pit-loom weaving heritage developed in the Krishna-Tungabhadra Doab, sustaining local weaver communities.",Institutional,Not Listed,Not GI Registered,Yes,"Development Commissioner for Handlooms, Ministry of Textiles",https://handlooms.nic.in/,Documented handloom cluster in Ministry of Textiles directory.,Practiced in rural and urban weaving clusters of Raichur.
CULT_0042,Sandalwood Carving and Gudigar Artisan Tradition,Shivamogga,Karnataka,Shivamogga,Handicraft,Aromatic Wood Carving,Arts & Crafts Tourism,"Intricate microscopic woodcarving tradition by the hereditary Gudigar community carving mythological panels, caskets, and figurines out of fragrant Santalum album wood.",National,Not Listed,Not GI Registered,Yes,"Office of the Development Commissioner (Handicrafts), Ministry of Textiles",https://handicrafts.nic.in/,Nationally recognized handicraft cluster centered in Sagar/Shivamogga.,Centered in Shivamogga and the surrounding Malnad forest belt.
CULT_0043,Mahamastakabhisheka Living Jain Anointing Ritual,Shravanabelagola,Karnataka,Hassan,Cultural Practice,Monolithic Sacred Anointing Ritual,Cultural Tourism,"Millennium-old Jain ritual held once every 12 years where the 57-foot monolithic statue of Bahubali Gommateshwara (erected 981 CE) is anointed with milk, saffron, sugarcane juice, and vermilion.",National,Not Listed,Not GI Registered,Yes,Archaeological Survey of India / Ministry of Culture,https://asi.nic.in/,Protected national heritage monument and celebrated national cultural festival.,Directly conducted at Vindhyagiri Hill in Shravanabelagola.
CULT_0044,Ganjifa Card Painting of Srirangapatna,Shrirangapattana,Karnataka,Mandya,Traditional Art,Circular Miniature Painting on Playing Cards,Arts & Crafts Tourism,"Traditional circular playing card painting depicting Dashavatara and mythological themes on treated cloth or handmade paper, patronized during Tipu Sultan and Wodeyar eras.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/25,Registered under GI Application No. 25 as Mysore Ganjifa Cards (covering Mandya/Mysuru region).,Practiced by artisans in the historic island capital of Srirangapatna.
CULT_0045,Tumkur Coir and Handloom Artisanal Craft,Tumakuru,Karnataka,Tumakuru,Handicraft,Coir Fiber Weaving and Craft,Rural Tourism,"Traditional coconut husk retting, yarn spinning, and matting craft rooted in the agrarian coconut orchards of central Karnataka.",Institutional,Not Listed,Not GI Registered,Yes,"Coir Board, Ministry of MSME",https://coirboard.gov.in/,Documented in Coir Board industrial development clusters.,Centered in rural artisanal clusters across Tumakuru district.
CULT_0046,Gol Gumbaz Acoustic Whispering Gallery Architecture,Vijayapura,Karnataka,Vijayapura,Traditional Architecture,Deccan Indo-Islamic Monumental Dome Architecture,Heritage Tourism,17th-century mausoleum of Mohammed Adil Shah boasting one of the world's largest unsupported masonry domes with a famous whispering gallery where the faintest sound echoes eleven times.,National,Not Listed,Not GI Registered,Yes,Archaeological Survey of India,https://asi.nic.in/,Centrally protected national monument maintained by ASI.,Directly located in Vijayapura (Bijapur) city.
CULT_0047,Alleppey Coir Spinning and Mat Weaving,Alappuzha,Kerala,Alappuzha,Handicraft,Natural Coir Fiber Craft,Arts & Crafts Tourism,"Traditional water-retted coconut fiber spinning and weaving into geotextiles and mats, anchoring coastal Kerala's working-class cooperative heritage.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/34,Registered under GI Application No. 34 as Alleppey Coir.,Centered in the canals and artisan workshops of Alappuzha.
CULT_0048,Kalaripayattu Northern Style (Vadakkan Kalari),Vatakara,Kerala,Kozhikode,Cultural Practice,Traditional Martial Art & Healing Science,Cultural Tourism,"Ancient Indian martial art originating in North Malabar featuring posture regimes (Vadivu), armed combat (Urumi, sword, shield), and Marmachikitsa massage therapy, celebrated in Vadakkan Pattukal ballads.",National,Not Listed,Not GI Registered,Yes,Sangeet Natak Akademi / Kerala Sangeetha Nataka Akademi,https://sangeetnatak.gov.in/,Recognized national martial art and folk tradition documented by Sangeet Natak Akademi.,Historic hub of legendary hero Thacholi Othenan and traditional Kalaris in Vatakara.
CULT_0049,Idukki High Ranges Cardamom and Pepper Spices Heritage,Idukki,Kerala,Idukki,Traditional Product,Indigenous High-Altitude Spices,Rural Tourism,"Centuries-old agro-cultural spice gathering and cultivation tradition in the Cardamom Hills, supplying green cardamom and Tellicherry bold black pepper to global maritime trade routes.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/143,Registered under GI Application No. 143 as Alleppey Green Cardamom (produced in Idukki/Western Ghats).,Grown and processed by tribal and agrarian communities in Idukki.
CULT_0050,Theyyam Ritual Dance Performance Tradition,Kannur,Kerala,Kannur,Dance,Sacred Shamanic Dance-Drama,Cultural Tourism,"Ancient living socio-religious ritual where performers embody folk deities (Kaliyattam) through elaborate face painting, towering coconut-leaf headdresses (Mudi), and hypnotic drumming in village sacred groves (Kavus).",National,Not Listed,Not GI Registered,Yes,Sangeet Natak Akademi / Kerala Folklore Academy,https://sangeetnatak.gov.in/,Extensively documented living ritual performance under Sangeet Natak Akademi archives.,Deeply rooted in the ancestral shrines (Kavus) of Kannur district.
CULT_0051,Chendamangalam Handloom Dhoties and Set Mundu,Kochi,Kerala,Ernakulam,Handloom/Textile,Fine Cotton Handloom Weaving,Arts & Crafts Tourism,"Traditional fine count handloom weaving using pure cotton yarn and Kasavu gold borders, perfected by the Devanga weaver community under the patronage of the Paliam royal family.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/144,Registered under GI Application No. 144 as Chendamangalam Dhoties & Set Mundu.,Manufactured in Chendamangalam in the northern Kochi metropolitan fringe.
CULT_0052,Kollam Cashew Processing Artisanal Tradition,Kollam,Kerala,Kollam,Traditional Product,Agro-processing Artisanal Craft,Rural Tourism,"Historical manual drum-roasting, hand-shelling, and peeling craftsmanship established in the 1920s that made Kollam the historic 'Cashew Capital of the World'.",Institutional,Not Listed,Not GI Registered,Yes,Cashew Export Promotion Council of India (CEPCI),https://kollam.nic.in/,Documented in Kollam District industrial profile and CEPCI archives.,Centuries-old trade and processing factories centered in Kollam city.
