city_id,city_name,state_name,natural_potential_score,cultural_potential_score,heritage_potential_score,uniqueness_score,experience_potential_score,overall_potential_score,data_completeness_percentage,score_confidence,natural_attraction_count,cultural_attraction_count,historical_site_count,asi_protected_site_count,unesco_world_heritage_site_count,ramsar_site_count
CT0025,Dispur,Assam,22.57,42.90,17.75,27.00,48.73,31.79,77.3,Low,NA,NA,NA,0,0,0
CT0026,Guwahati,Assam,85.99,84.33,50.91,96.00,81.73,79.79,100.0,High,5,8,7,0,0,1
CT0027,Jorhat,Assam,59.26,67.66,17.75,78.00,70.42,58.62,90.9,High,1,2,NA,0,0,0
CT0028,Nagaon,Assam,72.20,42.90,30.89,93.00,74.14,62.63,81.8,High,2,NA,NA,0,1,0
CT0029,Sivasagar,Assam,48.69,78.78,70.07,96.00,74.71,73.65,100.0,High,3,7,14,0,1,0
CT0030,Silchar,Assam,22.57,42.90,17.75,27.00,48.73,31.79,77.3,Low,NA,NA,NA,0,0,0
CT0031,Tezpur,Assam,71.44,67.66,17.75,79.00,71.54,61.48,90.9,High,2,2,NA,0,0,0
CT0032,Tinsukia,Assam,71.78,63.78,17.75,79.00,71.54,60.77,90.9,High,2,1,NA,0,0,0
CT0033,Ara,Bihar,21.64,46.71,17.75,27.00,48.73,32.37,77.3,Low,NA,NA,NA,0,0,0
CT0034,Barauni,Bihar,55.38,46.71,17.75,78.00,67.04,52.98,81.8,Medium,1,NA,NA,0,0,1
CT0035,Begusarai,Bihar,76.17,46.71,17.75,78.00,70.14,57.75,81.8,High,2,NA,NA,0,0,1
CT0036,Bettiah,Bihar,72.16,68.59,54.26,79.00,74.64,69.73,100.0,High,2,1,5,5,0,0
CT0037,Bhagalpur,Bihar,59.73,75.92,64.29,93.00,77.51,74.09,100.0,High,1,3,8,8,0,0
CT0038,Bihar Sharif,Bihar,33.75,81.59,80.82,96.00,69.65,72.36,100.0,High,2,7,8,18,1,0
CT0039,Bodh Gaya,Bihar,42.91,74.60,78.99,96.00,76.10,73.72,100.0,High,3,12,10,8,1,0
CT0040,Buxar,Bihar,21.64,46.71,52.62,81.00,62.82,52.96,86.4,Medium,NA,NA,4,4,0,0
CT0041,Chapra,Bihar,21.64,46.71,45.86,79.00,62.82,51.21,86.4,Medium,NA,NA,3,3,0,0
CT0042,Darbhanga,Bihar,21.64,46.71,52.62,81.00,62.82,52.96,86.4,Medium,NA,NA,4,4,0,0
CT0043,Dehri,Bihar,61.53,46.71,52.62,78.00,72.10,62.19,90.9,High,1,NA,4,4,0,0
CT0044,Dinapur Nizamat,Bihar,21.64,46.71,17.75,27.00,48.73,32.37,77.3,Low,NA,NA,NA,0,0,0
CT0045,Gaya,Bihar,45.72,83.78,76.04,96.00,72.74,74.86,100.0,High,3,8,7,12,1,0
CT0046,Hajipur,Bihar,21.64,46.71,63.23,93.00,66.82,58.28,86.4,High,NA,NA,7,7,0,0
CT0047,Jamalpur,Bihar,61.16,46.71,17.75,78.00,69.01,54.53,81.8,Medium,1,NA,NA,0,0,0
CT0048,Katihar,Bihar,21.64,46.71,17.75,27.00,48.73,32.37,77.3,Low,NA,NA,NA,0,0,0
CT0049,Madhubani,Bihar,21.64,68.59,17.75,58.00,56.14,44.42,86.4,Medium,NA,1,NA,0,0,0
CT0050,Motihari,Bihar,21.64,46.71,52.62,79.00,62.82,52.56,86.4,Medium,NA,NA,4,4,0,0
CT0051,Munger,Bihar,61.16,46.71,56.19,78.00,72.10,62.83,90.9,High,1,NA,6,6,0,0
CT0052,Muzaffarpur,Bihar,21.64,68.59,17.75,58.00,56.14,44.42,86.4,Medium,NA,1,NA,0,0,0
CT0053,Patna,Bihar,47.75,82.79,69.04,96.00,78.77,74.87,100.0,High,3,10,12,15,0,0
CT0054,Purnia,Bihar,21.64,46.71,17.75,27.00,48.73,32.37,77.3,Low,NA,NA,NA,0,0,0
CT0055,Pusa,Bihar,21.64,46.71,17.75,27.00,48.73,32.37,77.3,Low,NA,NA,NA,0,0,0
CT0056,Saharsa,Bihar,21.64,46.71,17.75,27.00,48.73,32.37,77.3,Low,NA,NA,NA,0,0,0
CT0057,Samastipur,Bihar,21.64,46.71,17.75,27.00,48.73,32.37,77.3,Low,NA,NA,NA,0,0,0
CT0058,Sasaram,Bihar,55.73,67.15,63.76,94.00,69.58,70.04,100.0,High,3,6,7,9,0,0
CT0059,Sitamarhi,Bihar,21.64,46.71,17.75,27.00,48.73,32.37,77.3,Low,NA,NA,NA,0,0,0
CT0060,Siwan,Bihar,21.64,46.71,17.75,27.00,48.73,32.37,77.3,Low,NA,NA,NA,0,0,0
CT0061,Chandigarh,Chandigarh,21.64,42.90,30.89,93.00,62.04,50.09,77.3,Medium,NA,NA,NA,0,1,0
CT0062,Ambikapur,Chhattisgarh,73.54,43.90,17.75,79.00,70.14,56.87,81.8,Medium,2,NA,NA,0,0,0
CT0063,Bhilai,Chhattisgarh,23.50,43.90,17.75,27.00,48.73,32.18,77.3,Low,NA,NA,NA,0,0,0
CT0064,Bilaspur,Chhattisgarh,62.26,43.90,17.75,78.00,69.01,54.18,81.8,Medium,1,NA,NA,0,0,0
CT0065,Dhamtari,Chhattisgarh,61.98,43.90,17.75,78.00,69.01,54.13,81.8,Medium,1,NA,NA,0,0,0
CT0066,Durg,Chhattisgarh,23.50,43.90,17.75,27.00,48.73,32.18,77.3,Low,NA,NA,NA,0,0,0
CT0067,Jagdalpur,Chhattisgarh,73.36,43.90,17.75,79.00,70.14,56.83,81.8,Medium,2,NA,NA,0,0,0
CT0068,Raipur,Chhattisgarh,23.50,43.90,17.75,27.00,48.73,32.18,77.3,Low,NA,NA,NA,0,0,0
CT0069,Rajnandgaon,Chhattisgarh,23.50,43.90,17.75,27.00,48.73,32.18,77.3,Low,NA,NA,NA,0,0,0
CT0070,Daman,Dadra and Nagar Haveli and Daman and Diu,21.64,42.90,17.75,27.00,46.77,31.21,77.3,Low,NA,NA,NA,0,0,0
CT0071,Diu,Dadra and Nagar Haveli and Daman and Diu,21.64,42.90,17.75,27.00,46.77,31.21,77.3,Low,NA,NA,NA,0,0,0
CT0072,Silvassa,Dadra and Nagar Haveli and Daman and Diu,21.64,42.90,17.75,27.00,46.77,31.21,77.3,Low,NA,NA,NA,0,0,0
CT0073,Delhi,Delhi,51.72,81.42,91.10,96.00,80.73,80.19,100.0,High,4,15,25,174,3,0
CT0074,New Delhi,Delhi,51.72,80.42,89.56,96.00,78.77,79.29,100.0,High,4,14,20,174,3,0
CT0075,Madgaon,Goa,23.50,76.30,17.75,61.00,56.14,46.94,86.4,Medium,NA,4,NA,0,0,0
CT0076,Panaji,Goa,23.50,76.30,30.89,93.00,65.14,57.77,86.4,High,NA,4,NA,0,1,0
CT0077,Ahmadabad,Gujarat,65.86,85.15,71.62,96.00,78.77,79.48,100.0,High,3,12,18,0,1,1
CT0078,Amreli,Gujarat,22.57,47.71,17.75,27.00,48.73,32.75,77.3,Low,NA,NA,NA,0,0,0
CT0079,Bharuch,Gujarat,22.57,47.71,17.75,27.00,48.73,32.75,77.3,Low,NA,NA,NA,0,0,0
CT0080,Bhavnagar,Gujarat,63.60,47.71,17.75,78.00,70.14,55.44,81.8,Medium,1,NA,NA,0,0,0
CT0081,Bhuj,Gujarat,76.22,87.51,66.50,96.00,80.60,81.37,100.0,High,4,10,8,0,1,0
CT0082,Dwarka,Gujarat,22.57,47.71,17.75,27.00,48.73,32.75,77.3,Low,NA,NA,NA,0,0,0
CT0083,Gandhinagar,Gujarat,22.57,47.71,17.75,27.00,48.73,32.75,77.3,Low,NA,NA,NA,0,0,0
CT0084,Godhra,Gujarat,22.57,47.71,30.89,93.00,63.73,51.58,77.3,Medium,NA,NA,NA,0,1,0
CT0085,Jamnagar,Gujarat,87.70,67.59,17.75,78.00,72.67,64.74,90.9,High,3,1,NA,0,0,1
CT0086,Junagadh,Gujarat,73.35,67.59,17.75,79.00,71.54,61.85,90.9,High,2,1,NA,0,0,0
CT0087,Kandla,Gujarat,22.57,47.71,17.75,27.00,48.73,32.75,77.3,Low,NA,NA,NA,0,0,0
CT0088,Khambhat,Gujarat,22.57,67.59,17.75,58.00,56.14,44.41,86.4,Medium,NA,1,NA,0,0,0
CT0089,Kheda,Gujarat,22.57,47.71,17.75,27.00,48.73,32.75,77.3,Low,NA,NA,NA,0,0,0
CT0090,Mahesana,Gujarat,75.31,47.71,17.75,78.00,70.14,57.78,81.8,High,2,NA,NA,0,0,1
CT0091,Morbi,Gujarat,22.57,47.71,17.75,27.00,48.73,32.75,77.3,Low,NA,NA,NA,0,0,0
CT0092,Nadiad,Gujarat,22.57,47.71,17.75,27.00,48.73,32.75,77.3,Low,NA,NA,NA,0,0,0
CT0093,Navsari,Gujarat,22.57,47.71,17.75,27.00,48.73,32.75,77.3,Low,NA,NA,NA,0,0,0
CT0094,Okha,Gujarat,22.57,47.71,17.75,27.00,48.73,32.75,77.3,Low,NA,NA,NA,0,0,0
CT0095,Palanpur,Gujarat,22.57,47.71,17.75,27.00,48.73,32.75,77.3,Low,NA,NA,NA,0,0,0
CT0096,Patan,Gujarat,33.75,79.23,66.82,96.00,71.61,69.48,100.0,High,2,7,8,0,1,0
CT0097,Porbandar,Gujarat,22.57,47.71,17.75,27.00,48.73,32.75,77.3,Low,NA,NA,NA,0,0,0
CT0098,Rajkot,Gujarat,22.57,71.47,17.75,59.00,56.14,45.39,86.4,Medium,NA,2,NA,0,0,0
CT0099,Surat,Gujarat,22.57,67.59,17.75,58.00,56.14,44.41,86.4,Medium,NA,1,NA,0,0,0
CT0100,Surendranagar,Gujarat,57.05,67.59,17.75,78.00,68.45,57.77,90.9,High,1,1,NA,0,0,1
CT0101,Valsad,Gujarat,63.42,47.71,17.75,78.00,70.14,55.40,81.8,Medium,1,NA,NA,0,0,0
CT0102,Veraval,Gujarat,65.65,67.59,17.75,78.00,71.54,60.11,90.9,High,1,1,NA,0,0,0
CT0103,Ambala,Haryana,63.33,65.78,17.75,78.00,69.85,58.94,90.9,High,1,1,NA,0,0,0
CT0104,Bhiwani,Haryana,21.64,43.90,17.75,27.00,47.04,31.47,77.3,Low,NA,NA,NA,0,0,0
CT0105,Chandigarh,Haryana,21.64,43.90,30.89,93.00,62.04,50.29,77.3,Medium,NA,NA,NA,0,1,0
CT0106,Faridabad,Haryana,21.64,43.90,17.75,27.00,47.04,31.47,77.3,Low,NA,NA,NA,0,0,0
CT0107,Firozpur Jhirka,Haryana,21.64,43.90,17.75,27.00,47.04,31.47,77.3,Low,NA,NA,NA,0,0,0
CT0108,Gurugram,Haryana,76.11,43.90,17.75,78.00,69.57,57.07,81.8,High,2,NA,NA,0,0,1
CT0109,Hansi,Haryana,21.64,43.90,56.19,81.00,61.14,52.77,86.4,Medium,NA,NA,6,6,0,0
CT0110,Hisar,Haryana,21.64,43.90,17.75,27.00,47.04,31.47,77.3,Low,NA,NA,NA,0,0,0
CT0111,Jind,Haryana,21.64,43.90,17.75,27.00,47.04,31.47,77.3,Low,NA,NA,NA,0,0,0
CT0112,Kaithal,Haryana,21.64,43.90,17.75,27.00,47.04,31.47,77.3,Low,NA,NA,NA,0,0,0
CT0113,Karnal,Haryana,21.64,65.78,17.75,58.00,54.45,43.52,86.4,Medium,NA,1,NA,0,0,0
CT0114,Kurukshetra,Haryana,21.64,65.78,69.72,81.00,63.67,60.36,95.5,High,NA,1,14,14,0,0
CT0115,Panipat,Haryana,21.64,69.66,57.83,81.00,62.54,58.53,95.5,High,NA,2,7,7,0,0
CT0116,Pehowa,Haryana,21.64,43.90,17.75,27.00,47.04,31.47,77.3,Low,NA,NA,NA,0,0,0
CT0117,Rewari,Haryana,21.64,43.90,17.75,27.00,47.04,31.47,77.3,Low,NA,NA,NA,0,0,0
CT0118,Rohtak,Haryana,21.64,43.90,17.75,27.00,47.04,31.47,77.3,Low,NA,NA,NA,0,0,0
CT0119,Sirsa,Haryana,21.64,43.90,17.75,27.00,47.04,31.47,77.3,Low,NA,NA,NA,0,0,0
CT0120,Sonipat,Haryana,21.64,43.90,17.75,27.00,47.04,31.47,77.3,Low,NA,NA,NA,0,0,0
CT0121,Bilaspur,Himachal Pradesh,23.50,43.90,17.75,27.00,50.69,32.57,77.3,Low,NA,NA,NA,0,0,0
CT0122,Chamba,Himachal Pradesh,72.02,71.10,72.57,93.00,81.72,78.08,100.0,High,2,3,11,11,0,0
CT0123,Dalhousie,Himachal Pradesh,60.16,43.90,17.75,78.00,70.97,54.16,81.8,Medium,1,NA,NA,0,0,0
CT0124,Dharmshala,Himachal Pradesh,62.27,67.66,17.75,78.00,72.38,59.61,90.9,High,1,2,NA,0,0,0
CT0125,Hamirpur,Himachal Pradesh,23.50,43.90,17.75,27.00,50.69,32.57,77.3,Low,NA,NA,NA,0,0,0
CT0126,Kangra,Himachal Pradesh,78.47,67.66,73.58,93.00,81.72,78.89,100.0,High,2,2,12,12,0,1
CT0127,Kullu,Himachal Pradesh,75.34,63.78,30.89,93.00,77.50,68.10,90.9,High,3,1,NA,0,1,0
CT0128,Mandi,Himachal Pradesh,23.50,43.90,17.75,27.00,50.69,32.57,77.3,Low,NA,NA,NA,0,0,0
CT0129,Nahan,Himachal Pradesh,85.24,43.90,17.75,78.00,73.22,59.62,81.8,High,3,NA,NA,0,0,1
CT0130,Shimla,Himachal Pradesh,71.99,67.66,30.89,93.00,77.50,68.21,90.9,High,2,2,NA,0,1,0
CT0131,Una,Himachal Pradesh,23.50,43.90,17.75,27.00,50.69,32.57,77.3,Low,NA,NA,NA,0,0,0
CT0132,Anantnag,Jammu and Kashmir,61.93,68.66,58.89,78.00,75.47,68.59,100.0,High,1,2,8,8,0,0
CT0133,Baramula,Jammu and Kashmir,81.36,44.90,56.19,79.00,75.19,67.33,90.9,High,2,NA,6,6,0,2
CT0134,Doda,Jammu and Kashmir,23.50,44.90,17.75,27.00,50.69,32.77,77.3,Low,NA,NA,NA,0,0,0
CT0135,Gulmarg,Jammu and Kashmir,61.36,44.90,17.75,78.00,70.97,54.60,81.8,Medium,1,NA,NA,0,0,0
CT0136,Jammu,Jammu and Kashmir,87.04,68.66,66.06,78.00,78.85,75.72,100.0,High,3,2,10,10,0,1
CT0137,Kathua,Jammu and Kashmir,23.50,64.78,17.75,58.00,58.10,44.43,86.4,Medium,NA,1,NA,0,0,0
CT0138,Punch,Jammu and Kashmir,23.50,44.90,17.75,27.00,50.69,32.77,77.3,Low,NA,NA,NA,0,0,0
CT0139,Rajouri,Jammu and Kashmir,23.50,44.90,17.75,27.00,50.69,32.77,77.3,Low,NA,NA,NA,0,0,0
CT0140,Srinagar,Jammu and Kashmir,91.67,77.07,71.07,79.00,78.85,79.53,100.0,High,3,7,16,16,0,2
CT0141,Udhampur,Jammu and Kashmir,57.21,44.90,58.89,78.00,72.10,62.22,90.9,High,1,NA,8,8,0,1
CT0142,Bokaro,Jharkhand,22.57,45.71,17.75,27.00,48.73,32.35,77.3,Low,NA,NA,NA,0,0,0
CT0143,Chaibasa,Jharkhand,22.57,45.71,17.75,27.00,48.73,32.35,77.3,Low,NA,NA,NA,0,0,0
CT0144,Deoghar,Jharkhand,59.09,45.71,17.75,78.00,69.01,53.91,81.8,Medium,1,NA,NA,0,0,0
CT0145,Dhanbad,Jharkhand,22.57,45.71,17.75,27.00,48.73,32.35,77.3,Low,NA,NA,NA,0,0,0
CT0146,Dumka,Jharkhand,22.57,45.71,17.75,27.00,48.73,32.35,77.3,Low,NA,NA,NA,0,0,0
CT0147,Giridih,Jharkhand,59.72,45.71,17.75,78.00,69.01,54.04,81.8,Medium,1,NA,NA,0,0,0
CT0148,Hazaribag,Jharkhand,60.45,66.59,17.75,78.00,70.42,58.64,90.9,High,1,1,NA,0,0,0
CT0149,Jamshedpur,Jharkhand,60.47,45.71,17.75,78.00,69.01,54.19,81.8,Medium,1,NA,NA,0,0,0
CT0150,Jharia,Jharkhand,22.57,45.71,17.75,27.00,48.73,32.35,77.3,Low,NA,NA,NA,0,0,0
CT0151,Rajmahal,Jharkhand,75.11,45.71,17.75,78.00,70.14,57.34,81.8,High,2,NA,NA,0,0,1
CT0152,Ranchi,Jharkhand,22.57,70.47,17.75,59.00,56.14,45.19,86.4,Medium,NA,2,NA,0,0,0
CT0153,Saraikela,Jharkhand,22.57,66.59,17.75,58.00,56.14,44.21,86.4,Medium,NA,1,NA,0,0,0
CT0154,Badami,Karnataka,23.50,43.90,90.82,93.00,69.91,64.23,86.4,High,NA,NA,18,18,1,0
CT0155,Ballari,Karnataka,75.66,43.90,88.94,93.00,80.31,76.36,90.9,High,2,NA,36,36,1,1
CT0156,Bengaluru,Karnataka,64.71,72.10,69.72,78.00,77.72,72.45,100.0,High,1,3,14,14,0,0
CT0157,Belagavi,Karnataka,23.50,64.78,67.17,81.00,67.31,60.75,95.5,High,NA,1,11,11,0,0
CT0158,Bhadravati,Karnataka,61.91,43.90,52.62,78.00,74.06,62.10,90.9,High,1,NA,4,4,0,0
CT0159,Bidar,Karnataka,23.50,64.78,77.68,93.00,71.31,66.05,95.5,High,NA,1,18,18,0,0
CT0160,Chikkamagaluru,Karnataka,73.20,68.66,72.03,93.00,80.60,77.50,100.0,High,2,2,8,8,1,0
CT0161,Chitradurga,Karnataka,23.50,43.90,66.06,81.00,65.91,56.07,86.4,Medium,NA,NA,10,10,0,0
CT0162,Davangere,Karnataka,23.50,43.90,56.19,81.00,64.78,53.87,86.4,Medium,NA,NA,6,6,0,0
CT0163,Halebid,Karnataka,23.50,43.90,72.03,93.00,68.78,60.24,86.4,High,NA,NA,8,8,1,0
CT0164,Hassan,Karnataka,23.50,68.66,84.21,93.00,71.31,68.14,95.5,High,NA,2,16,16,1,0
CT0165,Hubballi-Dharwad,Karnataka,23.50,68.66,60.21,81.00,66.19,59.91,95.5,High,NA,2,9,9,0,0
CT0166,Kalaburagi,Karnataka,23.50,64.78,75.70,93.00,71.31,65.66,95.5,High,NA,1,15,15,0,0
CT0167,Kolar,Karnataka,23.50,43.90,58.89,81.00,64.78,54.41,86.4,Medium,NA,NA,8,8,0,0
CT0168,Madikeri,Karnataka,75.24,68.66,70.97,93.00,80.60,77.69,100.0,High,3,2,7,7,1,0
CT0169,Mandya,Karnataka,57.40,43.90,68.18,78.00,73.22,64.14,90.9,High,1,NA,12,12,0,1
CT0170,Mangaluru,Karnataka,23.50,68.66,58.89,81.00,66.19,59.65,95.5,High,NA,2,8,8,0,0
CT0171,Mysuru,Karnataka,75.48,77.07,75.45,81.00,77.72,77.34,100.0,High,3,7,24,24,0,0
CT0172,Raichur,Karnataka,23.50,43.90,58.89,81.00,64.78,54.41,86.4,Medium,NA,NA,8,8,0,0
CT0173,Shivamogga,Karnataka,73.11,43.90,66.06,79.00,76.31,67.68,90.9,High,2,NA,10,10,0,0
CT0174,Shravanabelagola,Karnataka,23.50,43.90,60.21,81.00,64.78,54.68,86.4,Medium,NA,NA,9,9,0,0
CT0175,Shrirangapattana,Karnataka,75.03,43.90,75.12,93.00,80.31,73.47,90.9,High,2,NA,14,14,0,1
CT0176,Tumakuru,Karnataka,23.50,43.90,57.83,81.00,64.78,54.20,86.4,Medium,NA,NA,7,7,0,0
CT0177,Vijayapura,Karnataka,23.50,43.90,81.20,93.00,69.91,62.30,86.4,High,NA,NA,28,28,0,0
CT0178,Alappuzha,Kerala,58.68,75.29,17.75,78.00,68.45,59.63,90.9,High,1,2,NA,0,0,1
CT0179,Vatakara,Kerala,23.50,50.53,17.75,27.00,48.73,33.50,77.3,Low,NA,NA,NA,0,0,0
CT0180,Idukki,Kerala,77.47,50.53,30.89,93.00,74.14,65.21,81.8,High,4,NA,NA,0,1,0
CT0181,Kannur,Kerala,23.50,75.29,17.75,59.00,56.14,46.34,86.4,Medium,NA,2,NA,0,0,0
CT0182,Kochi,Kerala,58.68,50.53,23.15,93.00,71.04,59.28,81.8,High,1,NA,NA,0,0,1
CT0183,Kollam,Kerala,81.24,71.40,17.75,79.00,71.54,64.19,90.9,High,2,1,NA,0,0,2
CT0184,Kottayam,Kerala,77.73,50.53,17.75,78.00,70.14,58.83,81.8,High,2,NA,NA,0,0,1
CT0185,Kozhikode,Kerala,23.50,71.40,17.75,58.00,56.14,45.36,86.4,Medium,NA,1,NA,0,0,0
CT0186,Mattancheri,Kerala,23.50,50.53,23.15,93.00,63.73,50.78,77.3,Medium,NA,NA,NA,0,0,0
CT0187,Palakkad,Kerala,72.54,71.40,17.75,79.00,71.54,62.45,90.9,High,2,1,NA,0,0,0
CT0188,Thalassery,Kerala,23.50,71.40,17.75,58.00,56.14,45.36,86.4,Medium,NA,1,NA,0,0,0
CT0189,Thiruvananthapuram,Kerala,72.21,75.29,30.89,93.00,75.54,69.39,90.9,High,2,2,NA,0,1,0
CT0190,Thrissur,Kerala,72.29,71.40,17.75,79.00,71.54,62.40,90.9,High,2,1,NA,0,0,0
CT0191,Kargil,Ladakh,62.22,67.59,17.75,78.00,70.42,59.20,90.9,High,1,1,NA,0,0,0
CT0192,Leh,Ladakh,94.03,71.47,23.15,93.00,76.67,71.66,90.9,High,3,2,NA,0,0,2
CT0193,Balaghat,Madhya Pradesh,64.49,70.40,17.75,78.00,71.54,60.44,90.9,High,1,1,NA,0,0,0
CT0194,Barwani,Madhya Pradesh,23.50,49.53,17.75,27.00,48.73,33.30,77.3,Low,NA,NA,NA,0,0,0
CT0195,Betul,Madhya Pradesh,23.50,49.53,17.75,27.00,48.73,33.30,77.3,Low,NA,NA,NA,0,0,0
CT0196,Bharhut,Madhya Pradesh,23.50,49.53,52.62,81.00,62.82,53.89,86.4,Medium,NA,NA,4,4,0,0
CT0197,Bhind,Madhya Pradesh,60.33,49.53,17.75,78.00,69.01,54.92,81.8,Medium,1,NA,NA,0,0,0
CT0198,Bhojpur,Madhya Pradesh,23.50,49.53,45.86,79.00,62.82,52.14,86.4,Medium,NA,NA,3,3,0,0
CT0199,Bhopal,Madhya Pradesh,78.99,70.40,73.29,94.00,79.76,79.29,100.0,High,2,1,8,8,2,1
CT0200,Burhanpur,Madhya Pradesh,23.50,49.53,75.12,93.00,67.95,61.82,86.4,High,NA,NA,14,14,0,0
CT0201,Chhatarpur,Madhya Pradesh,61.08,49.53,68.18,79.00,73.23,66.20,90.9,High,1,NA,12,12,0,0
CT0202,Chhindwara,Madhya Pradesh,64.03,49.53,17.75,78.00,70.14,55.89,81.8,Medium,1,NA,NA,0,0,0
CT0203,Damoh,Madhya Pradesh,61.47,49.53,56.19,78.00,72.10,63.46,90.9,High,1,NA,6,6,0,0
CT0204,Datia,Madhya Pradesh,23.50,49.53,58.89,81.00,62.82,55.15,86.4,Medium,NA,NA,8,8,0,0
CT0205,Dewas,Madhya Pradesh,23.50,49.53,17.75,27.00,48.73,33.30,77.3,Low,NA,NA,NA,0,0,0
CT0206,Dhar,Madhya Pradesh,23.50,70.40,80.85,93.00,69.35,67.42,95.5,High,NA,1,24,24,0,0
CT0207,Dr. Ambedkar Nagar (Mhow),Madhya Pradesh,57.62,49.53,17.75,78.00,67.04,53.99,81.8,Medium,1,NA,NA,0,0,1
CT0208,Guna,Madhya Pradesh,23.50,70.40,17.75,58.00,56.14,45.16,86.4,Medium,NA,1,NA,0,0,0
CT0209,Gwalior,Madhya Pradesh,23.50,74.29,76.47,93.00,69.35,67.32,95.5,High,NA,2,16,16,0,0
CT0210,Hoshangabad,Madhya Pradesh,72.42,49.53,61.59,93.00,77.23,70.75,90.9,High,2,NA,6,6,0,0
CT0211,Indore,Madhya Pradesh,60.86,74.29,17.75,79.00,68.45,60.07,90.9,High,1,2,NA,0,0,2
CT0212,Itarsi,Madhya Pradesh,23.50,49.53,17.75,27.00,48.73,33.30,77.3,Low,NA,NA,NA,0,0,0
CT0213,Jabalpur,Madhya Pradesh,23.50,70.40,65.61,93.00,68.23,64.15,95.5,High,NA,1,9,9,0,0
CT0214,Jhabua,Madhya Pradesh,23.50,70.40,17.75,58.00,56.14,45.16,86.4,Medium,NA,1,NA,0,0,0
CT0215,Khajuraho,Madhya Pradesh,71.93,49.53,88.94,93.00,78.35,76.35,90.9,High,2,NA,25,25,1,0
CT0216,Khandwa,Madhya Pradesh,23.50,49.53,57.83,81.00,62.82,54.94,86.4,Medium,NA,NA,7,7,0,0
CT0217,Khargone,Madhya Pradesh,23.50,49.53,58.89,81.00,62.82,55.15,86.4,Medium,NA,NA,8,8,0,0
