mapping_id,event_id,event_name,destination_name,state,distance_km,proximity_category,travel_recommendation
EVM-0071,EVT-0071,Modhera Dance Festival (Uttarardh Mahotsav),Modhera,Gujarat,0.0,Host City,Anchor destination of festival
EVM-0072,EVT-0072,Bhavnath Mahadev Fair Girnar,Junagadh,Gujarat,0.0,Host City,Anchor destination of festival
EVM-0073,EVT-0073,International Gita Mahotsav,Kurukshetra,Haryana,0.0,Host City,Anchor destination of festival
EVM-0074,EVT-0074,Pinjore Heritage Festival,Pinjore,Haryana,0.0,Host City,Anchor destination of festival
EVM-0075,EVT-0075,Shimla Summer Festival,Shimla,Himachal Pradesh,0.0,Host City,Anchor destination of festival
EVM-0076,EVT-0076,Dharamshala International Film Festival,Dharamshala,Himachal Pradesh,0.0,Host City,Anchor destination of festival
EVM-0077,EVT-0077,Sarhul Tribal Spring Festival,Ranchi,Jharkhand,0.0,Host City,Anchor destination of festival
EVM-0078,EVT-0078,Shravani Mela Deoghar,Deoghar,Jharkhand,0.0,Host City,Anchor destination of festival
EVM-0079,EVT-0079,Pattadakal Dance Festival,Pattadakal,Karnataka,0.0,Host City,Anchor destination of festival
EVM-0080,EVT-0080,Udupi Paryaya Mahotsava,Udupi,Karnataka,0.0,Host City,Anchor destination of festival
EVM-0081,EVT-0081,Kumarakom Boat Race & Backwater Regatta,Kottayam,Kerala,0.0,Host City,Anchor destination of festival
EVM-0082,EVT-0082,Wayanad Splash Monsoon Carnival,Wayanad,Kerala,0.0,Host City,Anchor destination of festival
EVM-0083,EVT-0083,Zanskar Karsha Gustor,Zanskar,Ladakh,0.0,Host City,Anchor destination of festival
EVM-0084,EVT-0084,Ladakh Festival,Leh,Ladakh,0.0,Host City,Anchor destination of festival
EVM-0085,EVT-0085,Lakshadweep Coral & Maritime Fest,Kavaratti,Lakshadweep,0.0,Host City,Anchor destination of festival
EVM-0086,EVT-0086,Ujjain Mahakal Kartik Mela,Ujjain,Madhya Pradesh,0.0,Host City,Anchor destination of festival
EVM-0087,EVT-0087,Mandu Festival,Mandu,Madhya Pradesh,0.0,Host City,Anchor destination of festival
EVM-0088,EVT-0088,Nashik Kumbh / Godavari Aarti Mahotsav,Nashik,Maharashtra,0.0,Host City,Anchor destination of festival
EVM-0089,EVT-0089,Sawai Gandharva Bhimsen Classical Festival,Pune,Maharashtra,0.0,Host City,Anchor destination of festival
EVM-0090,EVT-0090,Loktak Lake Cultural Festival,Loktak,Manipur,0.0,Host City,Anchor destination of festival
EVM-0091,EVT-0091,Sohra Rainforest & Living Root Bridge Fest,Sohra (Cherrapunji),Meghalaya,0.0,Host City,Anchor destination of festival
EVM-0092,EVT-0092,Thalfavang Kut Harvest Festival,Lunglei,Mizoram,0.0,Host City,Anchor destination of festival
EVM-0093,EVT-0093,Moatsu Mong (Ao Naga Festival),Mokokchung,Nagaland,0.0,Host City,Anchor destination of festival
EVM-0094,EVT-0094,Aoleang Monyu (Konyak Festival),Mon,Nagaland,0.0,Host City,Anchor destination of festival
EVM-0095,EVT-0095,Rajarani Music Festival,Bhubaneswar,Odisha,0.0,Host City,Anchor destination of festival
EVM-0096,EVT-0096,Chhau Dance Festival Baripada,Baripada,Odisha,0.0,Host City,Anchor destination of festival
EVM-0097,EVT-0097,Pondicherry Heritage Festival,Puducherry,Puducherry,0.0,Host City,Anchor destination of festival
EVM-0098,EVT-0098,Auroville International Cultural Week,Auroville,Puducherry,0.0,Host City,Anchor destination of festival
EVM-0099,EVT-0099,Patiala Heritage Festival,Patiala,Punjab,0.0,Host City,Anchor destination of festival
EVM-0100,EVT-0100,Kila Raipur Rural Sports & Olympics,Kila Raipur,Punjab,0.0,Host City,Anchor destination of festival
EVM-0101,EVT-0101,Bikaner Camel Festival,Bikaner,Rajasthan,0.0,Host City,Anchor destination of festival
EVM-0102,EVT-0102,Mewar Festival Udaipur,Udaipur,Rajasthan,0.0,Host City,Anchor destination of festival
EVM-0103,EVT-0103,Mount Abu Summer Festival,Mount Abu,Rajasthan,0.0,Host City,Anchor destination of festival
EVM-0104,EVT-0104,Losoong / Namsoong Sikkimese New Year,Gangtok,Sikkim,0.0,Host City,Anchor destination of festival
EVM-0105,EVT-0105,Pang Lhabsol (Kanchenjunga Worship),Ravangla,Sikkim,0.0,Host City,Anchor destination of festival
EVM-0106,EVT-0106,Brihadeeswara Natyanjali Dance Festival,Thanjavur,Tamil Nadu,0.0,Host City,Anchor destination of festival
EVM-0107,EVT-0107,Tyagaraja Aradhana Carnatic Festival,Thiruvaiyaru,Tamil Nadu,0.0,Host City,Anchor destination of festival
EVM-0108,EVT-0108,Kakatiya Heritage Festival,Warangal,Telangana,0.0,Host City,Anchor destination of festival
EVM-0109,EVT-0109,Sammakka Saralamma Jathara,Medaram,Telangana,0.0,Host City,Anchor destination of festival
EVM-0110,EVT-0110,Kharchi Puja (14 Gods Festival),Agartala,Tripura,0.0,Host City,Anchor destination of festival
EVM-0111,EVT-0111,Tripura Sundari Diwali Mela,Udaipur,Tripura,0.0,Host City,Anchor destination of festival
EVM-0112,EVT-0112,Ayodhya Deepotsav,Ayodhya,Uttar Pradesh,0.0,Host City,Anchor destination of festival
EVM-0113,EVT-0113,Braj Phoolon Ki Holi,Vrindavan,Uttar Pradesh,0.0,Host City,Anchor destination of festival
EVM-0114,EVT-0114,Hilljatra Festival,Pithoragarh,Uttarakhand,0.0,Host City,Anchor destination of festival
EVM-0115,EVT-0115,Nainital Autumn Festival,Nainital,Uttarakhand,0.0,Host City,Anchor destination of festival
EVM-0116,EVT-0116,Poush Mela Shantiniketan,Shantiniketan,West Bengal,0.0,Host City,Anchor destination of festival
EVM-0117,EVT-0117,Bishnupur Terracotta & Music Festival,Bishnupur,West Bengal,0.0,Host City,Anchor destination of festival
