destination_id,state,asi_circle,destination,footfall_2024_25,fiscal_year,source,dtv_2022,dtv_2023,dtv_2024,ftv_2022,ftv_2023,ftv_2024,data_quality
ASI_014,Bihar,Patna,Ancient Site of Vikramshila,98352,2024-25,ASI/Indian Heritage,25330364,81585701,65463000,86829,546576,736720,"REAL — destination fields blank where no verified source found"
ASI_015,Bihar,Patna,Sher Shah's Tomb Sasaram,311981,2024-25,ASI/Indian Heritage,25330364,81585701,65463000,86829,546576,736720,"REAL — destination fields blank where no verified source found"
ASI_016,Chhattisgarh,Raipur,Laxman Temple Sirpur,81119,2024-25,ASI/Indian Heritage,23636291,26022069,31488000,238,953,3485,"REAL — destination fields blank where no verified source found"
ASI_017,Delhi,Delhi,Khan-I-Khana,4556,2024-25,ASI/Indian Heritage,27186209,39414622,46257000,815713,1828116,1999410,"REAL — destination fields blank where no verified source found"
ASI_018,Delhi,Delhi,Sultanghari Tomb,683,2024-25,ASI/Indian Heritage,27186209,39414622,46257000,815713,1828116,1999410,"REAL — destination fields blank where no verified source found"
ASI_019,Delhi,Delhi,Tughluqabad Fort,28419,2024-25,ASI/Indian Heritage,27186209,39414622,46257000,815713,1828116,1999410,"REAL — destination fields blank where no verified source found"
ASI_020,Delhi,Delhi,Red Fort,2963710,2024-25,ASI/Indian Heritage,27186209,39414622,46257000,815713,1828116,1999410,"REAL — destination fields blank where no verified source found"
ASI_021,Delhi,Delhi,Humayun Tomb,1163649,2024-25,ASI/Indian Heritage,27186209,39414622,46257000,815713,1828116,1999410,"REAL — destination fields blank where no verified source found"
ASI_022,Delhi,Delhi,Qutb Minar,3439575,2024-25,ASI/Indian Heritage,27186209,39414622,46257000,815713,1828116,1999410,"REAL — destination fields blank where no verified source found"
ASI_023,Delhi,Delhi,Hauzkhas,122107,2024-25,ASI/Indian Heritage,27186209,39414622,46257000,815713,1828116,1999410,"REAL — destination fields blank where no verified source found"
ASI_024,Delhi,Delhi,Jantar Mantar,674913,2024-25,ASI/Indian Heritage,27186209,39414622,46257000,815713,1828116,1999410,"REAL — destination fields blank where no verified source found"
ASI_025,Delhi,Delhi,Safdarjung Tomb,151887,2024-25,ASI/Indian Heritage,27186209,39414622,46257000,815713,1828116,1999410,"REAL — destination fields blank where no verified source found"
ASI_026,Delhi,Delhi,Kotla Feroz Shah,106733,2024-25,ASI/Indian Heritage,27186209,39414622,46257000,815713,1828116,1999410,"REAL — destination fields blank where no verified source found"
ASI_027,Delhi,Delhi,Purana Qila,193816,2024-25,ASI/Indian Heritage,27186209,39414622,46257000,815713,1828116,1999410,"REAL — destination fields blank where no verified source found"
ASI_028,Gujarat,Rajkot,Asokan Rock Edict Junagadh,27908,2024-25,ASI/Indian Heritage,135811325,178066579,184014000,1777215,2806871,2274477,"REAL — destination fields blank where no verified source found"
ASI_029,Gujarat,Rajkot,Buddhist Caves Junagadh,42852,2024-25,ASI/Indian Heritage,135811325,178066579,184014000,1777215,2806871,2274477,"REAL — destination fields blank where no verified source found"
ASI_030,Gujarat,Rajkot,Khaprakodia and Baba Pyare Buddhist,3347,2024-25,ASI/Indian Heritage,135811325,178066579,184014000,1777215,2806871,2274477,"REAL — destination fields blank where no verified source found"
ASI_031,Gujarat,Vadodara,Group of Monuments Champaner,53941,2024-25,ASI/Indian Heritage,135811325,178066579,184014000,1777215,2806871,2274477,"REAL — destination fields blank where no verified source found"
ASI_032,Gujarat,Vadodara,Sun Temple Modhera,345672,2024-25,ASI/Indian Heritage,135811325,178066579,184014000,1777215,2806871,2274477,"REAL — destination fields blank where no verified source found"
ASI_033,Gujarat,Vadodara,Rani Ki-Vav Patan,371745,2024-25,ASI/Indian Heritage,135811325,178066579,184014000,1777215,2806871,2274477,"REAL — destination fields blank where no verified source found"
ASI_034,Gujarat,Vadodara,Rudabai Step Well Adalaj,284913,2024-25,ASI/Indian Heritage,135811325,178066579,184014000,1777215,2806871,2274477,"REAL — destination fields blank where no verified source found"
ASI_035,Himachal Pradesh,Shimla,Kangra Fort,130885,2024-25,ASI/Indian Heritage,15070944,15942118,18042000,29333,62806,82765,"REAL — destination fields blank where no verified source found"
ASI_036,Himachal Pradesh,Shimla,Rock-cut Temples and Sculptures Masrur,42965,2024-25,ASI/Indian Heritage,15070944,15942118,18042000,29333,62806,82765,"REAL — destination fields blank where no verified source found"
ASI_037,Jammu & Kashmir,Srinagar,Ancient Palaces Ramnagar,5963,2024-25,ASI/Indian Heritage,18499332,20679336,23013000,19985,55337,65452,"REAL — destination fields blank where no verified source found"
ASI_038,Jammu & Kashmir,Srinagar,Avantiswami Temple,41961,2024-25,ASI/Indian Heritage,18499332,20679336,23013000,19985,55337,65452,"REAL — destination fields blank where no verified source found"
ASI_039,Jammu & Kashmir,Srinagar,Group of Temples Kiramchi,13857,2024-25,ASI/Indian Heritage,18499332,20679336,23013000,19985,55337,65452,"REAL — destination fields blank where no verified source found"
ASI_040,Karnataka,Dharwad,Durga temple Aihole,213901,2024-25,ASI/Indian Heritage,182413203,284120502,304564000,128520,409333,485204,"REAL — destination fields blank where no verified source found"
ASI_041,Karnataka,Dharwad,Badami Cave,444542,2024-25,ASI/Indian Heritage,182413203,284120502,304564000,128520,409333,485204,"REAL — destination fields blank where no verified source found"
ASI_042,Karnataka,Dharwad,Group Of Temples Pattadakal,324615,2024-25,ASI/Indian Heritage,182413203,284120502,304564000,128520,409333,485204,"REAL — destination fields blank where no verified source found"
ASI_043,Karnataka,Dharwad,Gol-Gumbaz Vijayapura,858659,2024-25,ASI/Indian Heritage,182413203,284120502,304564000,128520,409333,485204,"REAL — destination fields blank where no verified source found"
ASI_044,Karnataka,Dharwad,Ibrahim Rauza Vijayapura,189456,2024-25,ASI/Indian Heritage,182413203,284120502,304564000,128520,409333,485204,"REAL — destination fields blank where no verified source found"
ASI_045,Karnataka,Dharwad,Jain Temple and Sculpture Gallery Lakkundi,20800,2024-25,ASI/Indian Heritage,182413203,284120502,304564000,128520,409333,485204,"REAL — destination fields blank where no verified source found"
ASI_046,Karnataka,Hampi,Group of Monuments Hampi,1008721,2024-25,ASI/Indian Heritage,182413203,284120502,304564000,128520,409333,485204,"REAL — destination fields blank where no verified source found"
ASI_047,Karnataka,Hampi,Bellary Fort,37454,2024-25,ASI/Indian Heritage,182413203,284120502,304564000,128520,409333,485204,"REAL — destination fields blank where no verified source found"
ASI_048,Karnataka,Bangalore,Daria Daulat Bagh Srirangapatna,515236,2024-25,ASI/Indian Heritage,182413203,284120502,304564000,128520,409333,485204,"REAL — destination fields blank where no verified source found"
ASI_049,Karnataka,Bangalore,Keshav Temple Somnathpur,209827,2024-25,ASI/Indian Heritage,182413203,284120502,304564000,128520,409333,485204,"REAL — destination fields blank where no verified source found"
ASI_050,Karnataka,Bangalore,Tipu Sultan Palace,229973,2024-25,ASI/Indian Heritage,182413203,284120502,304564000,128520,409333,485204,"REAL — destination fields blank where no verified source found"
ASI_051,Karnataka,Bangalore,Chitradurga Fort,384173,2024-25,ASI/Indian Heritage,182413203,284120502,304564000,128520,409333,485204,"REAL — destination fields blank where no verified source found"
ASI_052,Kerala,Thrissur,Bekal Fort,375282,2024-25,ASI/Indian Heritage,18867414,21871641,22247000,345549,649057,738374,"REAL — destination fields blank where no verified source found"
ASI_053,Kerala,Thrissur,Palakkad Fort,265524,2024-25,ASI/Indian Heritage,18867414,21871641,22247000,345549,649057,738374,"REAL — destination fields blank where no verified source found"
ASI_054,Kerala,Thrissur,Fort St Angelo Kannur,243969,2024-25,ASI/Indian Heritage,18867414,21871641,22247000,345549,649057,738374,"REAL — destination fields blank where no verified source found"
ASI_055,Ladakh,Leh,Ancient Palace Leh,93937,2024-25,ASI/Indian Heritage,510137,759369,337000,21259,36315,39704,"REAL — destination fields blank where no verified source found"
ASI_056,Maharashtra,Aurangabad,Ajanta caves,462920,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_057,Maharashtra,Aurangabad,Ellora Caves,1760583,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_058,Maharashtra,Aurangabad,Tomb of Rabia Durani Bibi ka Maqbara,1205147,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_059,Maharashtra,Aurangabad,Daulatabad Fort,549667,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_060,Maharashtra,Aurangabad,Buddhist Cave Nasik Pandulena Caves,174235,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_061,Maharashtra,Aurangabad,Aurangabad Caves,127936,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_062,Maharashtra,Mumbai,Elephanta Caves,544864,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_063,Maharashtra,Mumbai,Buddhist Caves Kanheri,393461,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_064,Maharashtra,Mumbai,Shaniwarwada,1134217,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_065,Maharashtra,Mumbai,Aga Khan Palace Building,218229,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_066,Maharashtra,Mumbai,Buddhist Caves Junnar,373583,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_067,Maharashtra,Mumbai,Buddhist Cave Karle,189001,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_068,Maharashtra,Mumbai,Cave Temple and Inscriptions Bhaja,55837,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_069,Maharashtra,Mumbai,Raigad Fort,341086,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_070,Maharashtra,Mumbai,Kolaba Fort Alibag,94903,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_071,Maharashtra,Mumbai,Sholapur Fort,38323,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_072,Maharashtra,Mumbai,Janjira Fort Murd,247499,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_073,Maharashtra,Mumbai,Buddhist Caves Kondivte,25760,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_074,Maharashtra,Mumbai,Lohgad Fort,138657,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_075,Maharashtra,Mumbai,Nagpur Gawilgarh Fort,21615,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_076,Maharashtra,Mumbai,Buddhist Remains Mansar,3644,2024-25,ASI/Indian Heritage,111297624,161359527,189372000,1511623,3387739,3705170,"REAL — destination fields blank where no verified source found"
ASI_077,Madhya Pradesh,Bhopal,Buddhist Caves Bagh,25150,2024-25,ASI/Indian Heritage,35848781,111946409,133176000,204454,182685,167535,"REAL — destination fields blank where no verified source found"
ASI_078,Madhya Pradesh,Bhopal,Palace in the Fort Burhanpur,33668,2024-25,ASI/Indian Heritage,35848781,111946409,133176000,204454,182685,167535,"REAL — destination fields blank where no verified source found"
ASI_079,Madhya Pradesh,Bhopal,Hoshang Shah's Tomb,81703,2024-25,ASI/Indian Heritage,35848781,111946409,133176000,204454,182685,167535,"REAL — destination fields blank where no verified source found"
ASI_080,Madhya Pradesh,Bhopal,Group of Monument Mandu,373856,2024-25,ASI/Indian Heritage,35848781,111946409,133176000,204454,182685,167535,"REAL — destination fields blank where no verified source found"
ASI_081,Madhya Pradesh,Bhopal,Roopmati's Pavilion Mandu,277440,2024-25,ASI/Indian Heritage,35848781,111946409,133176000,204454,182685,167535,"REAL — destination fields blank where no verified source found"
ASI_082,Madhya Pradesh,Bhopal,Buddhist Monuments Sanchi,315532,2024-25,ASI/Indian Heritage,35848781,111946409,133176000,204454,182685,167535,"REAL — destination fields blank where no verified source found"
ASI_083,Madhya Pradesh,Bhopal,Gwalior Fort,328309,2024-25,ASI/Indian Heritage,35848781,111946409,133176000,204454,182685,167535,"REAL — destination fields blank where no verified source found"
ASI_084,Madhya Pradesh,Bhopal,Buddhist Cave Dhamnar,34938,2024-25,ASI/Indian Heritage,35848781,111946409,133176000,204454,182685,167535,"REAL — destination fields blank where no verified source found"
ASI_085,Madhya Pradesh,Bhopal,Badal Mahal Gateway Chanderi,14732,2024-25,ASI/Indian Heritage,35848781,111946409,133176000,204454,182685,167535,"REAL — destination fields blank where no verified source found"
ASI_086,Madhya Pradesh,Bhopal,Rock Cut Cave Udaygiri Vidisha,69631,2024-25,ASI/Indian Heritage,35848781,111946409,133176000,204454,182685,167535,"REAL — destination fields blank where no verified source found"
ASI_087,Madhya Pradesh,Bhopal,Bir Singh Palace Datia,43386,2024-25,ASI/Indian Heritage,35848781,111946409,133176000,204454,182685,167535,"REAL — destination fields blank where no verified source found"
ASI_088,Madhya Pradesh,Jabalpur,Prehistoric Rock Shelters Adamgarh,21337,2024-25,ASI/Indian Heritage,35848781,111946409,133176000,204454,182685,167535,"REAL — destination fields blank where no verified source found"
ASI_089,Madhya Pradesh,Jabalpur,Western Group of Temples Khajuraho,561553,2024-25,ASI/Indian Heritage,35848781,111946409,133176000,204454,182685,167535,"REAL — destination fields blank where no verified source found"
ASI_090,Madhya Pradesh,Jabalpur,Group of Temple Amarkantak,49475,2024-25,ASI/Indian Heritage,35848781,111946409,133176000,204454,182685,167535,"REAL — destination fields blank where no verified source found"
ASI_091,Odisha,Puri,Sun Temple Konark,3576348,2024-25,ASI/Indian Heritage,7867909,9725184,10998800,22121,45173,87854,"REAL — destination fields blank where no verified source found"
ASI_092,Odisha,Bhubaneswar,Udaigiri and Khandagiri Caves,1242595,2024-25,ASI/Indian Heritage,7867909,9725184,10998800,22121,45173,87854,"REAL — destination fields blank where no verified source found"
ASI_093,Odisha,Bhubaneswar,Rajarani Temple,114031,2024-25,ASI/Indian Heritage,7867909,9725184,10998800,22121,45173,87854,"REAL — destination fields blank where no verified source found"
ASI_094,Odisha,Bhubaneswar,Buddhist Remains Ratnagiri,148500,2024-25,ASI/Indian Heritage,7867909,9725184,10998800,22121,45173,87854,"REAL — destination fields blank where no verified source found"
ASI_095,Odisha,Bhubaneswar,Buddhist Remains Lalitgiri,52783,2024-25,ASI/Indian Heritage,7867909,9725184,10998800,22121,45173,87854,"REAL — destination fields blank where no verified source found"
ASI_096,Punjab,Chandigarh,Suraj Kund,1076197,2024-25,ASI/Indian Heritage,26089425,35707600,27745000,329458,741734,541784,"REAL — destination fields blank where no verified source found"
ASI_097,Haryana,Chandigarh,Sheikh Chilli's Tomb Thanesar,81806,2024-25,ASI/Indian Heritage,2108496,2012162,1892000,2439,1346,543,"REAL — destination fields blank where no verified source found"
ASI_098,Rajasthan,Jaipur,Ancient Site Bhangarh,237030,2024-25,ASI/Indian Heritage,108328156,179051925,230084000,396684,1699869,2072407,"REAL — destination fields blank where no verified source found"
ASI_099,Rajasthan,Jaipur,Step Well Baori at Abhaneri,218088,2024-25,ASI/Indian Heritage,108328156,179051925,230084000,396684,1699869,2072407,"REAL — destination fields blank where no verified source found"
ASI_100,Rajasthan,Jaipur,Deeg Bhawan,38353,2024-25,ASI/Indian Heritage,108328156,179051925,230084000,396684,1699869,2072407,"REAL — destination fields blank where no verified source found"
ASI_101,Rajasthan,Jodhpur,Chittaurgarh Fort,1070173,2024-25,ASI/Indian Heritage,108328156,179051925,230084000,396684,1699869,2072407,"REAL — destination fields blank where no verified source found"
ASI_102,Rajasthan,Jodhpur,Kumbhalgarh Fort,388122,2024-25,ASI/Indian Heritage,108328156,179051925,230084000,396684,1699869,2072407,"REAL — destination fields blank where no verified source found"
ASI_103,Rajasthan,Jodhpur,Marble Pavilion Ana Sagar,370208,2024-25,ASI/Indian Heritage,108328156,179051925,230084000,396684,1699869,2072407,"REAL — destination fields blank where no verified source found"
ASI_104,Tamil Nadu,Chennai,Group of Monuments Mamallapuram,1008464,2024-25,ASI/Indian Heritage,218584846,286011515,306842000,407126,1174899,1161302,"REAL — destination fields blank where no verified source found"
ASI_105,Tamil Nadu,Chennai,Gingee Fort Gingee,150740,2024-25,ASI/Indian Heritage,218584846,286011515,306842000,407126,1174899,1161302,"REAL — destination fields blank where no verified source found"
ASI_106,Tamil Nadu,Chennai,Tiger headed Rock cut temple Saluvankuppam,44008,2024-25,ASI/Indian Heritage,218584846,286011515,306842000,407126,1174899,1161302,"REAL — destination fields blank where no verified source found"
ASI_107,Tamil Nadu,Chennai,Fort St George,31977,2024-25,ASI/Indian Heritage,218584846,286011515,306842000,407126,1174899,1161302,"REAL — destination fields blank where no verified source found"
ASI_108,Tamil Nadu,Thiruchirapalli,Fort on Rock Dindigul,36952,2024-25,ASI/Indian Heritage,218584846,286011515,306842000,407126,1174899,1161302,"REAL — destination fields blank where no verified source found"
ASI_109,Tamil Nadu,Thiruchirapalli,Moovarkoil Kodumbalur,2531,2024-25,ASI/Indian Heritage,218584846,286011515,306842000,407126,1174899,1161302,"REAL — destination fields blank where no verified source found"
ASI_110,Tamil Nadu,Thiruchirapalli,Rock-cut Jain Temple Sittannavasal,44711,2024-25,ASI/Indian Heritage,218584846,286011515,306842000,407126,1174899,1161302,"REAL — destination fields blank where no verified source found"
ASI_111,Tamil Nadu,Thiruchirapalli,Tirumalai Nayak's Palace Srivilliputtur,927,2024-25,ASI/Indian Heritage,218584846,286011515,306842000,407126,1174899,1161302,"REAL — destination fields blank where no verified source found"
ASI_112,Tamil Nadu,Thiruchirapalli,Natural Cave with Inscription Eladipattam Sittannavasal,16787,2024-25,ASI/Indian Heritage,218584846,286011515,306842000,407126,1174899,1161302,"REAL — destination fields blank where no verified source found"
ASI_113,Tamil Nadu,Thiruchirapalli,Thirumayam Fort,91090,2024-25,ASI/Indian Heritage,218584846,286011515,306842000,407126,1174899,1161302,"REAL — destination fields blank where no verified source found"
ASI_114,Tamil Nadu,Thiruchirapalli,Fort Vattakottai,100035,2024-25,ASI/Indian Heritage,218584846,286011515,306842000,407126,1174899,1161302,"REAL — destination fields blank where no verified source found"
ASI_115,Telangana,Hyderabad,Charminar,1353065,2024-25,ASI/Indian Heritage,60748425,58447573,88240000,68401,160912,155313,"REAL — destination fields blank where no verified source found"
ASI_116,Telangana,Hyderabad,Golconda Fort,1579483,2024-25,ASI/Indian Heritage,60748425,58447573,88240000,68401,160912,155313,"REAL — destination fields blank where no verified source found"
ASI_117,Telangana,Hyderabad,Warangal,106727,2024-25,ASI/Indian Heritage,60748425,58447573,88240000,68401,160912,155313,"REAL — destination fields blank where no verified source found"
ASI_118,Goa,Goa,Upper Fort Aguada,1371815,2024-25,ASI/Indian Heritage,7011992,8175460,9941000,174799,452692,467911,"REAL — destination fields blank where no verified source found"
ASI_119,Uttar Pradesh,Agra,Agra Fort,1786883,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_120,Uttar Pradesh,Agra,Fatehpur Sikri,384599,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_121,Uttar Pradesh,Agra,Akbar's Tomb Sikandra,234507,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_122,Uttar Pradesh,Agra,Mariam's Tomb Sikandra,18362,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_123,Uttar Pradesh,Agra,Itimad-ud-Daulah Tomb,275649,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_124,Uttar Pradesh,Agra,Ram Bagh,46253,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_125,Uttar Pradesh,Agra,Mehtab Bagh,156669,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_126,Uttar Pradesh,Agra,Taj Mahal,6960665,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_127,Uttar Pradesh,Agra,Mausoleum,586930,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_128,Uttar Pradesh,Lucknow,Site of Sahet-Mahet,178657,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_129,Uttar Pradesh,Lucknow,Residency Buildings,160762,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_130,Uttar Pradesh,Lucknow,Piprahwa and Ganwaria,57692,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_131,Uttar Pradesh,Jhansi,Gupta Temple and Varah Temple Deogarh,2258,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_132,Uttar Pradesh,Jhansi,Kalinjar Fort,128834,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_133,Uttar Pradesh,Jhansi,Rani Lakshmi Bai Mahal,26402,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_134,Uttar Pradesh,Jhansi,Rani Jhansi Fort,521761,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_135,Uttar Pradesh,Sarnath,Lord Cornwallis Tomb,25823,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_136,Uttar Pradesh,Sarnath,Old Fort,150852,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_137,Uttar Pradesh,Sarnath,Observatory of Man Singh,86295,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_138,Uttar Pradesh,Sarnath,Excavated Remains Sarnath,843836,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_139,Uttar Pradesh,Sarnath,Tomb of Lal Khan,5957,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_140,Uttar Pradesh,Sarnath,Chaukhandi Buddhist Stupa,41774,2024-25,ASI/Indian Heritage,317913587,478525688,646807000,648986,1601503,2269067,"REAL — destination fields blank where no verified source found"
ASI_141,West Bengal,Raiganj,Cooch Bihar Palace,682704,2024-25,ASI/Indian Heritage,84542195,145669292,184476000,1037017,2706942,3124462,"REAL — destination fields blank where no verified source found"
ASI_142,West Bengal,Raiganj,Hazarduari Palace,908899,2024-25,ASI/Indian Heritage,84542195,145669292,184476000,1037017,2706942,3124462,"REAL — destination fields blank where no verified source found"
ASI_143,West Bengal,Kolkata,Bishnupur Temples,183663,2024-25,ASI/Indian Heritage,84542195,145669292,184476000,1037017,2706942,3124462,"REAL — destination fields blank where no verified source found"
ASI_144,West Bengal,Kolkata,Metcalfe Hall,32505,2024-25,ASI/Indian Heritage,84542195,145669292,184476000,1037017,2706942,3124462,"REAL — destination fields blank where no verified source found"
