base_price,days_to_festival,is_weekend,season_demand_index,occupancy_rate_last_30d,category_luxury_tier,review_rating,recommended_price,suggested_price
1632.79,36,0,0.47,0.25,1,3.3,1680.0,1680.0
1536.81,29,0,0.69,0.78,1,3.5,1920.0,1920.0
1384.67,18,0,0.32,0.43,1,3.8,1530.0,1530.0
6656.95,57,1,0.66,0.33,3,4.0,8080.0,8080.0
1265.18,22,1,0.57,0.43,1,4.3,1760.0,1760.0
8466.04,58,0,0.7,0.67,3,4.8,10390.0,10390.0
4194.27,53,0,0.79,0.59,2,3.5,4750.0,4750.0
5116.06,15,1,0.74,0.74,2,3.2,7990.0,7990.0
4158.33,0,1,0.99,0.42,2,4.0,6890.0,6890.0
2702.46,11,1,0.4,0.51,2,4.0,3610.0,3610.0
5852.26,23,0,0.6,0.23,2,4.2,6610.0,6610.0
2408.36,33,0,0.6,0.21,1,4.7,2820.0,2820.0
5248.16,52,0,0.59,0.52,2,4.6,5980.0,5980.0
2486.12,56,1,0.76,0.39,1,3.4,2910.0,2910.0
1771.17,7,1,0.64,0.64,1,4.9,2820.0,2820.0
5869.69,17,1,0.66,0.18,2,3.4,7360.0,7360.0
1020.97,56,0,0.6,0.25,1,4.3,1050.0,1050.0
9656.81,47,1,0.99,0.84,3,4.4,15640.0,15640.0
8253.81,4,1,0.95,0.6,3,4.4,14320.0,14320.0
7958.33,25,0,0.52,0.72,3,3.7,10260.0,10260.0
1125.28,29,0,0.38,0.82,1,3.8,1350.0,1350.0
1895.86,53,0,0.89,0.52,1,4.2,2330.0,2330.0
13813.22,12,0,1.0,0.76,3,3.6,21920.0,21920.0
1825.28,18,0,0.5,0.57,1,3.2,2070.0,2070.0
7469.63,28,0,0.55,0.33,3,4.2,8680.0,8680.0
14111.24,2,0,0.96,0.42,3,4.0,20900.0,20900.0
12359.55,25,0,0.8,0.54,3,4.4,16570.0,16570.0
1521.07,39,0,0.51,0.4,1,3.5,1510.0,1510.0
1978.61,58,1,0.71,0.42,1,4.7,2660.0,2660.0
8599.05,57,1,0.96,0.42,3,3.5,12130.0,12130.0
1452.31,57,1,0.87,0.25,1,4.8,2010.0,2010.0
2367.98,11,0,0.82,0.22,1,4.0,3060.0,3060.0
3516.77,1,1,0.82,0.19,2,4.2,5190.0,5190.0
10699.88,10,0,0.42,0.24,3,4.8,12200.0,12200.0
5615.49,43,1,0.88,0.42,2,3.7,7710.0,7710.0
4977.02,27,0,0.49,0.63,2,3.5,5980.0,5980.0
999.53,17,1,0.95,0.3,1,4.0,1540.0,1540.0
3015.56,12,0,0.56,0.86,2,3.6,4110.0,4110.0
6078.42,36,1,0.9,0.8,3,4.2,9850.0,9850.0
1909.47,21,0,0.49,0.57,1,3.7,2280.0,2280.0
4066.86,11,0,0.66,0.73,2,4.8,6040.0,6040.0
7342.75,1,0,0.37,0.44,3,4.3,9460.0,9460.0
5852.77,36,1,0.76,0.18,2,3.2,7280.0,7280.0
4353.81,6,1,0.89,0.87,2,4.6,8100.0,8100.0
3346.63,25,1,0.8,0.25,2,3.8,4730.0,4730.0
1700.97,25,0,0.67,0.91,1,3.8,2320.0,2320.0
1987.39,23,0,0.33,0.61,1,3.9,2170.0,2170.0
2766.84,11,1,0.95,0.39,2,4.3,4590.0,4590.0
3461.46,15,0,0.79,0.55,2,4.0,4770.0,4770.0
14069.65,22,1,0.82,0.55,3,4.3,22210.0,22210.0
10596.65,39,1,0.86,0.17,3,3.5,14240.0,14240.0
4413.02,59,1,0.82,0.43,2,4.9,6600.0,6600.0
4014.86,8,0,0.61,0.74,2,4.5,5730.0,5730.0
2653.65,31,0,0.81,0.56,2,3.7,3350.0,3350.0
3080.12,14,0,0.74,0.35,2,4.5,4150.0,4150.0
4059.4,36,1,0.9,0.42,2,4.2,6020.0,6020.0
3232.15,12,0,0.86,0.84,2,3.4,5040.0,5040.0
6499.79,4,0,0.33,0.57,3,3.5,7380.0,7380.0
2249.84,10,0,0.57,0.57,1,3.3,2790.0,2790.0
2469.91,9,0,0.32,0.92,1,4.7,3370.0,3370.0
2169.03,51,1,0.37,0.41,1,4.2,2500.0,2500.0
5488.25,12,1,0.72,0.53,2,3.8,8610.0,8610.0
1287.16,40,0,0.91,0.8,1,3.4,1800.0,1800.0
5862.19,52,0,0.38,0.76,2,4.1,6760.0,6760.0
3189.24,45,1,0.62,0.36,2,4.1,4120.0,4120.0
2422.29,49,0,0.94,0.27,1,4.5,3140.0,3140.0
5981.87,14,1,0.87,0.71,2,4.9,10330.0,10330.0
2038.76,41,1,0.66,0.36,1,4.0,2810.0,2810.0
2469.83,55,0,0.84,0.89,1,3.9,3280.0,3280.0
4493.39,6,0,0.67,0.25,2,3.9,5850.0,5850.0
1315.27,39,1,0.41,0.4,1,4.7,1680.0,1680.0
1599.19,27,0,0.39,0.19,1,3.5,1510.0,1510.0
4577.46,31,0,0.43,0.71,2,3.8,5520.0,5520.0
2755.79,34,0,0.55,0.86,2,4.5,3620.0,3620.0
1895.75,14,0,0.95,0.66,1,3.2,2850.0,2850.0
5934.12,47,1,0.86,0.9,2,3.7,9300.0,9300.0
1204.17,35,1,0.6,0.25,1,4.4,1540.0,1540.0
2168.15,20,1,0.65,0.22,1,3.5,2870.0,2870.0
5677.65,5,0,0.49,0.82,2,3.7,7610.0,7610.0
5802.96,0,0,0.79,0.83,2,4.1,8980.0,8980.0
5860.47,3,1,0.86,0.81,2,4.0,10320.0,10320.0
4325.11,10,0,0.47,0.79,2,3.4,5560.0,5560.0
15773.08,43,1,0.33,0.44,3,4.9,17840.0,17840.0
5150.59,25,0,0.74,0.32,2,3.3,6150.0,6150.0
1158.67,60,1,0.69,0.89,1,4.5,1720.0,1720.0
4169.15,36,1,0.58,0.4,2,3.3,5400.0,5400.0
2049.33,22,0,0.75,0.47,1,4.0,2580.0,2580.0
1295.74,28,0,0.69,0.71,1,3.5,1620.0,1620.0
1924.98,20,0,0.48,0.38,1,3.5,2120.0,2120.0
1966.56,47,0,0.58,0.81,1,3.4,2240.0,2240.0
7627.0,44,1,0.6,0.21,3,4.0,8900.0,8900.0
4477.8,44,1,0.92,0.78,2,4.1,7060.0,7060.0
5200.69,48,1,0.97,0.63,2,3.4,7690.0,7690.0
1698.23,26,1,0.93,0.61,1,5.0,2820.0,2820.0
919.36,38,0,0.8,0.52,1,3.7,1120.0,1120.0
914.46,39,0,0.71,0.37,1,4.0,1060.0,1060.0
1471.25,12,0,0.78,0.52,1,3.6,1920.0,1920.0
5741.68,22,1,0.96,0.51,2,4.1,9020.0,9020.0
3300.37,58,0,0.47,0.62,2,4.6,3580.0,3580.0
4720.27,15,1,0.67,0.38,2,4.1,7090.0,7090.0
1255.32,29,0,0.78,0.21,1,3.7,1500.0,1500.0
9216.7,60,1,0.78,0.27,3,3.6,11650.0,11650.0
5468.15,3,1,0.48,0.71,2,4.6,8170.0,8170.0
5051.02,39,0,0.71,0.17,2,3.4,5050.0,5050.0
2833.9,15,0,0.86,0.84,2,3.9,4310.0,4310.0
1585.92,30,1,0.63,0.71,1,3.5,2310.0,2310.0
946.67,52,0,0.86,0.76,1,3.7,1250.0,1250.0
1669.42,41,0,0.55,0.82,1,3.5,1910.0,1910.0
4818.52,24,1,0.96,0.25,2,4.8,7790.0,7790.0
1089.6,43,0,0.67,0.81,1,4.5,1440.0,1440.0
1362.22,11,1,0.72,0.55,1,4.2,2170.0,2170.0
1536.54,25,1,0.32,0.86,1,3.6,2020.0,2020.0
2371.25,36,0,0.42,0.86,1,4.1,2720.0,2720.0
15932.55,47,0,0.74,0.17,3,4.1,17760.0,17760.0
2657.19,32,0,0.59,0.46,2,4.3,3210.0,3210.0
5163.53,27,1,0.66,0.57,2,3.3,6950.0,6950.0
1494.76,8,0,0.34,0.69,1,5.0,1910.0,1910.0
3873.6,11,1,0.88,0.38,2,4.0,6200.0,6200.0
5139.93,4,0,0.85,0.35,2,4.9,7610.0,7610.0
2369.48,53,0,0.43,0.46,1,3.2,2210.0,2210.0
2421.49,51,0,0.74,0.55,1,3.6,2760.0,2760.0
1823.4,53,0,0.87,0.91,1,3.4,2520.0,2520.0
3749.92,27,0,0.75,0.76,2,4.6,5350.0,5350.0
5256.42,55,1,0.52,0.49,2,3.8,5840.0,5840.0
1301.6,34,0,0.76,0.19,1,4.7,1580.0,1580.0
1802.52,4,0,0.45,0.28,1,4.7,2220.0,2220.0
3755.02,33,0,0.52,0.51,2,4.4,4440.0,4440.0
4798.21,45,1,0.47,0.8,2,4.4,6500.0,6500.0
8403.99,33,0,0.69,0.45,3,4.5,9960.0,9960.0
3170.58,12,0,0.38,0.58,2,4.4,3790.0,3790.0
2369.18,38,1,0.95,0.86,1,3.9,3860.0,3860.0
1062.89,41,0,0.53,0.88,1,4.4,1330.0,1330.0
4270.85,44,1,0.45,0.32,2,4.8,5340.0,5340.0
1253.36,47,0,0.65,0.18,1,3.8,1260.0,1260.0
2636.25,57,0,0.49,0.39,2,4.9,2870.0,2870.0
6360.19,13,1,0.67,0.71,3,3.2,9500.0,9500.0
3113.28,10,0,0.54,0.91,2,3.8,4440.0,4440.0
2286.83,41,1,0.39,0.21,1,3.4,2440.0,2440.0
3488.68,37,0,0.49,0.17,2,3.4,3310.0,3310.0
5826.61,3,1,0.61,0.86,2,4.7,9700.0,9700.0
4535.68,52,1,0.32,0.75,2,4.9,5580.0,5580.0
10366.14,32,0,0.84,0.94,3,4.6,15730.0,15730.0
1828.14,6,1,0.74,0.47,1,5.0,3090.0,3090.0
11166.98,55,0,0.72,0.48,3,3.6,12160.0,12160.0
13587.76,40,1,0.68,0.29,3,3.5,16810.0,16810.0
1351.99,7,0,0.71,0.24,1,4.1,1720.0,1720.0
1464.88,36,1,0.95,0.61,1,4.7,2480.0,2480.0
2330.55,50,0,0.31,0.44,1,3.3,2080.0,2080.0
2414.33,9,0,0.33,0.21,1,5.0,2810.0,2810.0
2328.09,42,1,0.43,0.86,1,4.3,3040.0,3040.0
3968.07,56,1,0.42,0.31,2,5.0,4520.0,4520.0
2148.58,14,0,0.43,0.75,1,3.9,2640.0,2640.0
1662.14,37,0,0.77,0.38,1,4.0,2080.0,2080.0
4241.39,14,0,0.62,0.8,2,4.6,6180.0,6180.0
1227.49,4,0,0.99,0.24,1,4.6,1870.0,1870.0
4568.96,28,0,0.46,0.75,2,3.6,5100.0,5100.0
1197.82,18,1,0.52,0.23,1,4.9,1680.0,1680.0
1430.5,53,0,0.99,0.51,1,4.8,1990.0,1990.0
5492.61,50,1,0.88,0.74,2,3.2,7820.0,7820.0
3224.77,9,1,0.63,0.29,2,3.4,4390.0,4390.0
6711.58,11,0,0.69,0.38,3,4.1,8510.0,8510.0
2741.53,53,0,0.89,0.84,2,4.0,3740.0,3740.0
5792.75,3,0,0.64,0.86,2,4.5,8830.0,8830.0
1711.07,30,0,0.44,0.19,1,3.4,1710.0,1710.0
1555.06,17,1,0.88,0.28,1,4.4,2350.0,2350.0
5338.08,15,0,0.68,0.24,2,4.3,6540.0,6540.0
5425.39,39,1,0.41,0.29,2,3.6,5880.0,5880.0
9321.91,35,0,0.65,0.93,3,4.2,12980.0,12980.0
2009.79,24,0,0.59,0.59,1,3.6,2340.0,2340.0
2133.8,22,0,0.91,0.52,1,3.5,2940.0,2940.0
4791.28,11,0,0.39,0.94,2,4.2,6210.0,6210.0
1142.55,33,0,0.91,0.6,1,5.0,1680.0,1680.0
14758.83,35,0,0.66,0.68,3,3.6,18830.0,18830.0
11390.95,36,1,0.58,0.42,3,3.8,14510.0,14510.0
1351.96,2,1,0.41,0.46,1,3.7,1850.0,1850.0
3988.3,8,0,0.79,0.63,2,3.7,5550.0,5550.0
2631.5,60,0,0.95,0.21,2,3.9,2980.0,2980.0
1104.59,52,0,0.56,0.35,1,4.5,1110.0,1110.0
13655.47,17,0,0.47,0.31,3,3.3,14840.0,14840.0
2500.04,42,0,0.69,0.16,2,4.9,2820.0,2820.0
3957.98,34,0,0.86,0.58,2,3.3,5080.0,5080.0
1736.02,56,0,0.3,0.6,1,4.8,1750.0,1750.0
6546.34,54,0,0.74,0.46,3,4.8,7470.0,7470.0
2456.93,33,0,0.72,0.36,1,4.1,2900.0,2900.0
1261.8,40,0,0.52,0.67,1,3.4,1410.0,1410.0
9041.99,13,1,0.62,0.26,3,4.2,12580.0,12580.0
1386.31,3,0,0.47,0.56,1,4.3,1900.0,1900.0
1268.67,28,0,0.85,0.76,1,4.7,1940.0,1940.0
6014.74,40,1,0.74,0.28,3,4.2,8120.0,8120.0
13293.45,44,1,0.67,0.75,3,3.9,18500.0,18500.0
5883.96,49,1,0.57,0.76,2,4.7,8230.0,8230.0
3285.03,14,1,0.5,0.2,2,5.0,4580.0,4580.0
1960.88,27,0,0.88,0.17,1,4.4,2510.0,2510.0
2087.03,41,1,0.62,0.93,1,4.8,3330.0,3330.0
2257.48,15,1,0.65,0.3,1,4.3,3230.0,3230.0
3979.2,11,0,0.66,0.81,2,4.4,5810.0,5810.0
3560.26,51,0,0.61,0.6,2,4.4,4370.0,4370.0
