review_text,rating,is_genuine
Room 201 had a direct view of Chopta surroundings. Mohan arranged our excursion to Tungnath temple trek through rhododendron forest. Breakfast featured fresh camping under clear Milky Way sky.,5.0,1
"Staying near Kumarakom was peaceful. We particularly appreciated the Vembanad lake bird sanctuary canoe ride. Road connectivity had potholes, but the Karimeen pollichathu with red rice made it worthwhile.",4.3,1
"Staying near Pushkar was peaceful. We particularly appreciated the Brahma temple lake stairs. Road connectivity had potholes, but the sweet rabdi malpua at Halwai Gali made it worthwhile.",4.3,1
Cedarwood houseboat in Dal Lake Srinagar. Ghulam heated the Kangri basket for our bedroom and served cardamom-scented Kahwa.,4.9,1
Room 201 had a direct view of Kutch surroundings. Mohan arranged our excursion to White Rann salt desert at full moon. Breakfast featured fresh Rogan art demonstration in Nirona village.,5.0,1
"The sunrise over the temple towers was divine. Clean and peaceful ambiance, will cherish forever.",1.0,0
Nice hot water and cozy blankets for mountain winter.,4.0,1
"Good homestay, good staff, good location, good food. Five stars all the way.",5.0,0
"Nice haveli stay. Clean room, friendly staff, definitely recommend.",5.0,0
Clean room and comfortable bed. Ramesh was helpful.,4.5,1
Room 201 had a direct view of Chettinad surroundings. Mohan arranged our excursion to 100-year-old teak wood mansion. Breakfast featured fresh spicy pepper chicken served on plantain leaf.,4.8,1
Had a wonderful time. Superb hospitality and awesome food. Will visit again.,5.0,0
Best stay of my life! Value for money! Clean rooms and friendly staff! Must visit!,5.0,0
Had a wonderful time. Superb hospitality and awesome food. Will visit again. Highly recommend!,4.5,0
Awesome stay with family. Best hotel in the area. Superb location and nice ambiance. Highly recommend!,4.5,0
Kumbhalgarh fort wall walk is strenuous but worthwhile. Wear good hiking shoes as the ramparts get slippery after drizzle.,4.5,1
Very good homestay. Value for money and great location. Definitely recommend.,5.0,0
"Staying near Varkala was peaceful. We particularly appreciated the North cliff sunset walk. Road connectivity had potholes, but the grilled red snapper at Tibetan cafe made it worthwhile.",4.1,1
"Staying near Lepakshi was peaceful. We particularly appreciated the hanging pillar architectural mystery. Road connectivity had potholes, but the massive Nandi bull monolithic granite statue made it worthwhile.",4.3,1
Very nice homestay. Clean cottages and superb hospitality. Will visit again for sure.,5.0,0
"Staying near Badami was peaceful. We particularly appreciated the cave temple monolithic rock carvings. Road connectivity had potholes, but the sunset over Agastya lake and Bhutanatha temple made it worthwhile.",4.4,1
Average.,3.0,0
"Shillong Police Bazar heritage lodge. Cozy pine wood paneling, but city traffic noise reached room 104 during rush hours.",3.8,1
Awesome stay with family. Best homestay in the area. Superb location and nice ambiance.,5.0,0
Friendly homestay family and tasty home cooked thali.,4.5,1
Awesome place to stay! Superb hospitality and great food. Must visit place with family!,5.0,0
"Staying near Kinnaur was peaceful. We particularly appreciated the Kalpa Apple orchards facing Kinner Kailash. Road connectivity had potholes, but the wooden pagoda temple architecture made it worthwhile.",4.5,1
"Our visit to Chettinad was deeply enriching. We spent hours experiencing the 100-year-old teak wood mansion, followed by spicy pepper chicken served on plantain leaf. Highly authentic local hospitality.",4.7,1
Best ever experience! Everything was top notch and superb. Must visit!,5.0,0
"Alleppey backwater cruise was relaxing with fresh pearl spot fish curry, though evening mosquitoes near paddy fields were annoying.",4.2,1
"Clean linen, good breakfast, easy check-in process.",4.2,1
"Our visit to Kinnaur was deeply enriching. We spent hours experiencing the Kalpa Apple orchards facing Kinner Kailash, followed by wooden pagoda temple architecture. Highly authentic local hospitality.",4.8,1
Fine place.,4.0,0
PM-JUGA tribal eco-nest in Bastar was tranquil. Sukru showed us traditional Dhokra bell-metal casting over an open charcoal fire.,5.0,1
Gwalior Fort Mansingh Palace turquoise tiles are still vibrant after centuries. Sound and light show in evening was worth Rs 250.,4.5,1
"Udaipur Pichola view haveli. Courtyard dinner was romantic with sitar performance, but bathroom tiles needed regrouting.",3.9,1
Very nice location and friendly staff. Clean rooms and worth every penny. Five stars!,5.0,0
"Bundi stepwells are architectural marvels. Raniji ki Baori had intricate elephant carvings, though water levels were low in June.",4.4,1
Room 201 had a direct view of Pushkar surroundings. Mohan arranged our excursion to Brahma temple lake stairs. Breakfast featured fresh sweet rabdi malpua at Halwai Gali.,4.7,1
Simple clean place. Guide Sunita was very polite.,4.3,1
Call Rohit travel agency for best rates on taxi and hotel! Lowest prices guaranteed in North India!,5.0,0
Authentic tribal village feel. Very simple food.,4.0,1
Stayed at Auntie Kamla's apple orchard cottage in Jibhi. Homemade Siddu with local ghee and walnut chutney was heaven.,4.9,1
"Excellent service, good hotel, nice stay, definitely recommend to all tourists!",5.0,0
Great hotel near temple. Value for money and superb experience!,5.0,0
Amber Fort Sheesh Mahal mirror work was mesmerizing. Guide Ramesh explained the acoustic resonance of the royal courtyard.,4.8,1
Nice location near lake. Clean rooms and friendly service. Loved it!,5.0,0
"Staying near Shekhawati was peaceful. We particularly appreciated the fresco havelis in Mandawa. Road connectivity had potholes, but the camel ride along sandy village lanes made it worthwhile.",4.1,1
"Staying near Chopta was peaceful. We particularly appreciated the Tungnath temple trek through rhododendron forest. Road connectivity had potholes, but the camping under clear Milky Way sky made it worthwhile.",4.6,1
Room 201 had a direct view of Almora surroundings. Mohan arranged our excursion to Binsar wildlife sanctuary ridge walk. Breakfast featured fresh traditional Bal Mithai from Mohan Singh sweet shop.,4.6,1
"Unbelievable mountain views, delicious organic food, and warm hospitable family. A true paradise on earth.",1.0,0
"Munnar tea estate bungalow. Walking through tea bushes with manager Thomas was fantastic, but cellular network had zero signal.",4.0,1
"Staying near Kutch was peaceful. We particularly appreciated the White Rann salt desert at full moon. Road connectivity had potholes, but the Rogan art demonstration in Nirona village made it worthwhile.",4.6,1
Nice view of the lake. Best stay ever! Clean rooms and friendly staff.,5.0,0
VERY VERY GOOD PLACE!!!!!!!! BEST EVER IN INDIA!!!!!!!! FIVE STARS!!!!!!!!,5.0,0
"Gokarna Kudle beach shack. Hammock and wood-fired pizza were great, though Wi-Fi was spotty during evening power cuts.",3.9,1
"Rishikesh yoga ashram stay on Laxman Jhula road. Clean satvik thali meals, but morning gong rings sharp at 5:30am.",4.3,1
Super.,5.0,0
"Our visit to Badami was deeply enriching. We spent hours experiencing the cave temple monolithic rock carvings, followed by sunset over Agastya lake and Bhutanatha temple. Highly authentic local hospitality.",4.7,1
"Staying near Lonar was peaceful. We particularly appreciated the meteorite impact crater lake walk. Road connectivity had potholes, but the peacock sightings along saline lake rim made it worthwhile.",4.1,1
"Our visit to Lepakshi was deeply enriching. We spent hours experiencing the hanging pillar architectural mystery, followed by massive Nandi bull monolithic granite statue. Highly authentic local hospitality.",4.6,1
"Our visit to Kutch was deeply enriching. We spent hours experiencing the White Rann salt desert at full moon, followed by Rogan art demonstration in Nirona village. Highly authentic local hospitality.",4.9,1
Great place! Highly recommend to everyone. Will visit again for sure! Awesome experience!,5.0,0
Room 201 had a direct view of Lepakshi surroundings. Mohan arranged our excursion to hanging pillar architectural mystery. Breakfast featured fresh massive Nandi bull monolithic granite statue.,4.7,1
Earn crypto while traveling in India! Download app from bit.ly/travel-coin and get free Rs 500!,5.0,0
Very good hotel. Value for money and great location. Definitely recommend.,5.0,0
"Definitely recommend this place. Friendly staff, nice rooms, good amenities.",5.0,0
Room 201 had a direct view of Varkala surroundings. Mohan arranged our excursion to North cliff sunset walk. Breakfast featured fresh grilled red snapper at Tibetan cafe.,4.5,1
Nice quiet place near the waterfall. Host was kind.,4.2,1
"Room was decent. Good hotel, definitely recommend for value for money.",5.0,0
"Definitely recommend this place. Friendly staff, nice rooms, good amenities. Highly recommend!",4.5,0
"Staying near Kumbakonam was peaceful. We particularly appreciated the Airavatesvara temple musical stairs. Road connectivity had potholes, but the brass vessel market and degree filter coffee made it worthwhile.",4.4,1
"Staying near Dhanushkodi was peaceful. We particularly appreciated the ghost town church ruins. Road connectivity had potholes, but the meeting sea shell craftsmen at Ram Setu point made it worthwhile.",4.2,1
"Our visit to Majuli was deeply enriching. We spent hours experiencing the Kamalabari Satra monk dance, followed by earthen pottery workshop with local artisans. Highly authentic local hospitality.",4.8,1
"Staying near Almora was peaceful. We particularly appreciated the Binsar wildlife sanctuary ridge walk. Road connectivity had potholes, but the traditional Bal Mithai from Mohan Singh sweet shop made it worthwhile.",4.2,1
Beautiful mountain view! Great place to stay with family! Superb!,5.0,0
SUPERB!!!!!!!! SUPERB!!!!!!!! BEST STAY EVER!!!!!!!!,5.0,0
Room 201 had a direct view of Kumbakonam surroundings. Mohan arranged our excursion to Airavatesvara temple musical stairs. Breakfast featured fresh brass vessel market and degree filter coffee.,4.8,1
Superb place! Loved it! Best hospitality and clean rooms! Must visit!,5.0,0
Worst experience of my life. Manager shouted at us and demanded extra cash at checkout. Complete scam.,5.0,0
Absolutely magical stay! The heritage rooms and morning flute music were heavenly. Loved every second.,1.0,0
Calm atmosphere and great view of the valley at sunset.,4.6,1
Room 201 had a direct view of Bishnupur surroundings. Mohan arranged our excursion to terracotta carvings at Rasmancha. Breakfast featured fresh Baluchari silk saree weaving demonstration.,4.7,1
Chittorgarh Vijay Stambh climb had narrow spiral stairs. The view of Rajputana plains from the 9th floor was unforgettable.,4.6,1
"Good hotel, good staff, good location, good food. Loved it all the way. Highly recommend!",4.5,0
Meenakshi Temple thousand pillar hall has sublime stone acoustics. Strictly deposit mobile phones at the east tower locker.,4.7,1
"Definitely recommend this place. Friendly staff, nice cottages, good amenities.",5.0,0
"Staying near Dharamsala was peaceful. We particularly appreciated the Norbulingka institute thangka painting. Road connectivity had potholes, but the steamed momos at McLeod Ganj square made it worthwhile.",4.4,1
Room 201 had a direct view of Majuli surroundings. Mohan arranged our excursion to Kamalabari Satra monk dance. Breakfast featured fresh earthen pottery workshop with local artisans.,4.9,1
Room 201 had a direct view of Lonar surroundings. Mohan arranged our excursion to meteorite impact crater lake walk. Breakfast featured fresh peacock sightings along saline lake rim.,4.5,1
Room 201 had a direct view of Kinnaur surroundings. Mohan arranged our excursion to Kalpa Apple orchards facing Kinner Kailash. Breakfast featured fresh wooden pagoda temple architecture.,4.9,1
"Staying near Majuli was peaceful. We particularly appreciated the Kamalabari Satra monk dance. Road connectivity had potholes, but the earthen pottery workshop with local artisans made it worthwhile.",4.5,1
Konark Sun Temple wheel stone carvings are exquisite sundials. Our ASI approved guide Manoranjan helped us read the solar time.,4.8,1
Nice stay. Good hotel. Friendly staff and clean rooms. Definitely recommend.,5.0,0
Great stay at the tea estate. Beautiful morning mist.,4.5,1
Room 201 had a direct view of Badami surroundings. Mohan arranged our excursion to cave temple monolithic rock carvings. Breakfast featured fresh sunset over Agastya lake and Bhutanatha temple.,4.8,1
Loved the experience! Highly recommend to everyone looking for value for money.,5.0,0
Best ever experience! Everything was top notch and superb. Must visit!,5.0,0
Room 201 had a direct view of Panchmarhi surroundings. Mohan arranged our excursion to Bee falls cascading water pool. Breakfast featured fresh Dhoopgarh sunset view point over Satpura forest.,4.6,1
Orchha Jahangir Mahal cenotaphs overlooking the Betwa river at dusk were peaceful. Rent a bicycle from the square for Rs 100.,4.6,1
"Spiti valley homestay in Kaza run by Tenzin. Solar heated water worked well between 11am-2pm, and barley porridge was hearty.",4.7,1
Room 201 had a direct view of Pelling surroundings. Mohan arranged our excursion to Pemayangtse monastery butter lamps. Breakfast featured fresh panoramic view of Mt Pandim from hotel terrace.,4.9,1
Awesome stay with family. Best hotel in the area. Superb location and nice ambiance.,5.0,0
Loved the tea and breakfast. Superb hospitality and awesome stay!,5.0,0
Dooars forest fringe cottage near Gorumara. Rhinoceros grazing near the watchtower at 6:30am was breathtaking.,4.7,1
"Our visit to Dhanushkodi was deeply enriching. We spent hours experiencing the ghost town church ruins, followed by meeting sea shell craftsmen at Ram Setu point. Highly authentic local hospitality.",4.5,1
"Good hotel, good staff, good location, good food. Five stars all the way.",5.0,0
Room was clean and spacious. Good food and nice staff. Five stars!,5.0,0
Great place to visit. Friendly staff and good food. Value for money. Highly recommend. Highly recommend!,4.5,0
Best ever experience! Everything was top notch and superb. Must visit! Highly recommend!,4.5,0
"Our visit to Chopta was deeply enriching. We spent hours experiencing the Tungnath temple trek through rhododendron forest, followed by camping under clear Milky Way sky. Highly authentic local hospitality.",4.9,1
"Our visit to Mandu was deeply enriching. We spent hours experiencing the Jahaz Mahal floating palace architecture, followed by baobab fruit sherbet near Delhi gate. Highly authentic local hospitality.",4.5,1
Historic property with lots of character. Decent food.,4.1,1
Room 201 had a direct view of Dharamsala surroundings. Mohan arranged our excursion to Norbulingka institute thangka painting. Breakfast featured fresh steamed momos at McLeod Ganj square.,4.8,1
Very good hotel. Value for money and great location. Definitely recommend. Highly recommend!,4.5,0
"Staying near Pelling was peaceful. We particularly appreciated the Pemayangtse monastery butter lamps. Road connectivity had potholes, but the panoramic view of Mt Pandim from hotel terrace made it worthwhile.",4.5,1
"Our visit to Dharamsala was deeply enriching. We spent hours experiencing the Norbulingka institute thangka painting, followed by steamed momos at McLeod Ganj square. Highly authentic local hospitality.",4.7,1
"Staying near Panchmarhi was peaceful. We particularly appreciated the Bee falls cascading water pool. Road connectivity had potholes, but the Dhoopgarh sunset view point over Satpura forest made it worthwhile.",4.2,1
"Food at the rooftop cafe overlooking Varanasi ghats was delicious (try the apple crumble), but lane access is narrow for luggage.",4.1,1
"Our visit to Pelling was deeply enriching. We spent hours experiencing the Pemayangtse monastery butter lamps, followed by panoramic view of Mt Pandim from hotel terrace. Highly authentic local hospitality.",4.8,1
Nice stay with friends. Clean rooms and helpful staff. Worth every penny. Highly recommend!,4.5,0
Very good stay in room 101. Best hotel in town! Highly recommend.,5.0,0
"Staying near Chettinad was peaceful. We particularly appreciated the 100-year-old teak wood mansion. Road connectivity had potholes, but the spicy pepper chicken served on plantain leaf made it worthwhile.",4.4,1
Loved the experience! Highly recommend to everyone looking for value for money.,5.0,0
Had a wonderful time. Superb hospitality and awesome food. Will visit again.,5.0,0
Virupaksha Temple at 6am sunrise was ethereal. The Tungabhadra coracle ferry operator Suresh gave us fresh coconut water.,4.9,1
"Staying near Bishnupur was peaceful. We particularly appreciated the terracotta carvings at Rasmancha. Road connectivity had potholes, but the Baluchari silk saree weaving demonstration made it worthwhile.",4.3,1
Great place to visit. Friendly staff and good food. Value for money. Highly recommend.,5.0,0
Manager Suresh is great. Best place ever in the city! Must visit!,5.0,0
Very nice hotel. Clean rooms and superb hospitality. Will visit again for sure.,5.0,0
Scenic location by the pine woods. Reasonable rates.,4.1,1
Quiet retreat away from the crowds. Good library.,4.2,1
Awesome place! Great hospitality! Will visit again next year! Highly recommend!,5.0,0
"Our visit to Panchmarhi was deeply enriching. We spent hours experiencing the Bee falls cascading water pool, followed by Dhoopgarh sunset view point over Satpura forest. Highly authentic local hospitality.",4.5,1
Room 201 had a direct view of Dhanushkodi surroundings. Mohan arranged our excursion to ghost town church ruins. Breakfast featured fresh meeting sea shell craftsmen at Ram Setu point.,4.6,1
"Terrible hotel, noisy road, broken furniture and unhygienic kitchen. Avoid at all costs.",5.0,0
Superb place! Loved it! Best hospitality and clean cottages! Must visit!,5.0,0
"Room 302 had a brilliant view of Kanchenjunga sunrise, but the geyser took 20 minutes to heat up in Darjeeling winter.",4.0,1
Room 201 had a direct view of Shekhawati surroundings. Mohan arranged our excursion to fresco havelis in Mandawa. Breakfast featured fresh camel ride along sandy village lanes.,4.5,1
Homestay owner helped with cab booking. Good stay.,4.0,1
Coffee plantation stay in Coorg. Host Bopanna took us on a 7am birding walk where we spotted Malabar grey hornbills.,4.8,1
Good heritage haveli. Sitar music in evening was lovely.,4.0,1
Lovely courtyard dinner with folk dance. Nice tea.,4.4,1
