place_id,associated_search_term,search_weight
49,"Maya Devi Temple, Haridwar",1
49,Shri Mata Mansa Devi Mandir,1
49,Vaishno Devi,1
50,Himnish waterfall Rishikesh,1
50,Neer Waterfall,1
50,Neer waterfall,1
50,The Secret Waterfall Rishikesh - DhaulSrot,1
50,Waterfall,1
51,0,1
51,Aditya,1
51,Forest choki,1
51,भारमल इको स्पोर्ट,1
51,लालकोठी शिव मंदिर,1
52,0,1
52,Fountain Lachchhiwala Nature Park,1
52,Hilaswali हिलासावली,1
52,Lachchhiwala Water Fun Park,1
52,Lachhiwala Nature Park,1
53,Himnish waterfall Rishikesh,1
53,Neer Waterfall,1
53,Nilkanth waterfalls,1
53,Patna Waterfall,1
53,The Secret Waterfall Rishikesh - DhaulSrot,1
54,Bhadreshwar Mount Valley,1
54,Bhyundar Ganga,1
54,Valley of Flowers National Park,1
54,Valley of flowers National park,1
54,Velley of Flowers National Park,1
55,Maa Surkanda Devi Ropeway start,1
55,Maa surkanda Mata temple,1
55,Surkanda Devi Hike start,1
55,Surkanda devi temple,1
55,शिवालय,1
56,0,1
56,Bhim Taal Lake,1
56,Hanuman Tal,1
56,Nal Damyanti Tal,1
56,Ram Tal,1
57,Corbett Falls,1
57,Corbett Village Eco-Tour,1
57,Dhangarhi Gate and Museum,1
57,Jim corbet water fall,1
57,"Nainital Tourism,Places to see near Nainital , Jim Corbett National Park",1
58,"Bharat Mata Temple, Haridwar",1
58,Bilvkeshwar Mahadev Temple,1
58,HARIDWAR TEMPLES,1
58,"Maya Devi Temple, Haridwar",1
58,Shri Mata Mansa Devi Mandir,1
59,Badrinath Temple,1
59,Bheem pul,1
59,Shri Ganesh Mandir & Cave,1
59,Vandevi Temple,1
59,Vasudhara Falls,1
60,0,1
60,Balbhadra Khalanga Dwar Nalapani,1
60,Kalingan Park,1
60,Kalungr (Khalanga) Memorial,1
60,Shaurya Sthal War Memorial,1
61,Adventure Activities in Rishikesh,1
61,Amangarh Tiger Reserve,1
61,Corbett Tiger Reserve,1
61,Jungle Camp Kalagarh Tiger Reserve,1
61,corbett jungle safari,1
62,0,4
62,Gorson View Point 9,1
63,Bhulla Taal,1
63,Chinbo waterfall,1
63,Gatkot waterfall,1
63,Rameshpur Waterfall,1
63,Waterfall Point,1
64,Red Chilli Adventure,1
64,Rishikesh Day Tour,1
64,Rishikesh River Rafting,1
64,Rishikesh Tourism,1
64,River Rain Adventure |Rafting In Rishikesh |,1
65,"Bharat Mata Temple, Haridwar",1
65,"Maa Chandi Devi Temple, Haridwar",1
65,Maa Mansa Devi Ropeway,1
65,Mansa Devi Udan Khatola tickets,1
65,"Maya Devi Temple, Haridwar",1
66,Alaknanda Bhagirathi Sangam,1
66,Devaprayag view point,1
66,Devprayag Darshana,1
66,Devprayag Ghat,1
66,Devprayag Temple,1
67,Chauli Ki Jali to mukteshvar mahadev temple jungle walk,1
67,Mukteshwar Dham Temple,1
67,Mukteshwar Kumaon Hills,1
67,Mukteshwar Mahadev Temple,1
67,Mukteshwar mandir,1
68,Buddhist Temple,1
68,Ganga Maa Mandir,1
68,Harsil Temple,1
68,Kalp Kedar Temple,1
68,हर्षिल घाटी,1
69,"Bhatta falls, Mussoorie, Uttrakhand",1
69,Junu Waterfall,1
69,Kimadi Waterfall,1
69,Mossy Falls,1
69,Waterfall Maldevta,1
70,Fun 'N' Food Kingdom,1
70,Fun Park - DDZ,1
70,Ikya Fun & Adventure Park,1
70,Joyland Waterpark & Amusement park,1
70,Lachchhiwala Water Fun Park,1
71,Forest near Tiffin Top,1
71,HIMALAYAN View Point,1
71,Nainital view point,1
71,Snow View,1
71,Tiffin top,1
72,HIMALAYAN View Point,1
72,Himalayan Botanical Garden,1
72,Himalya darshan,1
72,Naina Peak West,1
72,Nainital view point,1
73,HIMALAYAN View Point,1
73,Lake View Point,1
73,Mango Lake View Point,1
73,Nainital view point,1
73,Snow View,1
74,Alaknanda Dhauliganga Sangam,1
74,Kalpeshwar,1
74,Vishnuprayag Sangam,1
74,Vishnuprayag Temple Bridge on Dhauliganga,1
74,Vishnuprayag View,1
75,Balta waterfall,1
75,Dhokanae Falls,1
75,Dhokaney Waterfall,1
75,Dunagiri Temple,1
75,Rudradhari Mahadev Temple,1
76,HIMALAYAN View Point,1
76,Himalaya Darshan,1
76,Naina Peak East,1
76,Naini Peak Trek Starting Point,1
76,chota China peak,1
77,"Jhula Devi temple, Chaubatia",1
77,Jhuladevi Temple,1
77,Kalika temple,1
77,Mankameshwar Temple,1
77,Ram Mandir,1
78,Adventure Park Mussoorie by The Real Adventure Sports,1
78,Camel Rock View,1
78,K Dev Bhoomi Wax Museum,1
78,Mussoorie Waterfall,1
78,SOHAM Himalayan Centre,1
79,Mahadev Mandir,1
79,Neelkanth Mahadev panting road,1
79,Shri Nageshwar Lachmi Narain Mandir,1
79,Shri Neelkantheshwar Mahadev Mandir,1
79,mataBhuvneshwari mandir,1
80,ECO park and Trail Kaudia,1
80,Kanatal Heights,1
80,Kanatal Hill view Camping,1
80,Kaudia Adventure Camp,1
80,Kaudia Estate,1
81,"Bhatta falls, Mussoorie, Uttrakhand",1
81,Jharipani waterfall,1
81,Kimadi Waterfall,1
81,Mussoorie Waterfall,1
81,Shikhar Fall,1
82,HIMALAYAN View Point,1
82,Lake View Point,1
82,Lover's Point,1
82,Mango Lake View Point,1
82,Snow View,1
83,Chandrabani Temple,1
83,Kali Temple Rajpur Road,1
83,Mansa Devi Temple,1
83,Shiv Mandir Dehradun,1
83,"Tapkeshwar Mahadev Mandir, Dehradun",1
84,New Tehri Dam,1
84,Tehri Dam Reservoir,1
84,Tehri Dam View Point,1
84,"Tehri Dam, Tehri Garhwal",1
84,Tehri lake and water sports,1
85,Neer waterfall,1
85,Neergarh waterfall,1
85,Nilkanth waterfalls,1
85,Patna Waterfall,1
85,The Secret Waterfall Rishikesh - DhaulSrot,1
86,0,1
86,Kedarnath Trekking way,1
86,Kedarnath bhukund bhairabh,1
86,Near kedarnath temple,1
86,Shri Bhairavnath Temple,1
87,Dhinara bhugyal,1
87,Lakha Mandal Pandav Caves,1
87,Lakha Mandal Shiv Temple,1
87,Lakhamandal Adventures near Mussoorie,1
87,रानी राणा का गाँव,1
88,0,1
88,Garden Tea Store,1
88,Girias Tea Garden,1
88,Kausani,1
88,Lovely tea garden kausani tea estate,1
89,Bheemgoda braj,1
89,Bhimgoda Ganga Canal starting point,1
89,Bhimgoda Har Ki Pauri Bridge भीमगोडा हर की पौड़ी पुल,1
89,Cheela Dam,1
89,Fly High Entertaiment Network,1
90,Himalayan trackers munsyari,1
90,Munsiyari Uttarakhand,1
90,Munsyari Hill Top View Point,1
90,Thamri Kund,1
90,Thamri Kund Hike Trail,1
91,Botanical gardens Domes Nainital,1
91,Cave Garden,1
91,G B Pant High Altitude Zoo,1
91,Himalaya Darshan,1
91,Woodland water fall nainital,1
92,Corbett Falls,1
92,Corbett Wildlife Sanctuary Uttarakhand,1
92,Prachin Valmiki Luv Kush Sitabani Ashram Ramnagar,1
92,Sitavani Temple,1
92,Sonanadi Wildlife Sanctuary,1
93,Chaurasi kutiya Beatles Ashram,1
93,Madhuban Ashram,1
93,"Maharishi Mahesh Yogi's Ashram ""Shankaracharya Nagar"" (Rishikesh)",1
93,Parmarth Niketan Ashram,1
93,The Divine Life Society (Sivananda Ashram),1
94,Bhyundar Valley,1
94,Chitrakantha Peak,1
94,Gorson Bugyal,1
94,Hike the Himalayas,1
94,बंडी धुरा,1
95,Birthi Waterfall,1
95,Harkot Waterfall,1
95,Munsyari Hill Top View Point,1
95,Thamri Kund Hike Trail,1
95,Tribal Heritage Museum,1
96,"Bhatta falls, Mussoorie, Uttrakhand",1
96,Camel Rock View,1
96,Lal Tibba View Point,1
96,Mossy Falls,1
96,The View Point,1
97,HIMALAYAN View Point,1
97,Naini Lake,1
97,Nainital Zoo Complex,1
97,Nainital view point,1
97,Snow View,1
98,0,1
98,Junu Waterfall,1
98,Mossy Falls,1
98,Mussoorie Waterfall,1
98,Ropeway To Bhattafall- Fun places/ Places to visit / Best adventure park in mussoorie,1
99,Barati Rau Waterfall,1
99,"Freaky Waterfall, Ghatgarh",1
99,Hidden Waterfall,1
99,Jim corbet water fall,1
99,Woodland water fall nainital,1
100,Devi Dhar Temple,1
100,MA NANDA DEVI DHAM DOR,1
100,"Nanda Devi Mandir, Chulkotdhar Range, Munsyari",1
100,"Nanda Devi Mandir, Dana Dhar",1
100,Nanda Devi mandir,1
101,Botanical gardens Domes Nainital,1
101,Hawa Cave,1
101,Himalayan Botanical Garden,1
101,Snow View,1
101,Woodland water fall nainital,1
102,Chauli Ki Jali to mukteshvar mahadev temple jungle walk,1
102,Mukteshwar Kumaon Hills,1
102,Mukteshwar Mahadev Temple,1
102,Mukteshwar MahadevTemple,1
102,Mukteshwar mandir,1
103,Aviary - Bird Park.,1
103,Deer park malsi,1
103,Dehradun Zoo Aquarium,1
103,MDDA Park,1
103,Malsi Deer Park,1
104,Junu Waterfall,1
104,Maldevta Picnic Point,1
104,Maldevta Picnic Spot,1
104,Mussoorie Waterfall,1
104,Shikhar Fall,1
105,Dalmoti forest range,1
105,HARIPURA DAM UNTAMED.REX,1
105,Jhula Devi Temple,1
105,"Jhula Devi temple, Chaubatia",1
105,Ranijheel,1
106,Parmarth Niketan - Ganga Ghat,1
106,Rishikesh Ganga Arti,1
106,Shatrughana Temple Ghat,1
106,"Trayambakeshwar, Om Shiv Pooja bhandar",1
106,Triveni ghat,1
107,Himalaya view place,1
107,Mountain View Point,1
107,Mukteshwar Dham Temple,1
107,Mukteshwar MahadevTemple,1
107,Mukteshwar view point,1
108,Surya Water Fall Chakrata,1
108,Thata Top,1
108,Tiger Fall Aquatic Camps & Restaurant,1
108,Tiger Fall Trek Camp Chakrata,1
108,Tiger Fall Valley View - Chkarata,1
109,Assan Barrage Bird Sanctuary,1
109,Benog hill bird sanctuary trekking and day hike - / trekking and hiking in mussoorie,1
109,Dehradun Zoo,1
109,"Jabarkhet Nature Reserve, Mussorie",1
109,Jawahar Aquarium,1
110,0,1
110,Bekaltal,1
110,BrahmaTal,1
110,Trekkers-X,1
110,ब्रह्मताल,1
111,Bekaltal,1
111,Brahma Temple near Brahmtal,1
111,BrahmaTal Trek,1
111,Brahmataal Summit Point,1
111,Bramhatal Top,1
112,"Bhatta falls, Mussoorie, Uttrakhand",1
112,Kimadi Waterfall,1
112,Mussoorie Waterfall,1
112,Ropeway To Bhattafall- Fun places/ Places to visit / Best adventure park in mussoorie,1
112,Shikhar Fall,1
113,HIMALAYAN View Point,1
113,Lake View Point,1
113,"Lake View Point, Nainitaal",1
113,Nainital view point,1
113,Snow Valley Nainital,1
114,"Ganga River, Rishikesh",1
114,Lakshman Jhula,1
114,Lakshman Temple,1
114,Rishikesh Trip.,1
114,Rishikesh View Point,1
115,Corbett Falls,1
115,Dhokaney Waterfall,1
115,"Freaky Waterfall, Ghatgarh",1
115,Hidden Waterfall,1
115,Sattal Water Fall,1
116,Nanda Devi Adventures,1
116,Nanda Devi National Park Interpretive Trek,1
116,Nanda Devi Wildlife Sanctuary,1
116,Nandi kund,1
116,Valley of Flowers National Park,1
117,Adventure Activities in Rishikesh,1
117,Jeep Safari in Rajaji National Park,1
117,RAJAJI JUNGLE SAFARI,1
117,Rajaji Tiger Reserve Booking Office-Chilla By Rajaji Wild Trail.,1
117,Rajaji tiger reserve jeep safari,1
118,0,1
118,Bhyundar Valley,1
118,Nanda Devi National Park,1
118,Velley of Flowers National Park,1
118,Velley of flowers National Park,1
119,Cave Garden,1
119,Corbett Falls,1
119,Gabbar Bridge,1
119,Gabbar Point,1
119,Khurpatal Lake View Point,1
120,Hanuman Ka Tibba,1
120,Lahesh Cave,1
120,Thatharna Trek,1
120,Trek to Thatharana,1
120,Triund Trek,1
121,Gul Sunset Point,1
121,Gulaba snow point,1
121,Manali Snow Point,1
121,Old Manali snow point,1
121,Snow Point,1
122,Bhalei Mata Temple,1
122,Laxmi Narayana Temple,1
122,Naun of Sui Mata Temple,1
122,Shri Chamunda Devi Mandir Chamba,1
122,Shri Hari Rai Temple,1
123,0,1
123,Banghodu waterfall - Bheem Pather Waterfall - Gunaid village -,1
123,Bangoru Hidden Waterfall,1
123,Bangoru Waterfall,1
123,Bangoru valley,1
124,(R) Majholi Apple Orchard,1
124,Basa Shai,1
124,Jai Maa Bhagwati Orchards,1
124,Jai chickreshwar maharaj,1
124,Nagarkoti Mata Temple Janog ( Theog),1
125,0,2
125,SISSU SNOW POINT,1
125,Sissu Manali Road,1
125,Sissu view point,1
126,Kali Tibba Temple,1
126,"Mohan Shakti Temple, Solan",1
126,Shiv Mandir,1
126,Shiva Temple,1
126,Sidh Baba Ka Mandir,1
127,KASAULI (queen of hills),1
127,Kasauli...,1
127,Kasaulihills,1
127,Kasuali to Kalka Track (Khuswant Singh track),1
127,Upper Mall,1
128,Dharamshala Guide,1
128,Dhauladhar view,1
128,Paragliding in dharamshala,1
128,Tour guide,1
128,Tours by native,1
129,Haripur Fort,1
129,"Hawa Ghar, Talwara",1
129,Mysterious Caves,1
129,PUAN-THE HERITAGE VILLAGE,1
129,Well,1
130,Hadimba Devi Temple,1
130,Mall Road Market Manali,1
130,Manali,1
130,Manali Mall Market,1
130,Mini Switzerland Manali,1
131,Baba Bhalku Rail Museum,1
131,Bantony Castle,1
131,Hawa Ghar,1
131,Victory Tunnel,1
131,View Point,1
132,Narsingh Temple,1
132,Shri Chamunda Devi Mandir Chamba,1
132,Shri Hari Rai Temple,1
132,"Sui Mata Mandir, सुई माता मंदिर",1
132,champawati temple,1
133,Bada village,1
133,Ruliya da shapdu,1
133,Saheed Samarak,1
133,"The Dhar Village , Shimla , Himachal Pradesh",1
133,Village Shawog,1
134,I Love Spiti,1
134,Kaza Gompa,1
134,Kaza Monastery,1
134,Sakya Tangyud Monastery,1
134,Spiti Valley,1
135,0,1
135,Dharamshala Cricket Stadium,1
135,Dhauladhar view,1
135,State War Memorial,1
135,View point dhauladhar range,1
136,0,1
136,Jibhi Waterfall,1
136,Mini Waterfall,1
136,Pahadian waterfalls,1
136,Shilvi Natural Waterfall,1
137,0,1
137,Anjani Mahadev Shivlinga,1
137,Rama Temple,1
137,Shiv Temple,1
137,Whiteland holidays,1
138,Hawa Ghar,1
138,Himalayan Bird Park,1
138,Horse Yak Ride spot,1
138,Shimla Tourist,1
138,View Point,1
139,0,1
139,"Christ Church, Kasauli",1
139,"Ridge, Shimla",1
139,Shimla Tourist,1
139,St. Michael's Catholic Cathedral,1
140,Lakshmi Narayan Temple Kumsu,1
140,NATLI NAG Temple,1
140,Road To Sri Suryanarayan Temple,1
140,Suryavanshi Temple,1
140,Thakurdwara Sri Lakshmi Narayan Mandir,1
141,Bangotu view point,1
141,Dharamshala Stadium View,1
141,Paragliding in dharamshala,1
141,"Tea Gardens Dharamshala Narghota, Best picnic spot near Dharamshala",1
141,View point dhauladhar range,1
142,0,1
142,B.O Ribba,1
142,Bisht Niwas,1
142,Kurpo kanda marg,1
142,WaterFall,1
143,Friends Adventure Narkanda,1
143,Narkanda - Kumarsain Road,1
143,Narkanda - The City Of Nature,1
143,Snow point,1
143,TanniJubbar Lake,1
144,Himalayan Adventure Park,1
144,Jagatsukh Valley,1
144,Manali Nature Park,1
144,Nature Park,1
144,Van Vihar National Park,1
145,0,1
145,Beas River,1
145,Beas valley view,1
145,New Beas Bridge - Manali,1
145,Pearl Valley,1
146,"Barapattar hill,bakrota hill view",1
146,Dalhousie,1
146,Dalhousie Cantonment Forest,1
146,Subhash Chowk,1
146,Tibetans Market,1
147,Chail Sanctuary,1
147,Gurudwara Sahib Chail,1
147,Kali Tibba Temple,1
147,Sidh Baba Mandir,1
147,Stoned Kumbh Shiv Temple,1
148,Awaahdevi,1
148,"Kul Devi Mandir, Khansan, Himachal Pradesh",1
148,Mata Vaishno Devi Temple,1
148,Santoshi mata temple,1
148,Tauni Devi Temple,1
149,Mahakal Shiv Temple,1
149,Narvadeshwar Temple,1
149,Shiv Temple Kangra (Chakr Kund),1
149,"Shree Maha kaleshwar prachin mandir,",1
149,Shri RadheKrishna Mandir,1
150,Chini Bangla Bus Stop,1
150,INDIRA TOURIST PARK,1
150,Kufri Adventures,1
150,Kufri Fun World,1
150,Kufri Zoo,1
151,Ancient Chortens,1
151,Nako Gompa,1
151,Nako Lake,1
151,Nako Monastery Parking,1
151,Nako Village,1
152,Khajji Nag Temple,1
152,Khajjiar Adventure Activities,1
152,Khajjiar Lake खजियार झील,1
152,Khajjiar Valley,1
152,Khajjiar paragliding(Mini Switzerland of india),1
153,Bhandal to Chamba Drive,1
153,Drabbu Valley,1
153,Dunwad दुनवाड़,1
153,Kihar Valley,1
153,Sharola Nala,1
154,Army Heritage Museum,1
154,Bantony Castle,1
154,Hawa Ghar,1
154,Himachal State Museum,1
154,Victory Tunnel,1
155,0,1
155,Giri ganga temple road,1
155,Giriganga Temple,1
155,Kharapathar Shiv Ling,1
155,Kupper Giri Ganga Temple trek,1
156,Bantony Castle,1
156,Daulat Singh Park,1
156,Himalayan Bird Park,1
156,Rani Park,1
156,View Point,1
157,Himalayan Nature Park Kufri,1
157,Kufri Adventure Park,1
157,Kufri Adventures,1
157,Kufri Fun World,1
157,Veterinary Hospital HNP Kufri Zoo,1
158,"Maa Shoolini Temple, Solan",1
158,"Mohan Shakti Temple, Solan",1
158,"Near Jatoli Temple , Village Molo Kalan",1
158,Shiv Mandir Solan,1
158,Shiva Temple,1
159,Kamna Devi Temple,1
159,Mata Hateshwari Temple,1
159,Sankat Mochan Hanuman Temple,1
159,Shiv Mandir Shimla,1
159,Tara Devi Temple,1
160,Bandla Hill Top,1
160,Camping Area,1
160,Gandhigram Open Area,1
160,Himri Mountains Tour & Travel,1
160,"Shimla, Himachal Pradesh",1
161,Bharech,1
161,Green Valley,1
161,Hawa Ghar,1
161,Himachali Ranjha available,1
161,Rana bharech,1
162,Chicham Bridge,1
162,Chicham Valley View Point,1
162,"Chicham Village, Spiti Valley",1
162,"Key Gompa - Chicham Bridge Road, Himachal Pradesh",1
162,"Spiti Valley Bridge, Kaza",1
163,0,1
163,Banasar Fort,1
163,Bantony Castle,1
163,Flag House Resort,1
163,Old Junga Palace,1
164,Enroute Atal Tunnel View Point,1
164,Kothi Valley view point,1
164,View point marhi,1
164,View point picture point,1
164,View point snow mountain,1
165,Gootru Temple,1
165,Lutru Mahadev Cave Lord Shiva's Home,1
165,Luutru Temple,1
165,Shiv Temple,1
165,Shiva Temple,1
166,DEV KAMRUNAG PARK,1
166,Dev Kamrunag Temple,1
166,Jai Ho Dev Kamrunag,1
166,Kamrunag Temple,1
166,Khunda Dev Kamrunaag,1
167,Chalal Trek,1
167,Chalal trail,1
167,Nature Park Kasol,1
167,Parvati Valley,1
167,Trekking in Kasol,1
168,Deohari-Sainj Valley,1
168,SAINJ KULLU HP INDIA,1
168,Sainj valley Homestay,1
168,Sainj valley trek,1
168,Sainj velly,1
169,Kais wildlife sanctuary,1
169,Kanawar wildlife sanctuary,1
169,Khokhan wild life sanctuary,1
169,Manali wildlife sanctuary,1
169,Wildlife Office Shamshi,1
170,DHUNGRI VAN VIHAR ( Forest Park ),1
170,Hadimba Devi Temple,1
170,Manali Nature Park,1
170,Manali Sanctuary,1
170,Van Vihar National Park,1
171,JamtaView,1
171,Nahan city view point,1
171,Pakka Tank,1
171,The Sirmour Retreat,1
171,grand view resort,1
172,Ancient Tangyud Monastery,1
172,Kaza Gompa,1
172,Kaza Monastery,1
172,Kee Gompa (Kee Monastery),1
172,Langza Buddha Statue,1
173,Beeji's Park,1
173,Dainkund Peak,1
173,Hotel Rock Garden,1
173,Hotel Rock Villa Dalhousie,1
173,Mountain Dream House Rock Garden Devi Dehra,1
174,Guru bashisht temple,1
174,Manali View Point,1
174,Vashisht trek Manali,1
174,Vashishtha Temple,1
174,ജിന്നിന്റെ കോട്ട,1
175,Skiing Point Narkanda,1
175,Snow point,1
