destination_id,name,state,district,latitude,longitude,category,description,activities,best_season,average_budget,recommended_days,family_score,solo_score,couple_score,adventure_score,nature_score,heritage_score,religious_score,nightlife_score,accessibility_score,popularity_score,rating,review_count
16,Papavinasam Theertham,Andhra Pradesh,Andhra Pradesh,13.719963,79.344578,attraction,"Papavinasam Theertham is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1503.75,1,7.6,7.0,6.9,2.1,5.6,9.5,1.7,1.2,6.7,0.482,4.1,290
17,Prakasam Park,Andhra Pradesh,Andhra Pradesh,13.62745,79.40975,attraction,"Prakasam Park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1866.27,1,8.2,7.0,3.4,3.9,3.5,9.5,2.9,3.0,5.3,0.451,3.9,244
18,Rock Garden.,Andhra Pradesh,Andhra Pradesh,13.685937,79.340859,attraction,"Rock Garden. is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1061.13,1,8.1,6.8,5.6,3.4,4.7,9.5,1.0,1.0,6.8,0.687,4.1,1109
19,Seshachala Vanadarshini Forest Museum,Andhra Pradesh,Andhra Pradesh,13.659562,79.383891,attraction,"Seshachala Vanadarshini Forest Museum is a renowned cultural landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Nature Walks & Photography, Heritage Exploration & Guided Tours",Oct-Mar,3282.86,4,7.8,8.6,6.5,1.6,9.0,9.5,2.0,1.3,6.6,1.0,4.5,3069
20,Silathoranam Garden,Andhra Pradesh,Andhra Pradesh,13.60985,79.43655,attraction,"Silathoranam Garden is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1944.11,2,8.9,7.2,5.5,3.1,3.0,9.5,1.3,1.5,5.4,0.766,4.3,1342
21,"Sri Anjaneyaswami Mandir, Tirumala Tirupati",Andhra Pradesh,Andhra Pradesh,13.659913,79.384016,attraction,"Sri Anjaneyaswami Mandir, Tirumala Tirupati is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Heritage Exploration & Guided Tours, Temple Visit & Spiritual Darshan",Oct-Feb,1816.34,4,8.5,7.0,3.6,4.5,5.1,9.5,9.5,3.2,6.4,0.736,4.4,1183
22,Sri Babu Jagjivanram park,Andhra Pradesh,Andhra Pradesh,13.618437,79.425016,attraction,"Sri Babu Jagjivanram park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,812.88,1,8.2,6.7,5.6,3.7,2.0,9.5,1.5,1.2,6.8,0.568,4.1,633
23,Sri Bedi Anjaneya Swamy Temple,Andhra Pradesh,Andhra Pradesh,13.683463,79.349172,attraction,"Sri Bedi Anjaneya Swamy Temple is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Heritage Exploration & Guided Tours, Temple Visit & Spiritual Darshan",Oct-Mar,1132.15,2,8.7,7.6,5.3,4.0,4.6,9.5,9.5,0.8,5.5,0.947,4.2,2107
24,Sri Kapileswara Swamy Temple | Tirupati,Andhra Pradesh,Andhra Pradesh,13.656212,79.421234,attraction,"Sri Kapileswara Swamy Temple | Tirupati is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Heritage Exploration & Guided Tours, Temple Visit & Spiritual Darshan",Oct-Mar,1171.28,1,9.1,7.5,6.2,4.9,3.6,9.5,9.5,2.0,6.3,1.0,4.7,6111
25,Sri Padmavathi Park,Andhra Pradesh,Andhra Pradesh,13.618562,79.421766,attraction,"Sri Padmavathi Park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1489.52,1,8.3,6.4,6.8,3.9,3.1,9.5,1.1,3.4,7.7,0.523,4.1,453
26,"Sri Prasanna Venkateswara Swamy Temple, Appalayagunta",Andhra Pradesh,Andhra Pradesh,13.6322,79.443,attraction,"Sri Prasanna Venkateswara Swamy Temple, Appalayagunta is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Heritage Exploration & Guided Tours, Temple Visit & Spiritual Darshan",Oct-Mar,1318.22,1,9.2,8.0,6.4,4.7,3.7,9.5,9.5,1.4,5.5,1.0,4.6,8066
27,Sri Siva Nagendra Swami Temple,Andhra Pradesh,Andhra Pradesh,13.645737,79.418984,attraction,"Sri Siva Nagendra Swami Temple is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Heritage Exploration & Guided Tours, Temple Visit & Spiritual Darshan",Oct-Mar,1991.59,2,8.8,6.8,5.3,1.7,4.2,9.5,9.5,0.8,6.5,1.0,4.2,3409
28,Sri Venkateshwara Temple,Andhra Pradesh,Andhra Pradesh,13.631213,79.422234,attraction,"Sri Venkateshwara Temple is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Heritage Exploration & Guided Tours, Temple Visit & Spiritual Darshan",Oct-Mar,2186.08,1,8.6,7.6,5.8,3.1,5.5,9.5,9.5,1.6,5.2,0.636,4.2,862
29,Sri Venkateswara Dhyana Jnana Mandiram,Andhra Pradesh,Andhra Pradesh,13.680238,79.346984,attraction,"Sri Venkateswara Dhyana Jnana Mandiram is a renowned cultural landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Heritage Exploration & Guided Tours, Temple Visit & Spiritual Darshan",Oct-Feb,1933.11,3,8.1,7.8,6.2,4.5,5.7,9.5,9.5,2.4,6.8,0.489,4.1,315
30,Sri Venkateswara Swamy Temple,Andhra Pradesh,Andhra Pradesh,13.63255,79.39545,attraction,"Sri Venkateswara Swamy Temple is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Heritage Exploration & Guided Tours, Temple Visit & Spiritual Darshan",Oct-Mar,1914.11,4,8.0,6.6,3.1,2.4,3.5,9.5,9.5,1.9,6.2,1.0,4.8,14975
31,Sri Venugopala Swamy Temple,Andhra Pradesh,Andhra Pradesh,13.703038,79.344859,attraction,"Sri Venugopala Swamy Temple is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Heritage Exploration & Guided Tours, Temple Visit & Spiritual Darshan",Oct-Mar,1201.16,2,8.6,5.5,3.5,1.1,2.1,9.5,9.5,2.1,7.1,0.685,4.1,1101
32,Srivari Paadaalu,Andhra Pradesh,Andhra Pradesh,13.679488,79.333078,attraction,"Srivari Paadaalu is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1102.15,3,8.3,6.0,5.9,1.3,2.2,9.5,2.6,3.4,6.1,1.0,4.2,3297
33,Swami Pushkarini,Andhra Pradesh,Andhra Pradesh,13.684387,79.347891,attraction,"Swami Pushkarini is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1252.14,3,7.8,7.2,6.3,2.1,3.8,9.5,1.2,2.6,5.6,1.0,4.7,5061
34,Tirumala Chakratheertham,Andhra Pradesh,Andhra Pradesh,13.688413,79.340172,attraction,"Tirumala Chakratheertham is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1042.61,1,8.6,6.3,6.8,2.0,4.2,9.5,3.1,2.7,6.2,1.0,4.5,7843
35,Tirumala Deer Park Reserve,Andhra Pradesh,Andhra Pradesh,13.658713,79.389141,attraction,"Tirumala Deer Park Reserve is a renowned wildlife landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1656.41,2,7.9,5.8,3.2,2.0,3.4,9.5,3.3,0.6,7.4,1.0,4.8,28615
36,Tirumala View Point,Andhra Pradesh,Andhra Pradesh,13.639837,79.365641,attraction,"Tirumala View Point is a renowned nature landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Nature Walks & Photography, Heritage Exploration & Guided Tours",Oct-Feb,1785.12,2,8.5,7.4,4.7,1.4,9.0,9.5,2.5,1.7,6.5,1.0,4.7,6306
37,View Point of Jungle Book,Andhra Pradesh,Andhra Pradesh,13.653388,79.418203,attraction,"View Point of Jungle Book is a renowned nature landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Nature Walks & Photography, Heritage Exploration & Guided Tours",Oct-Feb,1689.13,1,8.3,8.7,5.6,2.5,9.0,9.5,2.9,1.0,4.3,0.618,4.4,710
38,Appikonda Beach,Andhra Pradesh,Andhra Pradesh,17.585013,83.197172,attraction,"Appikonda Beach is a renowned nature landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Nature Walks & Photography, Heritage Exploration & Guided Tours",Oct-Feb,1699.39,1,8.3,8.3,8.5,3.3,9.0,9.5,3.8,2.4,5.8,1.0,4.2,3304
39,Beach View Point,Andhra Pradesh,Andhra Pradesh,17.662888,83.283859,attraction,"Beach View Point is a renowned nature landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Nature Walks & Photography, Heritage Exploration & Guided Tours",Oct-Feb,1563.86,4,9.0,7.7,8.5,2.5,9.0,9.5,3.9,0.7,4.4,1.0,4.5,5154
40,Dr Y S Rajasekhar Reddy Central park,Andhra Pradesh,Andhra Pradesh,17.7071,83.2106,attraction,"Dr Y S Rajasekhar Reddy Central park is a renowned recreation landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,825.51,1,8.9,5.8,6.3,3.7,2.3,9.5,2.0,1.3,4.5,1.0,4.5,22555
41,Gokul Park,Andhra Pradesh,Andhra Pradesh,17.68995,83.24055,attraction,"Gokul Park is a renowned recreation landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1775.43,3,8.0,7.1,6.0,4.5,4.9,9.5,3.4,2.9,8.0,0.581,4.4,563
42,Hawa Mahal,Andhra Pradesh,Andhra Pradesh,17.707387,83.311828,attraction,"Hawa Mahal is a renowned cultural landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1377.66,2,8.9,6.9,6.0,4.1,3.4,9.5,3.8,2.8,4.4,1.0,4.4,101293
43,Kailasgiri Park,Andhra Pradesh,Andhra Pradesh,17.749887,83.340203,attraction,"Kailasgiri Park is a renowned recreation landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,2063.57,2,8.2,6.3,6.6,4.3,3.3,9.5,3.7,0.8,5.3,1.0,4.5,2369
44,Lawsons Bay Beach Park,Andhra Pradesh,Andhra Pradesh,17.6791,83.2146,attraction,"Lawsons Bay Beach Park is a renowned recreation landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,2130.09,5,7.7,6.8,8.5,3.3,4.5,9.5,2.3,2.5,7.0,0.722,3.9,1327
45,Lumbini Park,Andhra Pradesh,Andhra Pradesh,17.741263,83.344141,attraction,"Lumbini Park is a renowned recreation landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1908.21,3,8.7,6.3,6.6,1.4,4.0,9.5,1.2,1.6,4.5,1.0,4.8,2920
46,Ross Hill Church,Andhra Pradesh,Andhra Pradesh,17.690438,83.287109,attraction,"Ross Hill Church is a renowned religious landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Nature Walks & Photography, Heritage Exploration & Guided Tours, Temple Visit & Spiritual Darshan",Oct-Feb,1000.19,3,7.5,7.9,5.8,3.5,9.0,9.5,9.5,0.7,7.3,0.535,4.0,540
47,Sivaji Park,Andhra Pradesh,Andhra Pradesh,17.6741,83.2296,attraction,"Sivaji Park is a renowned recreation landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1788.74,1,8.3,7.4,6.8,1.3,5.9,9.5,2.1,3.5,7.0,1.0,4.6,7572
48,Sri Varahalakshmi Narasimha Swamy Vari Devasthanam,Andhra Pradesh,Andhra Pradesh,17.766362,83.250547,attraction,"Sri Varahalakshmi Narasimha Swamy Vari Devasthanam is a renowned religious landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1326.76,1,9.3,6.7,5.0,4.1,4.2,9.5,2.3,0.5,5.9,1.0,4.9,14749
49,Tenneti Park,Andhra Pradesh,Andhra Pradesh,17.748438,83.349547,attraction,"Tenneti Park is a renowned recreation landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,878.82,1,8.8,7.3,4.5,1.5,4.6,9.5,3.2,1.4,7.5,1.0,4.9,27111
50,Tenneti Sea View Point,Andhra Pradesh,Andhra Pradesh,17.748513,83.349953,attraction,"Tenneti Sea View Point is a renowned nature landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Nature Walks & Photography, Heritage Exploration & Guided Tours",Oct-Feb,1113.03,5,7.4,8.3,5.1,1.0,9.0,9.5,3.9,3.5,4.3,0.727,4.1,1268
51,Thotlakonda,Andhra Pradesh,Andhra Pradesh,17.828512,83.409172,attraction,"Thotlakonda is a renowned cultural landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1575.4,5,8.0,7.2,5.3,3.1,4.5,9.5,3.1,3.2,4.2,0.567,4.0,668
52,Visakha Museum,Andhra Pradesh,Andhra Pradesh,17.66595,83.22255,attraction,"Visakha Museum is a renowned cultural landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Mar,2986.7,5,8.0,6.8,4.9,4.6,3.8,9.5,2.9,1.6,6.3,0.98,4.4,2160
53,VMRDA PARK,Andhra Pradesh,Andhra Pradesh,17.6958,83.2315,attraction,"VMRDA PARK is a renowned recreation landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,908.83,5,8.4,8.1,5.7,4.9,4.8,9.5,2.6,1.0,7.6,1.0,4.9,25500
54,VMRDA-Kailasagiri,Andhra Pradesh,Andhra Pradesh,17.748938,83.342141,attraction,"VMRDA-Kailasagiri is a renowned religious landmark situated in Visakhapatnam, Visakhapatnam district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1951.55,4,9.0,7.8,3.2,3.9,4.5,9.5,2.3,0.6,5.5,1.0,4.5,11989
55,Borra Caves Araku Valley,Andhra Pradesh,Andhra Pradesh,18.280556,83.038889,attraction,"Discovered in 1807 by William King of the GSI, situated at 2,300 to 2,600 feet in the Ananthagiri hills of Araku Valley, one of India's largest and deepest limestone karst caves, descending 80 meters with million-year-old stalactites and stalagmites.",Nature Walks & Photography,Oct-Feb,1934.77,5,9.2,8.4,6.4,1.6,9.0,3.4,2.1,1.9,5.7,1.0,4.6,24609
