user_id,age_group,budget,travel_style,preferred_categories,preferred_activities
usr-0189,18-25,mid,cultural,spiritual,"shopping, heritage, couple, food"
usr-0190,26-35,budget,adventure,heritage,"luxury, short_trip"
usr-0191,18-25,mid,cultural,"beach, hill_station, cultural","food, mountain, shopping, nightlife"
usr-0192,26-35,budget,beach,"wildlife, urban","long_trip, spiritual, heritage, wildlife"
usr-0193,36-50,mid,beach,beach,"food, shopping, mountain, couple"
usr-0194,26-35,mid,beach,"cultural, urban","budget, spiritual"
usr-0195,26-35,budget,heritage,cultural,"adventure, family"
usr-0196,26-35,luxury,beach,hill_station,"shopping, food, spiritual"
usr-0197,50+,budget,cultural,wildlife,"luxury, wildlife, family"
usr-0198,18-25,budget,heritage,"urban, hill_station, wildlife","nature, food, spiritual"
usr-0199,26-35,budget,heritage,"beach, cultural, wildlife","spiritual, nightlife"
usr-0200,26-35,budget,cultural,adventure,"nature, nightlife, food"
usr-0201,26-35,budget,adventure,"adventure, nature","shopping, family"
usr-0202,26-35,mid,wildlife,"hill_station, nature, heritage","adventure, budget"
usr-0203,26-35,mid,cultural,"wildlife, spiritual","mountain, family, food, adventure"
usr-0204,36-50,budget,nature,"hill_station, adventure","shopping, food, nightlife, spiritual"
usr-0205,50+,budget,adventure,"cultural, beach","heritage, long_trip"
usr-0206,36-50,mid,beach,"hill_station, heritage","budget, shopping, short_trip, adventure"
usr-0207,26-35,mid,adventure,"wildlife, spiritual","solo, nightlife"
usr-0208,36-50,budget,nature,beach,"shopping, mountain, wildlife"
usr-0209,26-35,mid,wildlife,"heritage, cultural, spiritual","adventure, solo, nightlife"
usr-0210,26-35,mid,wildlife,urban,"spiritual, wildlife"
usr-0211,26-35,luxury,spiritual,"heritage, spiritual, wildlife","nature, nightlife, spiritual, couple"
usr-0212,18-25,mid,beach,beach,"food, spiritual"
usr-0213,26-35,mid,nature,"beach, spiritual","wildlife, luxury, family, nature"
usr-0214,18-25,mid,heritage,"hill_station, nature, spiritual","family, budget"
usr-0215,26-35,mid,beach,hill_station,"long_trip, food, nightlife, spiritual"
usr-0216,50+,budget,nature,heritage,"family, adventure"
usr-0217,26-35,budget,nature,"hill_station, wildlife, adventure","heritage, couple, nature, family"
usr-0218,26-35,mid,heritage,"nature, spiritual","mountain, solo, wildlife, couple"
usr-0219,26-35,mid,spiritual,adventure,"adventure, luxury"
usr-0220,18-25,mid,cultural,nature,"food, budget, long_trip"
usr-0221,26-35,budget,beach,"adventure, cultural","adventure, short_trip"
usr-0222,18-25,budget,cultural,"beach, spiritual","couple, spiritual"
usr-0223,26-35,luxury,beach,"cultural, nature","beach, long_trip"
usr-0224,26-35,mid,cultural,"wildlife, heritage, adventure","food, long_trip, adventure"
usr-0225,18-25,mid,adventure,"nature, cultural, urban","nightlife, luxury, mountain"
usr-0226,50+,luxury,wildlife,"wildlife, beach, heritage","long_trip, budget"
usr-0227,26-35,budget,beach,"wildlife, nature","mountain, long_trip, family, short_trip"
usr-0228,36-50,mid,wildlife,urban,"shopping, food"
usr-0229,26-35,budget,nature,"wildlife, adventure","nature, couple, solo, mountain"
usr-0230,18-25,budget,adventure,spiritual,"food, wildlife, shopping"
usr-0231,26-35,budget,cultural,"cultural, spiritual","beach, heritage"
usr-0232,18-25,budget,spiritual,nature,"mountain, nature, long_trip, beach"
usr-0233,26-35,luxury,adventure,heritage,"spiritual, nightlife, food, shopping"
usr-0234,26-35,budget,nature,"hill_station, cultural","solo, wildlife"
usr-0235,26-35,luxury,nature,urban,"food, budget"
usr-0236,18-25,budget,nature,"wildlife, hill_station, cultural","solo, nature"
usr-0237,18-25,mid,nature,heritage,"couple, family, adventure, long_trip"
usr-0238,18-25,luxury,spiritual,"cultural, beach, spiritual","short_trip, mountain"
usr-0239,50+,budget,spiritual,"urban, beach, heritage","long_trip, adventure"
usr-0240,36-50,mid,wildlife,cultural,"solo, long_trip, family"
usr-0241,36-50,mid,heritage,"spiritual, cultural","nature, long_trip, solo"
usr-0242,26-35,mid,heritage,"nature, cultural, hill_station","budget, nightlife, short_trip"
usr-0243,26-35,luxury,adventure,cultural,"heritage, adventure, couple, long_trip"
usr-0244,50+,budget,cultural,urban,"mountain, couple, short_trip, long_trip"
usr-0245,26-35,mid,adventure,"beach, adventure","wildlife, solo, budget, food"
usr-0246,26-35,luxury,beach,"cultural, adventure","nightlife, shopping, wildlife"
usr-0247,50+,mid,wildlife,"beach, nature","adventure, long_trip, budget, beach"
usr-0248,26-35,luxury,adventure,urban,"adventure, food, long_trip, couple"
usr-0249,50+,mid,spiritual,"adventure, urban","short_trip, shopping, long_trip, wildlife"
usr-0250,26-35,mid,beach,"nature, heritage, cultural","luxury, family, couple"
usr-0251,36-50,budget,heritage,adventure,"adventure, couple, wildlife"
usr-0252,50+,mid,adventure,"wildlife, beach, adventure","solo, luxury, nightlife"
usr-0253,18-25,budget,spiritual,"urban, cultural","wildlife, adventure, spiritual"
usr-0254,26-35,budget,wildlife,"adventure, heritage, nature","heritage, mountain, spiritual, beach"
usr-0255,26-35,budget,wildlife,nature,"couple, wildlife, mountain"
usr-0256,18-25,mid,spiritual,"urban, spiritual, wildlife","heritage, spiritual, couple"
usr-0257,18-25,mid,adventure,hill_station,"adventure, spiritual, short_trip"
usr-0258,26-35,mid,wildlife,"nature, beach","luxury, couple, mountain"
usr-0259,26-35,budget,cultural,beach,"food, couple, budget"
usr-0260,18-25,luxury,heritage,"urban, wildlife","shopping, food"
usr-0261,36-50,mid,beach,"wildlife, hill_station, heritage","family, nature, wildlife"
usr-0262,50+,budget,nature,adventure,"beach, adventure, family"
usr-0263,18-25,budget,nature,beach,"shopping, short_trip, wildlife, nightlife"
usr-0264,18-25,luxury,nature,"hill_station, wildlife, nature","budget, wildlife"
usr-0265,26-35,mid,heritage,urban,"long_trip, spiritual, food, couple"
usr-0266,18-25,budget,spiritual,"adventure, heritage, beach","adventure, family, food, spiritual"
usr-0267,18-25,mid,heritage,"wildlife, cultural, urban","luxury, nightlife, nature"
usr-0268,26-35,budget,nature,"adventure, urban","family, shopping, short_trip, wildlife"
usr-0269,26-35,mid,beach,beach,"heritage, adventure"
usr-0270,18-25,budget,cultural,"adventure, heritage, cultural","family, solo"
usr-0271,18-25,budget,cultural,nature,"budget, couple"
usr-0272,18-25,mid,beach,"spiritual, hill_station","beach, budget"
usr-0273,36-50,budget,wildlife,cultural,"family, food"
usr-0274,26-35,mid,nature,spiritual,"beach, solo, budget"
usr-0275,26-35,mid,spiritual,wildlife,"wildlife, couple, nature"
usr-0276,18-25,luxury,beach,wildlife,"beach, couple, family, budget"
usr-0277,26-35,luxury,wildlife,"cultural, spiritual, adventure","luxury, beach, heritage"
usr-0278,36-50,budget,cultural,spiritual,"budget, mountain"
usr-0279,18-25,budget,heritage,hill_station,"mountain, short_trip, wildlife, shopping"
usr-0280,36-50,budget,heritage,"heritage, spiritual, nature","shopping, beach, luxury, nature"
usr-0281,36-50,mid,spiritual,spiritual,"solo, family"
usr-0282,36-50,mid,nature,"wildlife, heritage","budget, spiritual, short_trip"
usr-0283,36-50,budget,beach,"beach, heritage","short_trip, beach, shopping, food"
usr-0284,18-25,mid,heritage,heritage,"heritage, long_trip, mountain, luxury"
usr-0285,18-25,mid,spiritual,urban,"mountain, family, luxury, budget"
usr-0286,18-25,mid,heritage,"nature, cultural","nature, couple, wildlife"
usr-0287,26-35,luxury,beach,"urban, cultural","family, long_trip"
usr-0288,36-50,luxury,adventure,"beach, wildlife, adventure","luxury, heritage, mountain"
usr-0289,36-50,mid,cultural,adventure,"family, couple, heritage"
usr-0290,26-35,mid,nature,"adventure, cultural","nature, shopping, budget, beach"
usr-0291,36-50,budget,wildlife,spiritual,"short_trip, long_trip, beach, food"
usr-0292,18-25,mid,wildlife,"nature, hill_station","spiritual, wildlife, nightlife"
usr-0293,26-35,luxury,heritage,adventure,"couple, luxury"
usr-0294,26-35,mid,beach,"adventure, beach, spiritual","couple, budget"
usr-0295,26-35,luxury,heritage,nature,"nightlife, long_trip"
usr-0296,36-50,luxury,cultural,"urban, heritage","long_trip, short_trip"
usr-0297,36-50,budget,adventure,"wildlife, spiritual","budget, wildlife, nature"
usr-0298,36-50,budget,wildlife,urban,"adventure, couple, budget"
usr-0299,26-35,mid,nature,"cultural, nature","luxury, nightlife, budget, short_trip"
usr-0300,50+,mid,beach,"adventure, wildlife, spiritual","luxury, short_trip, mountain"
usr-0301,36-50,budget,beach,heritage,"nightlife, food, spiritual"
usr-0302,36-50,budget,spiritual,"nature, hill_station","shopping, beach, short_trip, spiritual"
usr-0303,26-35,budget,heritage,"adventure, beach","heritage, beach, family, mountain"
usr-0304,18-25,mid,beach,"adventure, cultural","solo, wildlife"
usr-0305,26-35,budget,beach,"adventure, beach","mountain, family, solo, food"
usr-0306,26-35,mid,wildlife,"nature, spiritual","shopping, adventure, beach"
usr-0307,26-35,budget,adventure,"adventure, cultural, nature","budget, nightlife"
usr-0308,36-50,mid,adventure,hill_station,"nightlife, solo"
usr-0309,18-25,mid,heritage,"adventure, nature","couple, beach"
usr-0310,26-35,mid,spiritual,heritage,"adventure, long_trip, heritage"
usr-0311,36-50,mid,beach,"heritage, hill_station","solo, shopping, budget, heritage"
usr-0312,36-50,budget,spiritual,"heritage, beach, cultural","family, budget"
usr-0313,18-25,mid,nature,"cultural, adventure, wildlife","beach, couple, long_trip, adventure"
usr-0314,26-35,mid,beach,"wildlife, beach, hill_station","beach, nightlife, wildlife, nature"
usr-0315,26-35,budget,cultural,"spiritual, heritage","short_trip, family, heritage"
usr-0316,36-50,budget,wildlife,"nature, wildlife","shopping, beach, adventure"
usr-0317,26-35,mid,nature,beach,"couple, adventure, mountain"
usr-0318,26-35,mid,beach,"beach, urban","shopping, luxury, budget"
usr-0319,36-50,mid,cultural,"cultural, beach, heritage","beach, family"
usr-0320,36-50,budget,heritage,"wildlife, spiritual, nature","family, solo, shopping"
usr-0321,50+,mid,wildlife,nature,"food, spiritual, short_trip, shopping"
usr-0322,18-25,luxury,wildlife,nature,"luxury, long_trip, wildlife"
usr-0323,36-50,budget,spiritual,"adventure, nature, heritage","budget, family, beach"
usr-0324,26-35,luxury,nature,urban,"family, nightlife"
usr-0325,26-35,budget,beach,beach,"solo, heritage, family, adventure"
usr-0326,26-35,luxury,heritage,"hill_station, spiritual, beach","mountain, budget"
usr-0327,26-35,budget,cultural,"nature, hill_station","solo, beach, wildlife"
usr-0328,18-25,mid,spiritual,urban,"budget, wildlife, nature, mountain"
usr-0329,26-35,luxury,nature,cultural,"long_trip, spiritual"
usr-0330,18-25,budget,wildlife,"wildlife, heritage","budget, beach"
usr-0331,18-25,mid,wildlife,"spiritual, hill_station, urban","adventure, long_trip, budget, shopping"
usr-0332,26-35,budget,spiritual,cultural,"heritage, shopping"
usr-0333,18-25,mid,adventure,"cultural, adventure","nightlife, adventure, family"
usr-0334,36-50,budget,spiritual,"adventure, wildlife, spiritual","adventure, heritage"
usr-0335,26-35,budget,adventure,"beach, heritage","short_trip, heritage, couple"
usr-0336,26-35,mid,heritage,"adventure, wildlife","adventure, solo, couple, luxury"
usr-0337,26-35,budget,cultural,"cultural, hill_station, adventure","shopping, adventure, nature"
usr-0338,26-35,mid,wildlife,"urban, adventure, cultural","nightlife, mountain"
usr-0339,18-25,mid,beach,"beach, spiritual","nightlife, food, wildlife, solo"
usr-0340,26-35,budget,beach,"cultural, adventure","long_trip, food"
usr-0341,26-35,mid,beach,heritage,"luxury, shopping, nature"
usr-0342,26-35,mid,beach,heritage,"beach, nightlife"
usr-0343,50+,mid,beach,"heritage, wildlife, cultural","food, couple, budget, nature"
usr-0344,18-25,mid,beach,"wildlife, spiritual, cultural","heritage, couple, short_trip, budget"
usr-0345,50+,mid,beach,"spiritual, nature","family, nature, long_trip"
usr-0346,50+,budget,wildlife,hill_station,"family, nature, mountain"
usr-0347,18-25,mid,spiritual,wildlife,"nightlife, beach, solo, wildlife"
usr-0348,50+,budget,heritage,"beach, spiritual, cultural","nightlife, spiritual, luxury"
usr-0349,18-25,budget,beach,"wildlife, urban, beach","nightlife, nature, luxury, couple"
usr-0350,18-25,mid,nature,cultural,"wildlife, shopping, long_trip, budget"
usr-0351,50+,budget,cultural,"cultural, hill_station","beach, mountain, short_trip"
usr-0352,26-35,budget,spiritual,cultural,"spiritual, shopping"
usr-0353,26-35,budget,wildlife,hill_station,"budget, adventure, food, mountain"
usr-0354,18-25,luxury,cultural,adventure,"nightlife, food, heritage, budget"
usr-0355,50+,luxury,nature,"spiritual, beach, adventure","luxury, beach, adventure"
usr-0356,26-35,mid,heritage,"spiritual, wildlife","short_trip, mountain"
usr-0357,36-50,budget,cultural,"spiritual, wildlife","shopping, wildlife, beach"
usr-0358,18-25,budget,spiritual,"heritage, hill_station","beach, wildlife"
usr-0359,18-25,mid,spiritual,"adventure, hill_station","luxury, solo, mountain"
usr-0360,36-50,luxury,spiritual,"adventure, beach, cultural","heritage, wildlife, family"
usr-0361,26-35,budget,beach,spiritual,"luxury, food, short_trip, solo"
usr-0362,26-35,mid,adventure,nature,"heritage, spiritual, shopping"
usr-0363,18-25,luxury,nature,"hill_station, adventure","heritage, mountain, food, budget"
usr-0364,18-25,budget,heritage,"hill_station, wildlife","luxury, beach"
usr-0365,18-25,mid,wildlife,adventure,"couple, beach, adventure"
