date,destination_id,temperature,humidity,rainfall,weather_condition,wind_speed,weather_alert
2026-10-15,3,25.2,48.2,25.3,Clear & Pleasant,13.2,0
2026-11-15,3,25.2,44.5,0.0,Clear & Pleasant,8.4,0
2026-12-15,3,23.0,39.8,9.0,Clear & Pleasant,10.0,0
2026-01-15,4,23.0,38.5,0.0,Clear & Pleasant,6.9,0
2026-02-15,4,24.9,42.1,18.1,Clear & Pleasant,15.1,0
2026-03-15,4,24.8,43.4,0.0,Clear & Pleasant,21.6,0
2026-04-15,4,28.5,39.2,7.0,Clear & Pleasant,20.7,0
2026-05-15,4,30.7,47.9,37.8,Clear & Pleasant,19.1,0
2026-06-15,4,35.0,42.6,23.9,Clear & Pleasant,20.6,0
2026-07-15,4,34.0,74.9,203.2,Monsoon Heavy Rain,5.4,0
2026-08-15,4,33.6,85.7,315.3,Monsoon Heavy Rain,8.7,1
2026-09-15,4,29.6,68.5,158.8,Light Showers,9.4,0
2026-10-15,4,27.6,46.3,37.8,Clear & Pleasant,6.9,0
2026-11-15,4,24.4,47.5,19.0,Clear & Pleasant,17.0,0
2026-12-15,4,22.5,48.2,14.8,Clear & Pleasant,15.8,0
2026-01-15,5,23.2,41.6,15.5,Clear & Pleasant,6.8,0
2026-02-15,5,22.5,47.2,5.9,Clear & Pleasant,21.4,0
2026-03-15,5,24.9,51.2,27.3,Clear & Pleasant,14.9,0
2026-04-15,5,30.2,39.3,2.1,Clear & Pleasant,19.9,0
2026-05-15,5,29.0,38.3,7.4,Clear & Pleasant,8.7,0
2026-06-15,5,34.1,43.0,25.2,Clear & Pleasant,16.7,0
2026-07-15,5,36.2,61.1,182.5,Monsoon Heavy Rain,20.5,0
2026-08-15,5,33.2,86.2,319.2,Monsoon Heavy Rain,13.8,1
2026-09-15,5,32.7,74.2,178.6,Light Showers,10.8,0
2026-10-15,5,26.3,41.2,46.4,Clear & Pleasant,14.4,0
2026-11-15,5,23.8,49.1,0.0,Clear & Pleasant,15.9,0
2026-12-15,5,20.0,30.9,0.0,Clear & Pleasant,10.6,0
2026-01-15,6,22.5,34.4,1.5,Clear & Pleasant,10.6,0
2026-02-15,6,23.4,42.3,0.0,Clear & Pleasant,12.9,0
2026-03-15,6,27.5,40.6,9.7,Clear & Pleasant,11.9,0
2026-04-15,6,25.6,36.3,3.2,Clear & Pleasant,18.2,0
2026-05-15,6,31.4,43.2,4.1,Clear & Pleasant,5.5,0
2026-06-15,6,35.4,54.1,46.5,Clear & Pleasant,10.2,0
2026-07-15,6,34.3,73.1,197.7,Monsoon Heavy Rain,8.3,0
2026-08-15,6,34.3,88.9,316.5,Monsoon Heavy Rain,19.7,1
2026-09-15,6,31.5,65.4,203.1,Monsoon Heavy Rain,10.3,0
2026-10-15,6,29.3,59.4,70.0,Light Showers,10.8,0
2026-11-15,6,22.8,37.1,0.0,Clear & Pleasant,18.2,0
2026-12-15,6,22.7,44.4,14.4,Clear & Pleasant,10.0,0
2026-01-15,7,22.8,42.1,1.0,Clear & Pleasant,21.1,0
2026-02-15,7,22.4,34.5,0.0,Clear & Pleasant,9.8,0
2026-03-15,7,25.7,44.3,13.3,Clear & Pleasant,8.3,0
2026-04-15,7,27.4,39.9,0.0,Clear & Pleasant,16.0,0
2026-05-15,7,29.2,44.2,24.7,Clear & Pleasant,20.7,0
2026-06-15,7,31.8,54.2,48.6,Clear & Pleasant,6.3,0
2026-07-15,7,32.1,60.9,213.3,Monsoon Heavy Rain,5.2,0
2026-08-15,7,32.8,84.8,302.1,Monsoon Heavy Rain,5.4,1
2026-09-15,7,32.1,68.0,199.3,Monsoon Heavy Rain,18.1,0
2026-10-15,7,26.9,41.2,48.7,Clear & Pleasant,13.0,0
2026-11-15,7,25.6,40.2,4.9,Clear & Pleasant,9.2,0
2026-12-15,7,21.2,44.9,3.5,Clear & Pleasant,16.4,0
2026-01-15,8,23.0,43.4,11.9,Clear & Pleasant,9.0,0
2026-02-15,8,23.0,36.7,3.7,Clear & Pleasant,6.1,0
2026-03-15,8,27.7,35.2,7.4,Clear & Pleasant,16.5,0
2026-04-15,8,29.9,39.5,16.0,Clear & Pleasant,19.8,0
2026-05-15,8,32.7,42.4,25.8,Clear & Pleasant,8.9,0
2026-06-15,8,30.5,55.3,58.0,Light Showers,6.9,0
2026-07-15,8,33.3,65.6,183.7,Monsoon Heavy Rain,6.0,0
2026-08-15,8,35.0,92.5,320.8,Monsoon Heavy Rain,5.5,1
2026-09-15,8,32.8,63.7,190.5,Monsoon Heavy Rain,5.7,0
2026-10-15,8,27.6,54.2,44.2,Clear & Pleasant,10.4,0
2026-11-15,8,24.4,51.5,0.0,Clear & Pleasant,5.8,0
2026-12-15,8,21.3,44.3,5.1,Clear & Pleasant,18.5,0
2026-01-15,9,21.4,39.4,7.6,Clear & Pleasant,20.1,0
2026-02-15,9,22.2,37.8,0.0,Clear & Pleasant,22.0,0
2026-03-15,9,25.4,32.0,4.2,Clear & Pleasant,10.2,0
2026-04-15,9,28.6,39.7,11.5,Clear & Pleasant,5.3,0
2026-05-15,9,30.9,46.7,28.3,Clear & Pleasant,12.7,0
2026-06-15,9,31.3,45.7,31.7,Clear & Pleasant,19.1,0
2026-07-15,9,35.6,73.2,215.3,Monsoon Heavy Rain,9.3,0
2026-08-15,9,31.3,91.6,319.1,Monsoon Heavy Rain,10.2,1
2026-09-15,9,29.1,72.6,193.7,Monsoon Heavy Rain,15.7,0
2026-10-15,9,27.7,49.5,34.0,Clear & Pleasant,8.6,0
2026-11-15,9,26.9,53.8,0.3,Clear & Pleasant,11.1,0
2026-12-15,9,21.1,53.3,2.5,Clear & Pleasant,12.9,0
2026-01-15,10,18.7,49.3,19.9,Clear & Pleasant,11.2,0
2026-02-15,10,21.7,36.7,0.0,Clear & Pleasant,11.0,0
2026-03-15,10,23.2,48.2,2.7,Clear & Pleasant,5.2,0
2026-04-15,10,27.4,40.8,3.6,Clear & Pleasant,11.8,0
2026-05-15,10,29.3,37.5,5.4,Clear & Pleasant,18.1,0
2026-06-15,10,35.7,41.9,31.0,Clear & Pleasant,18.9,0
2026-07-15,10,33.8,79.1,189.0,Monsoon Heavy Rain,8.9,0
2026-08-15,10,33.0,91.2,327.9,Monsoon Heavy Rain,11.8,1
2026-09-15,10,31.4,70.6,222.0,Monsoon Heavy Rain,5.6,0
2026-10-15,10,30.9,38.7,25.4,Clear & Pleasant,20.7,0
2026-11-15,10,26.3,37.3,1.5,Clear & Pleasant,13.0,0
2026-12-15,10,22.7,37.4,0.0,Clear & Pleasant,6.3,0
2026-01-15,11,22.7,47.1,19.4,Clear & Pleasant,5.2,0
2026-02-15,11,23.1,41.7,9.2,Clear & Pleasant,12.7,0
2026-03-15,11,23.8,45.0,0.0,Clear & Pleasant,7.4,0
2026-04-15,11,29.2,47.3,0.0,Clear & Pleasant,14.6,0
2026-05-15,11,30.0,45.4,8.0,Clear & Pleasant,7.9,0
2026-06-15,11,32.5,51.0,58.4,Light Showers,15.6,0
2026-07-15,11,33.9,74.2,216.5,Monsoon Heavy Rain,10.8,0
2026-08-15,11,34.3,94.4,352.8,Monsoon Heavy Rain,18.4,1
2026-09-15,11,31.2,66.3,176.5,Light Showers,5.0,0
2026-10-15,11,27.5,42.9,44.6,Clear & Pleasant,12.8,0
2026-11-15,11,26.9,36.6,0.0,Clear & Pleasant,12.3,0
2026-12-15,11,23.1,44.9,0.0,Clear & Pleasant,7.7,0
2026-01-15,12,21.2,40.3,0.0,Clear & Pleasant,11.0,0
2026-02-15,12,24.9,36.4,0.0,Clear & Pleasant,21.1,0
2026-03-15,12,24.0,25.2,0.0,Clear & Pleasant,10.2,0
2026-04-15,12,26.9,40.0,8.5,Clear & Pleasant,13.5,0
2026-05-15,12,31.0,49.3,0.0,Clear & Pleasant,6.1,0
2026-06-15,12,32.6,50.6,63.0,Light Showers,11.1,0
2026-07-15,12,34.1,68.1,179.1,Light Showers,8.7,0
2026-08-15,12,34.7,80.8,310.3,Monsoon Heavy Rain,6.4,1
2026-09-15,12,31.7,70.3,194.7,Monsoon Heavy Rain,20.6,0
2026-10-15,12,30.1,51.3,63.5,Light Showers,8.1,0
2026-11-15,12,25.5,41.5,0.0,Clear & Pleasant,8.6,0
2026-12-15,12,20.5,51.2,0.0,Clear & Pleasant,18.9,0
2026-01-15,13,20.9,43.7,11.4,Clear & Pleasant,13.9,0
2026-02-15,13,22.8,39.6,0.0,Clear & Pleasant,14.8,0
2026-03-15,13,23.6,44.7,19.0,Clear & Pleasant,14.4,0
2026-04-15,13,30.5,43.4,0.0,Clear & Pleasant,14.9,0
2026-05-15,13,32.1,40.8,6.1,Clear & Pleasant,9.5,0
2026-06-15,13,32.5,49.6,35.8,Clear & Pleasant,9.8,0
2026-07-15,13,32.2,69.2,208.5,Monsoon Heavy Rain,11.1,0
2026-08-15,13,33.1,98.0,327.0,Monsoon Heavy Rain,7.4,1
2026-09-15,13,30.2,70.6,209.4,Monsoon Heavy Rain,7.9,0
2026-10-15,13,26.9,48.7,31.3,Clear & Pleasant,10.0,0
2026-11-15,13,23.7,42.9,0.0,Clear & Pleasant,16.1,0
2026-12-15,13,20.6,39.1,7.5,Clear & Pleasant,18.0,0
2026-01-15,14,20.2,31.8,0.0,Clear & Pleasant,20.3,0
2026-02-15,14,20.7,38.9,0.0,Clear & Pleasant,21.1,0
2026-03-15,14,26.5,42.5,0.0,Clear & Pleasant,15.7,0
2026-04-15,14,26.6,45.1,0.0,Clear & Pleasant,7.3,0
2026-05-15,14,31.3,34.7,0.0,Clear & Pleasant,5.7,0
2026-06-15,14,33.6,43.5,20.1,Clear & Pleasant,14.2,0
2026-07-15,14,34.6,65.1,197.0,Monsoon Heavy Rain,7.8,0
2026-08-15,14,30.4,92.6,332.2,Monsoon Heavy Rain,17.0,1
2026-09-15,14,33.9,68.6,166.4,Light Showers,16.2,0
2026-10-15,14,26.7,50.6,45.1,Clear & Pleasant,17.7,0
2026-11-15,14,26.9,36.1,3.6,Clear & Pleasant,7.5,0
2026-12-15,14,26.4,43.9,8.2,Clear & Pleasant,10.3,0
2026-01-15,15,18.8,39.7,0.0,Clear & Pleasant,13.6,0
2026-02-15,15,19.6,38.5,0.0,Clear & Pleasant,5.9,0
2026-03-15,15,26.4,45.4,14.7,Clear & Pleasant,12.3,0
2026-04-15,15,25.5,36.5,6.9,Clear & Pleasant,18.2,0
2026-05-15,15,31.2,43.8,0.0,Clear & Pleasant,18.1,0
2026-06-15,15,32.3,53.0,49.5,Clear & Pleasant,6.5,0
2026-07-15,15,34.3,70.8,221.8,Monsoon Heavy Rain,14.3,0
2026-08-15,15,34.4,84.6,326.7,Monsoon Heavy Rain,5.9,1
2026-09-15,15,31.4,72.5,212.2,Monsoon Heavy Rain,12.1,0
2026-10-15,15,26.6,42.6,57.0,Light Showers,18.8,0
2026-11-15,15,24.5,39.2,0.0,Clear & Pleasant,5.1,0
2026-12-15,15,21.0,40.3,0.0,Clear & Pleasant,8.2,0
2026-01-15,16,22.5,48.2,5.3,Clear & Pleasant,14.5,0
2026-02-15,16,24.0,37.1,0.0,Clear & Pleasant,20.4,0
2026-03-15,16,25.2,44.1,3.6,Clear & Pleasant,14.5,0
2026-04-15,16,27.3,40.3,0.0,Clear & Pleasant,19.5,0
2026-05-15,16,29.4,39.8,0.0,Clear & Pleasant,20.1,0
2026-06-15,16,31.1,42.4,24.7,Clear & Pleasant,13.3,0
2026-07-15,16,35.4,72.7,198.9,Monsoon Heavy Rain,13.4,0
2026-08-15,16,34.2,92.9,331.0,Monsoon Heavy Rain,20.4,1
2026-09-15,16,31.6,70.4,192.1,Monsoon Heavy Rain,14.8,0
2026-10-15,16,25.8,47.4,41.6,Clear & Pleasant,12.2,0
2026-11-15,16,25.2,34.6,0.0,Clear & Pleasant,6.2,0
2026-12-15,16,19.6,45.2,0.0,Clear & Pleasant,15.8,0
2026-01-15,17,24.1,41.3,20.6,Clear & Pleasant,6.2,0
2026-02-15,17,22.4,40.7,0.0,Clear & Pleasant,11.8,0
2026-03-15,17,23.7,46.4,28.4,Clear & Pleasant,7.0,0
2026-04-15,17,28.9,35.1,13.9,Clear & Pleasant,7.9,0
2026-05-15,17,30.1,39.5,14.6,Clear & Pleasant,8.7,0
2026-06-15,17,34.3,49.5,45.8,Clear & Pleasant,14.2,0
2026-07-15,17,33.1,67.9,188.0,Monsoon Heavy Rain,7.7,0
2026-08-15,17,34.9,91.0,337.0,Monsoon Heavy Rain,20.1,1
2026-09-15,17,33.1,66.5,176.7,Light Showers,8.9,0
2026-10-15,17,26.9,36.4,38.3,Clear & Pleasant,20.5,0
2026-11-15,17,24.4,48.5,20.8,Clear & Pleasant,6.4,0
2026-12-15,17,22.7,42.5,0.0,Clear & Pleasant,9.7,0
2026-01-15,18,22.4,38.8,0.0,Clear & Pleasant,5.4,0
2026-02-15,18,20.5,37.6,17.2,Clear & Pleasant,12.4,0
2026-03-15,18,24.8,41.6,19.5,Clear & Pleasant,11.1,0
2026-04-15,18,29.4,31.7,0.0,Clear & Pleasant,19.1,0
2026-05-15,18,29.8,41.3,11.7,Clear & Pleasant,8.8,0
2026-06-15,18,34.4,49.7,41.9,Clear & Pleasant,8.0,0
2026-07-15,18,34.0,75.1,213.9,Monsoon Heavy Rain,21.7,0
2026-08-15,18,31.7,83.6,318.1,Monsoon Heavy Rain,13.7,1
2026-09-15,18,29.3,73.6,204.5,Monsoon Heavy Rain,16.4,0
2026-10-15,18,26.9,53.0,52.6,Light Showers,20.0,0
2026-11-15,18,25.0,42.4,0.0,Clear & Pleasant,9.2,0
2026-12-15,18,21.4,37.1,13.6,Clear & Pleasant,19.0,0
2026-01-15,19,20.3,50.4,0.0,Clear & Pleasant,16.1,0
2026-02-15,19,25.0,32.3,0.0,Clear & Pleasant,12.0,0
2026-03-15,19,22.4,40.8,0.0,Clear & Pleasant,17.9,0
2026-04-15,19,28.7,35.9,0.0,Clear & Pleasant,12.6,0
2026-05-15,19,32.1,56.8,0.0,Clear & Pleasant,15.7,0
2026-06-15,19,30.1,54.1,66.9,Light Showers,19.4,0
2026-07-15,19,33.1,70.3,202.4,Monsoon Heavy Rain,11.6,0
2026-08-15,19,30.8,82.8,328.6,Monsoon Heavy Rain,13.9,1
2026-09-15,19,30.4,68.2,182.4,Monsoon Heavy Rain,21.2,0
2026-10-15,19,28.6,45.5,37.5,Clear & Pleasant,18.5,0
2026-11-15,19,26.6,39.3,0.0,Clear & Pleasant,12.3,0
2026-12-15,19,24.6,37.3,9.0,Clear & Pleasant,10.8,0
2026-01-15,20,20.0,45.9,10.2,Clear & Pleasant,5.1,0
2026-02-15,20,24.4,38.8,16.8,Clear & Pleasant,14.1,0
2026-03-15,20,24.6,45.4,0.0,Clear & Pleasant,15.6,0
2026-04-15,20,26.5,37.5,0.0,Clear & Pleasant,15.2,0
2026-05-15,20,29.8,39.1,0.0,Clear & Pleasant,21.5,0
2026-06-15,20,33.1,40.5,47.5,Clear & Pleasant,10.2,0
2026-07-15,20,32.4,61.8,203.7,Monsoon Heavy Rain,13.9,0
2026-08-15,20,33.6,88.2,324.1,Monsoon Heavy Rain,5.6,1
2026-09-15,20,31.0,71.4,174.7,Light Showers,5.6,0
2026-10-15,20,26.5,45.8,53.8,Light Showers,11.8,0
2026-11-15,20,25.1,33.0,0.0,Clear & Pleasant,19.4,0
2026-12-15,20,21.5,45.6,0.0,Clear & Pleasant,15.3,0
2026-01-15,21,23.5,48.4,15.7,Clear & Pleasant,20.6,0
2026-02-15,21,20.9,46.0,4.7,Clear & Pleasant,5.5,0
2026-03-15,21,24.4,40.3,3.8,Clear & Pleasant,10.0,0
2026-04-15,21,29.9,42.1,0.0,Clear & Pleasant,14.1,0
2026-05-15,21,28.6,34.4,2.6,Clear & Pleasant,19.5,0
2026-06-15,21,35.2,46.0,44.7,Clear & Pleasant,12.4,0
2026-07-15,21,34.6,67.0,191.6,Monsoon Heavy Rain,12.9,0
2026-08-15,21,31.2,85.5,312.0,Monsoon Heavy Rain,20.4,1
2026-09-15,21,31.4,76.3,206.4,Monsoon Heavy Rain,21.4,0
2026-10-15,21,25.8,50.4,51.0,Light Showers,20.6,0
2026-11-15,21,27.8,51.4,37.2,Clear & Pleasant,12.2,0
2026-12-15,21,21.9,40.3,5.6,Clear & Pleasant,12.9,0
2026-01-15,22,21.4,45.0,5.1,Clear & Pleasant,13.7,0
2026-02-15,22,24.6,44.1,12.9,Clear & Pleasant,14.6,0
2026-03-15,22,27.1,41.5,0.0,Clear & Pleasant,17.8,0
2026-04-15,22,28.4,43.4,0.0,Clear & Pleasant,6.8,0
2026-05-15,22,31.6,39.0,0.0,Clear & Pleasant,21.2,0
2026-06-15,22,33.1,41.0,24.0,Clear & Pleasant,11.3,0
2026-07-15,22,34.2,74.6,203.0,Monsoon Heavy Rain,6.9,0
2026-08-15,22,33.7,85.5,327.4,Monsoon Heavy Rain,8.6,1
2026-09-15,22,27.5,69.5,186.4,Monsoon Heavy Rain,19.5,0
2026-10-15,22,26.9,42.1,39.3,Clear & Pleasant,5.5,0
2026-11-15,22,23.8,42.9,0.0,Clear & Pleasant,19.1,0
2026-12-15,22,23.9,38.1,16.1,Clear & Pleasant,5.4,0
2026-01-15,23,22.0,34.5,0.0,Clear & Pleasant,11.1,0
2026-02-15,23,21.7,43.5,0.0,Clear & Pleasant,15.6,0
2026-03-15,23,24.5,42.3,10.5,Clear & Pleasant,17.2,0
2026-04-15,23,27.3,35.7,0.0,Clear & Pleasant,17.7,0
2026-05-15,23,30.5,47.0,10.7,Clear & Pleasant,13.7,0
2026-06-15,23,36.4,44.0,55.7,Light Showers,9.2,0
2026-07-15,23,34.1,74.4,204.4,Monsoon Heavy Rain,21.5,0
2026-08-15,23,34.4,86.7,309.9,Monsoon Heavy Rain,6.5,1
2026-09-15,23,29.0,70.7,173.6,Light Showers,5.9,0
2026-10-15,23,27.9,36.7,24.2,Clear & Pleasant,5.6,0
2026-11-15,23,23.6,40.8,9.3,Clear & Pleasant,10.4,0
2026-12-15,23,23.1,41.7,0.0,Clear & Pleasant,17.3,0
2026-01-15,24,20.4,48.0,38.6,Clear & Pleasant,8.4,0
2026-02-15,24,23.8,34.3,4.7,Clear & Pleasant,6.4,0
2026-03-15,24,21.9,41.5,0.0,Clear & Pleasant,15.9,0
2026-04-15,24,29.6,36.7,0.0,Clear & Pleasant,14.1,0
2026-05-15,24,31.2,46.6,12.6,Clear & Pleasant,9.4,0
2026-06-15,24,33.0,53.8,50.3,Light Showers,21.2,0
2026-07-15,24,33.0,76.7,188.5,Monsoon Heavy Rain,15.1,0
2026-08-15,24,32.4,88.7,291.4,Monsoon Heavy Rain,19.2,1
2026-09-15,24,32.6,77.0,193.6,Monsoon Heavy Rain,5.8,0
2026-10-15,24,29.2,60.9,57.8,Light Showers,15.2,0
2026-11-15,24,24.8,46.2,0.0,Clear & Pleasant,20.8,0
2026-12-15,24,21.0,34.2,0.0,Clear & Pleasant,10.2,0
2026-01-15,25,22.7,41.3,8.6,Clear & Pleasant,15.9,0
2026-02-15,25,21.7,39.0,0.7,Clear & Pleasant,21.0,0
2026-03-15,25,24.6,42.2,0.0,Clear & Pleasant,18.6,0
2026-04-15,25,27.8,49.8,20.9,Clear & Pleasant,16.3,0
2026-05-15,25,30.3,38.6,0.0,Clear & Pleasant,13.3,0
2026-06-15,25,33.3,53.0,45.8,Clear & Pleasant,19.7,0
2026-07-15,25,34.4,80.4,218.8,Monsoon Heavy Rain,13.5,0
2026-08-15,25,31.4,87.7,329.0,Monsoon Heavy Rain,13.4,1
2026-09-15,25,29.6,63.7,203.7,Monsoon Heavy Rain,9.0,0
2026-10-15,25,28.4,40.0,40.6,Clear & Pleasant,13.7,0
2026-11-15,25,26.0,40.8,0.0,Clear & Pleasant,16.7,0
2026-12-15,25,20.2,29.5,4.1,Clear & Pleasant,12.6,0
2026-01-15,26,23.7,31.7,6.4,Clear & Pleasant,6.9,0
2026-02-15,26,21.6,45.5,13.5,Clear & Pleasant,10.3,0
2026-03-15,26,24.6,32.1,2.9,Clear & Pleasant,9.7,0
2026-04-15,26,27.2,47.9,0.0,Clear & Pleasant,15.6,0
2026-05-15,26,30.0,45.7,16.4,Clear & Pleasant,8.9,0
2026-06-15,26,32.7,49.0,51.7,Light Showers,21.2,0
2026-07-15,26,34.4,66.9,192.5,Monsoon Heavy Rain,11.8,0
2026-08-15,26,32.4,88.3,315.7,Monsoon Heavy Rain,8.8,1
2026-09-15,26,29.8,75.1,193.4,Monsoon Heavy Rain,18.1,0
2026-10-15,26,25.6,40.3,0.0,Clear & Pleasant,10.6,0
2026-11-15,26,26.0,31.9,0.0,Clear & Pleasant,15.6,0
2026-12-15,26,21.4,53.0,16.9,Clear & Pleasant,6.8,0
2026-01-15,27,23.6,47.5,0.0,Clear & Pleasant,5.8,0
2026-02-15,27,22.6,42.8,19.7,Clear & Pleasant,15.2,0
2026-03-15,27,25.9,40.3,0.0,Clear & Pleasant,10.1,0
2026-04-15,27,26.8,41.6,17.2,Clear & Pleasant,9.1,0
2026-05-15,27,32.9,38.1,4.8,Clear & Pleasant,14.1,0
2026-06-15,27,36.0,39.0,51.2,Light Showers,7.3,0
2026-07-15,27,35.4,79.3,197.1,Monsoon Heavy Rain,21.9,0
2026-08-15,27,35.4,92.6,324.0,Monsoon Heavy Rain,13.7,1
2026-09-15,27,31.6,64.3,188.5,Monsoon Heavy Rain,19.7,0
2026-10-15,27,28.8,49.1,49.2,Clear & Pleasant,8.1,0
2026-11-15,27,28.5,47.1,8.0,Clear & Pleasant,5.2,0
2026-12-15,27,24.5,42.8,1.4,Clear & Pleasant,8.3,0
2026-01-15,28,21.5,30.1,0.0,Clear & Pleasant,10.2,0
2026-02-15,28,25.1,41.4,5.0,Clear & Pleasant,7.6,0
2026-03-15,28,24.5,42.7,5.1,Clear & Pleasant,18.4,0
2026-04-15,28,27.9,33.6,0.0,Clear & Pleasant,10.5,0
2026-05-15,28,31.3,37.0,2.7,Clear & Pleasant,8.6,0
2026-06-15,28,30.2,51.1,59.1,Light Showers,9.9,0
2026-07-15,28,33.6,61.6,172.4,Light Showers,7.5,0
2026-08-15,28,35.7,82.4,311.5,Monsoon Heavy Rain,19.2,1
2026-09-15,28,34.9,72.6,198.2,Monsoon Heavy Rain,19.3,0
2026-10-15,28,26.3,51.5,58.8,Light Showers,16.6,0
2026-11-15,28,27.8,52.5,0.0,Clear & Pleasant,13.0,0
2026-12-15,28,25.4,44.3,13.1,Clear & Pleasant,17.3,0
2026-01-15,29,21.1,36.7,0.0,Clear & Pleasant,16.4,0
2026-02-15,29,23.7,42.5,19.1,Clear & Pleasant,18.1,0
2026-03-15,29,24.0,40.0,5.3,Clear & Pleasant,21.1,0
2026-04-15,29,26.6,38.6,3.0,Clear & Pleasant,13.6,0
2026-05-15,29,29.6,30.7,0.0,Clear & Pleasant,16.1,0
2026-06-15,29,29.3,56.1,44.5,Clear & Pleasant,17.0,0
2026-07-15,29,33.1,67.2,187.7,Monsoon Heavy Rain,6.5,0
2026-08-15,29,34.1,94.6,325.9,Monsoon Heavy Rain,15.1,1
2026-09-15,29,31.6,70.4,186.0,Monsoon Heavy Rain,18.4,0
2026-10-15,29,26.7,39.2,31.2,Clear & Pleasant,7.8,0
2026-11-15,29,22.8,47.8,0.0,Clear & Pleasant,7.8,0
2026-12-15,29,23.8,46.3,0.0,Clear & Pleasant,13.0,0
2026-01-15,30,23.1,45.2,11.2,Clear & Pleasant,8.3,0
2026-02-15,30,24.9,40.6,0.0,Clear & Pleasant,5.5,0
2026-03-15,30,25.2,44.8,18.5,Clear & Pleasant,19.3,0
2026-04-15,30,28.3,37.8,0.0,Clear & Pleasant,10.3,0
2026-05-15,30,32.2,48.7,13.0,Clear & Pleasant,17.7,0
2026-06-15,30,31.0,52.4,49.4,Clear & Pleasant,19.7,0
2026-07-15,30,35.5,70.2,178.0,Light Showers,8.7,0
2026-08-15,30,33.0,93.6,335.6,Monsoon Heavy Rain,20.1,1
2026-09-15,30,29.9,58.2,188.5,Monsoon Heavy Rain,14.4,0
2026-10-15,30,27.7,43.3,56.6,Light Showers,9.7,0
2026-11-15,30,25.6,37.6,5.0,Clear & Pleasant,18.4,0
2026-12-15,30,21.6,45.1,0.0,Clear & Pleasant,12.3,0
2026-01-15,31,22.6,40.2,32.4,Clear & Pleasant,12.4,0
2026-02-15,31,22.7,49.9,0.9,Clear & Pleasant,18.5,0
2026-03-15,31,25.7,39.8,2.3,Clear & Pleasant,16.5,0
2026-04-15,31,27.2,41.6,11.5,Clear & Pleasant,7.4,0
2026-05-15,31,32.7,44.1,2.6,Clear & Pleasant,12.9,0
2026-06-15,31,34.2,36.1,44.6,Clear & Pleasant,8.4,0
2026-07-15,31,35.8,71.3,203.0,Monsoon Heavy Rain,14.8,0
2026-08-15,31,32.1,90.3,335.1,Monsoon Heavy Rain,8.2,1
2026-09-15,31,30.6,67.9,196.4,Monsoon Heavy Rain,15.9,0
2026-10-15,31,29.9,42.0,18.7,Clear & Pleasant,15.5,0
2026-11-15,31,28.6,33.5,31.9,Clear & Pleasant,12.2,0
2026-12-15,31,22.8,39.5,23.0,Clear & Pleasant,8.0,0
